iso,t_s,vdc_units,iq_ref,v_demand
10:56:17.239,1789372577.24,483.22,3.92,108.48
10:56:17.241,1789372577.241,483.22,3.888,89.59
10:56:17.242,1789372577.243,483.22,3.874,92.93
10:56:17.244,1789372577.244,483.22,3.876,108.8
10:56:17.246,1789372577.246,483.22,3.894,118.51
10:56:17.247,1789372577.248,483.22,3.818,101.17
10:56:17.249,1789372577.249,483.22,3.596,93.39
10:56:17.250,1789372577.251,483.22,3.43,117.96
10:56:17.252,1789372577.252,483.22,3.33,114.51
10:56:17.254,1789372577.254,483.22,3.258,98.77
10:56:17.255,1789372577.256,483.22,3.21,85.09
10:56:17.257,1789372577.257,483.22,3.186,101.03
10:56:17.258,1789372577.259,483.22,3.15,110.22
10:56:17.260,1789372577.26,483.22,3.154,105.91
10:56:17.262,1789372577.262,483.22,3.146,86.0
10:56:17.263,1789372577.264,483.22,3.158,95.65
10:56:17.265,1789372577.265,483.22,3.218,113.17
10:56:17.266,1789372577.267,483.22,3.284,113.3
10:56:17.268,1789372577.268,483.32,3.274,95.22
10:56:17.270,1789372577.27,483.32,3.28,97.41
10:56:17.271,1789372577.272,483.32,3.352,117.57
10:56:17.273,1789372577.273,483.32,3.442,108.72
10:56:17.274,1789372577.275,483.32,3.558,90.22
10:56:17.276,1789372577.276,483.32,3.69,89.09
10:56:17.278,1789372577.278,483.32,3.848,114.01
10:56:17.279,1789372577.28,483.32,3.948,112.88
10:56:17.281,1789372577.281,483.32,4.028,93.26
10:56:17.282,1789372577.283,483.32,4.098,87.58
10:56:17.284,1789372577.284,483.32,4.196,109.75
10:56:17.286,1789372577.286,483.32,4.29,112.79
10:56:17.287,1789372577.288,483.32,4.342,101.46
10:56:17.289,1789372577.289,483.32,4.296,96.49
10:56:17.290,1789372577.291,483.32,4.234,106.85
10:56:17.292,1789372577.292,483.32,4.192,116.53
10:56:17.294,1789372577.294,483.32,4.136,106.92
10:56:17.295,1789372577.296,483.32,4.082,85.88
10:56:17.297,1789372577.297,483.32,4.044,97.74
10:56:17.298,1789372577.299,483.32,4.022,119.85
10:56:17.300,1789372577.3,483.32,3.934,99.16
10:56:17.302,1789372577.302,483.32,3.846,86.59
10:56:17.303,1789372577.304,483.32,3.796,102.87
10:56:17.305,1789372577.305,483.32,3.784,111.65
10:56:17.306,1789372577.307,483.32,3.794,110.15
10:56:17.308,1789372577.308,483.32,3.77,89.48
10:56:17.310,1789372577.31,483.32,3.678,96.78
10:56:17.311,1789372577.312,483.32,3.558,116.74
10:56:17.313,1789372577.313,483.32,3.492,110.69
10:56:17.314,1789372577.315,483.32,3.426,88.24
10:56:17.316,1789372577.316,483.32,3.388,89.66
10:56:17.318,1789372577.318,483.32,3.396,102.82
10:56:17.319,1789372577.32,483.32,3.412,117.41
10:56:17.321,1789372577.321,483.32,3.37,95.29
10:56:17.322,1789372577.323,483.32,3.342,84.69
10:56:17.324,1789372577.324,483.32,3.346,104.74
10:56:17.326,1789372577.326,483.32,3.4,116.1
10:56:17.327,1789372577.328,483.32,3.47,109.74
10:56:17.329,1789372577.329,483.32,3.506,93.43
10:56:17.330,1789372577.331,483.32,3.49,110.44
10:56:17.332,1789372577.332,483.32,3.51,121.48
10:56:17.334,1789372577.334,483.32,3.56,107.1
10:56:17.335,1789372577.336,483.32,3.638,86.57
10:56:17.337,1789372577.337,483.32,3.758,94.44
10:56:17.338,1789372577.339,483.32,3.936,114.05
10:56:17.340,1789372577.34,483.32,4.096,117.01
10:56:17.342,1789372577.342,483.32,4.146,91.95
10:56:17.343,1789372577.344,483.32,4.196,88.5
10:56:17.345,1789372577.345,483.32,4.294,113.54
10:56:17.346,1789372577.347,483.32,4.398,113.27
10:56:17.348,1789372577.348,483.18,4.484,98.68
10:56:17.350,1789372577.35,483.18,4.52,94.28
10:56:17.351,1789372577.352,483.18,4.46,112.78
10:56:17.353,1789372577.353,483.18,4.39,119.64
10:56:17.354,1789372577.355,483.18,4.324,109.54
10:56:17.356,1789372577.356,483.18,4.252,86.59
10:56:17.358,1789372577.358,483.18,4.21,95.2
10:56:17.359,1789372577.36,483.18,4.21,114.55
10:56:17.361,1789372577.361,483.18,4.18,109.74
10:56:17.362,1789372577.363,483.18,4.14,90.93
10:56:17.364,1789372577.364,483.18,4.106,98.61
10:56:17.366,1789372577.366,483.18,4.11,113.87
10:56:17.367,1789372577.368,483.18,4.12,111.76
10:56:17.369,1789372577.369,483.18,4.12,94.87
10:56:17.370,1789372577.371,483.18,4.064,89.33
10:56:17.372,1789372577.372,483.18,3.926,119.72
10:56:17.374,1789372577.374,483.18,3.756,114.95
10:56:17.375,1789372577.376,483.18,3.61,97.7
10:56:17.377,1789372577.377,483.18,3.496,83.76
10:56:17.378,1789372577.379,483.18,3.432,98.74
10:56:17.380,1789372577.38,483.18,3.412,110.41
10:56:17.382,1789372577.382,483.18,3.364,112.1
10:56:17.383,1789372577.384,483.18,3.318,98.0
10:56:17.385,1789372577.385,483.18,3.274,89.83
10:56:17.386,1789372577.387,483.18,3.282,112.39
10:56:17.388,1789372577.388,483.18,3.326,117.54
10:56:17.390,1789372577.39,483.18,3.368,102.07
10:56:17.391,1789372577.392,483.18,3.364,94.22
10:56:17.393,1789372577.393,483.18,3.384,110.95
10:56:17.394,1789372577.395,483.18,3.458,117.5
10:56:17.396,1789372577.396,483.18,3.538,102.36
10:56:17.398,1789372577.398,483.18,3.638,87.2
10:56:17.399,1789372577.4,483.18,3.772,98.84
10:56:17.401,1789372577.401,483.18,3.942,119.21
10:56:17.402,1789372577.403,483.18,4.048,117.33
10:56:17.404,1789372577.404,483.18,4.024,82.74
10:56:17.406,1789372577.406,483.18,4.032,93.35
10:56:17.407,1789372577.408,483.18,4.096,114.49
10:56:17.409,1789372577.409,483.18,4.174,113.08
10:56:17.410,1789372577.411,483.18,4.232,99.33
10:56:17.412,1789372577.412,483.18,4.218,99.3
10:56:17.414,1789372577.414,483.18,4.18,105.21
10:56:17.415,1789372577.416,483.18,4.168,117.3
10:56:17.417,1789372577.417,483.18,4.15,108.68
10:56:17.418,1789372577.419,483.18,4.124,87.94
10:56:17.420,1789372577.42,483.18,4.114,96.21
10:56:17.422,1789372577.422,483.18,4.122,119.11
10:56:17.423,1789372577.424,483.18,4.074,105.13
10:56:17.425,1789372577.425,483.18,4.02,90.34
10:56:17.426,1789372577.427,483.18,3.984,96.79
10:56:17.428,1789372577.428,483.0,3.982,112.65
10:56:17.430,1789372577.43,483.0,4.0,116.14
10:56:17.431,1789372577.432,483.0,3.992,100.5
10:56:17.433,1789372577.433,483.0,3.888,92.92
10:56:17.434,1789372577.435,483.0,3.758,107.9
10:56:17.436,1789372577.436,483.0,3.692,118.66
10:56:17.438,1789372577.438,483.0,3.614,102.62
10:56:17.439,1789372577.44,483.0,3.548,88.83
10:56:17.441,1789372577.441,483.0,3.508,97.28
10:56:17.442,1789372577.443,483.0,3.47,112.22
10:56:17.444,1789372577.444,483.0,3.4,106.33
10:56:17.446,1789372577.446,483.0,3.342,95.62
10:56:17.447,1789372577.448,483.0,3.284,88.35
10:56:17.449,1789372577.449,483.0,3.276,109.29
10:56:17.450,1789372577.451,483.0,3.306,118.08
10:56:17.452,1789372577.452,483.0,3.316,106.03
10:56:17.454,1789372577.454,483.0,3.244,93.99
10:56:17.455,1789372577.456,483.0,3.218,111.65
10:56:17.457,1789372577.457,483.0,3.26,117.5
10:56:17.458,1789372577.459,483.0,3.334,104.9
10:56:17.460,1789372577.46,483.0,3.44,84.81
10:56:17.462,1789372577.462,483.0,3.58,95.61
10:56:17.463,1789372577.464,483.0,3.724,120.79
10:56:17.465,1789372577.465,483.0,3.804,106.56
10:56:17.466,1789372577.467,483.0,3.882,88.74
10:56:17.468,1789372577.468,483.0,3.966,90.31
10:56:17.470,1789372577.47,483.0,4.084,110.71
10:56:17.471,1789372577.472,483.0,4.202,114.7
10:56:17.473,1789372577.473,483.0,4.27,106.71
10:56:17.474,1789372577.475,483.0,4.216,92.0
10:56:17.476,1789372577.476,483.0,4.166,103.08
10:56:17.478,1789372577.478,483.0,4.154,116.04
10:56:17.479,1789372577.48,483.0,4.15,110.95
10:56:17.481,1789372577.481,483.0,4.144,89.46
10:56:17.482,1789372577.483,483.0,4.144,96.59
10:56:17.484,1789372577.484,483.0,4.124,122.23
10:56:17.486,1789372577.486,483.0,4.06,109.77
10:56:17.487,1789372577.488,483.0,4.002,91.17
10:56:17.489,1789372577.489,483.0,3.974,95.35
10:56:17.490,1789372577.491,483.0,3.982,110.14
10:56:17.492,1789372577.492,483.0,4.016,119.73
10:56:17.494,1789372577.494,483.0,3.992,106.74
10:56:17.495,1789372577.496,483.0,3.832,92.82
10:56:17.497,1789372577.497,483.0,3.7,109.79
10:56:17.498,1789372577.499,483.0,3.638,117.28
10:56:17.500,1789372577.5,483.0,3.586,107.14
10:56:17.502,1789372577.502,483.0,3.552,90.19
10:56:17.503,1789372577.504,483.0,3.528,97.72
10:56:17.505,1789372577.505,483.0,3.46,117.91
10:56:17.506,1789372577.507,483.0,3.39,113.95
10:56:17.508,1789372577.508,483.18,3.336,98.27
10:56:17.510,1789372577.51,483.18,3.294,86.07
10:56:17.511,1789372577.512,483.18,3.302,104.23
10:56:17.513,1789372577.513,483.18,3.346,119.64
10:56:17.514,1789372577.515,483.18,3.346,103.34
10:56:17.516,1789372577.516,483.18,3.354,86.64
10:56:17.518,1789372577.518,483.18,3.402,107.65
10:56:17.519,1789372577.52,483.18,3.498,115.48
10:56:17.521,1789372577.521,483.18,3.62,107.56
10:56:17.522,1789372577.523,483.18,3.754,87.08
10:56:17.524,1789372577.524,483.18,3.884,96.38
10:56:17.526,1789372577.526,483.18,3.958,124.5
10:56:17.527,1789372577.528,483.18,3.982,110.13
10:56:17.529,1789372577.529,483.18,4.01,88.32
10:56:17.530,1789372577.531,483.18,4.052,86.41
