t_to_trip_s,wm_hat_hz,iq,iq_shed
-2.4,31.218,23.388,0.5802
-2.36,31.692,24.214,0.5767
-2.32,31.328,22.766,0.5774
-2.28,31.696,21.822,0.5794
-2.24,30.722,24.97,0.5809
-2.2,31.574,23.444,0.58
-2.16,30.466,24.66,0.5768
-2.12,31.168,24.2,0.5792
-2.08,32.182,21.982,0.5822
-2.04,30.738,24.148,0.5825
-2.0,32.688,21.696,0.5755
-1.96,30.442,24.814,0.5765
-1.92,30.65,23.518,0.5794
-1.88,31.11,24.14,0.5824
-1.84,30.756,25.166,0.5814
-1.8,32.13,22.598,0.5742
-1.76,30.864,23.594,0.5769
-1.72,31.902,21.956,0.581
-1.68,31.16,24.334,0.5845
-1.64,31.328,22.482,0.5743
-1.6,30.8,24.94,0.5763
-1.56,31.3,23.622,0.5789
-1.52,31.18,23.68,0.5817
-1.48,32.292,23.294,0.5826
-1.44,32.108,22.984,0.5766
-1.4,30.664,23.482,0.5779
-1.36,31.604,22.866,0.5802
-1.32,30.144,25.216,0.5831
-1.28,31.052,24.13,0.581
-1.24,30.892,24.546,0.5771
-1.2,31.578,23.228,0.5785
-1.16,31.338,23.778,0.5793
-1.12,31.606,22.436,0.58
-1.08,31.522,23.62,0.5792
-1.04,30.822,24.04,0.5804
-1.0,30.168,25.3,0.5821
-0.96,31.352,24.548,0.5797
-0.92,31.744,23.066,0.578
-0.88,30.474,24.416,0.5796
-0.84,33.028,21.538,0.5815
-0.8,30.932,24.138,0.5783
-0.76,31.744,21.948,0.5784
-0.72,30.976,24.304,0.5801
-0.68,31.296,23.594,0.5816
-0.64,30.844,24.772,0.5784
-0.6,31.156,23.716,0.579
-0.56,31.864,23.11,0.5803
-0.52,31.616,23.112,0.5821
-0.48,31.37,22.542,0.5812
-0.44,31.29,24.012,0.5755
-0.4,31.148,23.572,0.5782
-0.36,30.332,24.748,0.5817
-0.32,31.49,24.254,0.584
-0.28,30.878,24.936,0.579
-0.24,31.842,22.312,0.5797
-0.2,31.746,23.882,0.5816
-0.16,31.702,22.79,0.5834
-0.12,30.206,25.1,0.5812
-0.08,31.068,24.11,0.5805
-0.04,31.074,24.654,0.5807
0.0,30.79,24.668,0.5806
