iso,t_s,vdc_units,iq_ref,v_demand
10:57:59.460,1789372679.46,496.44,29.464,218.27
10:57:59.461,1789372679.462,496.44,29.472,249.69
10:57:59.463,1789372679.463,496.44,29.476,232.36
10:57:59.465,1789372679.465,496.44,29.518,245.45
10:57:59.466,1789372679.467,496.44,29.412,222.38
10:57:59.468,1789372679.468,496.44,29.342,218.96
10:57:59.469,1789372679.47,496.44,29.198,234.13
10:57:59.471,1789372679.471,496.44,29.084,225.95
10:57:59.473,1789372679.473,496.36,29.092,272.23
10:57:59.474,1789372679.475,496.36,29.072,236.48
10:57:59.476,1789372679.476,496.36,29.146,244.61
10:57:59.477,1789372679.478,496.36,29.26,226.75
10:57:59.479,1789372679.479,496.36,29.35,229.93
10:57:59.481,1789372679.481,496.36,29.466,241.93
10:57:59.482,1789372679.483,496.36,29.496,255.15
10:57:59.484,1789372679.484,496.36,29.496,240.43
10:57:59.485,1789372679.486,496.36,29.576,234.03
10:57:59.487,1789372679.487,496.36,29.572,217.97
10:57:59.489,1789372679.489,496.36,29.636,210.25
10:57:59.490,1789372679.491,496.36,29.636,245.89
10:57:59.492,1789372679.492,496.36,29.546,223.86
10:57:59.493,1789372679.494,496.36,29.456,254.38
10:57:59.495,1789372679.495,496.36,29.256,223.02
10:57:59.497,1789372679.497,496.36,29.178,218.42
10:57:59.498,1789372679.499,496.36,29.156,223.9
10:57:59.500,1789372679.5,496.36,29.148,222.85
10:57:59.501,1789372679.502,496.36,29.246,256.73
10:57:59.503,1789372679.503,496.36,29.3,247.51
10:57:59.505,1789372679.505,496.36,29.352,249.37
10:57:59.506,1789372679.507,496.36,29.4,222.83
10:57:59.508,1789372679.508,496.36,29.346,219.06
10:57:59.509,1789372679.51,496.36,29.406,213.94
10:57:59.511,1789372679.511,496.36,29.472,248.99
10:57:59.513,1789372679.513,496.36,29.546,236.04
10:57:59.514,1789372679.515,496.36,29.632,252.56
10:57:59.516,1789372679.516,496.36,29.538,222.36
10:57:59.517,1789372679.518,496.36,29.464,218.47
10:57:59.519,1789372679.519,496.36,29.274,229.73
10:57:59.521,1789372679.521,496.36,29.116,225.43
10:57:59.522,1789372679.523,496.36,29.078,265.99
10:57:59.524,1789372679.524,496.36,29.054,234.0
10:57:59.525,1789372679.526,496.36,29.14,247.15
10:57:59.527,1789372679.527,496.36,29.268,226.73
10:57:59.529,1789372679.529,496.36,29.372,230.38
10:57:59.530,1789372679.531,496.36,29.476,247.55
10:57:59.532,1789372679.532,496.36,29.47,255.69
10:57:59.533,1789372679.534,496.36,29.462,247.6
10:57:59.535,1789372679.535,496.36,29.512,241.19
10:57:59.537,1789372679.537,496.36,29.494,211.88
10:57:59.538,1789372679.539,496.36,29.55,208.14
10:57:59.540,1789372679.54,496.36,29.51,243.55
10:57:59.541,1789372679.542,496.36,29.416,228.41
10:57:59.543,1789372679.543,496.36,29.318,260.63
10:57:59.545,1789372679.545,496.36,29.14,222.85
10:57:59.546,1789372679.547,496.36,29.098,218.94
10:57:59.548,1789372679.548,496.36,29.086,217.95
10:57:59.549,1789372679.55,496.36,29.108,218.57
10:57:59.551,1789372679.551,496.36,29.226,250.39
10:57:59.553,1789372679.553,496.44,29.328,240.8
10:57:59.554,1789372679.555,496.44,29.436,248.62
10:57:59.556,1789372679.556,496.44,29.508,227.87
10:57:59.557,1789372679.558,496.44,29.46,218.96
10:57:59.559,1789372679.559,496.44,29.508,213.12
10:57:59.561,1789372679.561,496.44,29.508,245.37
10:57:59.562,1789372679.563,496.44,29.526,235.75
10:57:59.564,1789372679.564,496.44,29.552,249.7
10:57:59.565,1789372679.566,496.44,29.422,217.45
10:57:59.567,1789372679.567,496.44,29.33,214.66
10:57:59.569,1789372679.569,496.44,29.17,231.84
10:57:59.570,1789372679.571,496.44,29.068,232.23
10:57:59.572,1789372679.572,496.44,29.076,262.62
10:57:59.573,1789372679.574,496.44,29.098,230.99
10:57:59.575,1789372679.575,496.44,29.228,247.54
10:57:59.577,1789372679.577,496.44,29.364,222.79
10:57:59.578,1789372679.579,496.44,29.462,232.57
10:57:59.580,1789372679.58,496.44,29.538,247.54
10:57:59.581,1789372679.582,496.44,29.472,255.1
10:57:59.583,1789372679.583,496.44,29.434,252.48
10:57:59.585,1789372679.585,496.44,29.44,245.42
10:57:59.586,1789372679.587,496.44,29.406,222.79
10:57:59.588,1789372679.588,496.44,29.454,219.58
10:57:59.589,1789372679.59,496.44,29.422,239.83
10:57:59.591,1789372679.591,496.44,29.37,229.02
10:57:59.593,1789372679.593,496.44,29.31,264.65
10:57:59.594,1789372679.595,496.44,29.188,220.62
10:57:59.596,1789372679.596,496.44,29.208,223.85
10:57:59.597,1789372679.598,496.44,29.216,218.65
10:57:59.599,1789372679.599,496.44,29.27,219.9
10:57:59.601,1789372679.601,496.44,29.386,254.8
10:57:59.602,1789372679.603,496.44,29.464,239.74
10:57:59.604,1789372679.604,496.44,29.542,245.25
10:57:59.605,1789372679.606,496.44,29.566,229.0
10:57:59.607,1789372679.607,496.44,29.482,221.36
10:57:59.609,1789372679.609,496.44,29.508,217.35
10:57:59.610,1789372679.611,496.44,29.482,240.62
10:57:59.612,1789372679.612,496.44,29.496,235.4
10:57:59.613,1789372679.614,496.44,29.492,253.51
10:57:59.615,1789372679.615,496.44,29.36,222.2
10:57:59.617,1789372679.617,496.44,29.294,222.73
10:57:59.618,1789372679.619,496.44,29.162,230.69
10:57:59.620,1789372679.62,496.44,29.112,230.0
10:57:59.621,1789372679.622,496.44,29.164,256.46
10:57:59.623,1789372679.623,496.44,29.218,227.71
10:57:59.625,1789372679.625,496.44,29.374,249.13
10:57:59.626,1789372679.627,496.44,29.5,226.7
10:57:59.628,1789372679.628,496.44,29.576,235.95
10:57:59.629,1789372679.63,496.44,29.618,237.42
10:57:59.631,1789372679.631,496.44,29.55,247.21
10:57:59.633,1789372679.633,496.38,29.518,251.28
10:57:59.634,1789372679.635,496.38,29.54,244.37
10:57:59.636,1789372679.636,496.38,29.518,222.95
10:57:59.637,1789372679.638,496.38,29.562,221.92
10:57:59.639,1789372679.639,496.38,29.476,236.53
10:57:59.641,1789372679.641,496.38,29.376,230.81
10:57:59.642,1789372679.643,496.38,29.256,261.69
10:57:59.644,1789372679.644,496.38,29.106,217.47
10:57:59.645,1789372679.646,496.38,29.116,234.42
10:57:59.647,1789372679.647,496.38,29.104,219.18
10:57:59.649,1789372679.649,496.38,29.164,222.49
10:57:59.650,1789372679.651,496.38,29.296,247.16
10:57:59.652,1789372679.652,496.38,29.404,237.53
10:57:59.653,1789372679.654,496.38,29.526,244.91
10:57:59.655,1789372679.655,496.38,29.59,235.2
10:57:59.657,1789372679.657,496.38,29.558,227.24
