iso,t_s,vDcInst,iq,i_trk_err
11:12:16.527,1789373536.528,474.57,43.188,7.464
11:12:16.529,1789373536.529,473.84,41.422,9.36
11:12:16.530,1789373536.531,474.32,43.22,7.438
11:12:16.532,1789373536.532,474.08,42.194,8.61
11:12:16.533,1789373536.534,475.05,42.778,7.954
11:12:16.535,1789373536.536,475.29,43.138,7.432
11:12:16.537,1789373536.537,475.53,43.03,7.802
11:12:16.538,1789373536.539,474.57,44.172,6.472
11:12:16.540,1789373536.54,474.32,42.482,8.414
11:12:16.541,1789373536.542,474.81,42.49,8.16
11:12:16.543,1789373536.544,475.29,41.9,8.778
11:12:16.545,1789373536.545,475.53,43.112,7.37
11:12:16.546,1789373536.547,474.57,42.644,7.976
11:12:16.548,1789373536.548,474.57,42.62,7.936
11:12:16.549,1789373536.55,474.08,43.05,7.702
11:12:16.551,1789373536.552,474.57,43.39,7.236
11:12:16.553,1789373536.553,474.08,43.74,6.816
11:12:16.554,1789373536.555,474.32,42.722,7.938
11:12:16.556,1789373536.556,474.57,42.714,7.718
11:12:16.557,1789373536.558,474.32,40.76,9.82
11:12:16.559,1789373536.56,474.57,41.572,8.968
11:12:16.561,1789373536.561,473.84,40.728,9.93
11:12:16.562,1789373536.563,473.84,42.864,7.738
11:12:16.564,1789373536.564,473.84,42.01,8.68
11:12:16.565,1789373536.566,474.08,43.46,7.418
11:12:16.567,1789373536.568,474.08,42.03,8.502
11:12:16.569,1789373536.569,474.32,40.76,9.902
11:12:16.570,1789373536.571,474.32,41.726,8.904
11:12:16.572,1789373536.572,473.84,40.182,10.624
11:12:16.573,1789373536.574,474.81,42.05,8.696
11:12:16.575,1789373536.576,474.57,41.256,9.542
11:12:16.577,1789373536.577,475.05,43.128,7.772
11:12:16.578,1789373536.579,475.53,42.312,8.146
11:12:16.580,1789373536.58,475.53,41.932,9.186
11:12:16.581,1789373536.582,474.32,43.998,6.588
11:12:16.583,1789373536.584,473.84,40.964,9.762
11:12:16.585,1789373536.585,474.81,42.32,8.288
11:12:16.586,1789373536.587,474.81,41.536,9.144
11:12:16.588,1789373536.588,475.29,43.018,7.51
11:12:16.589,1789373536.59,474.57,42.698,7.726
11:12:16.591,1789373536.592,474.81,42.832,7.886
11:12:16.593,1789373536.593,474.32,43.504,6.958
11:12:16.594,1789373536.595,474.57,42.776,7.906
11:12:16.596,1789373536.596,474.08,44.43,6.088
11:12:16.597,1789373536.598,474.08,42.872,7.726
11:12:16.599,1789373536.6,474.57,43.788,6.6
11:12:16.601,1789373536.601,473.84,42.638,7.968
11:12:16.602,1789373536.603,474.08,42.822,7.668
11:12:16.604,1789373536.604,473.6,42.862,7.776
11:12:16.605,1789373536.606,473.84,43.194,7.492
11:12:16.607,1789373536.608,474.32,42.698,7.882
11:12:16.609,1789373536.609,474.57,42.972,7.87
11:12:16.610,1789373536.611,474.81,42.414,8.212
11:12:16.612,1789373536.612,474.32,40.772,9.89
11:12:16.613,1789373536.614,474.32,41.158,9.522
11:12:16.615,1789373536.616,473.84,40.758,10.21
11:12:16.617,1789373536.617,474.57,41.96,9.014
11:12:16.618,1789373536.619,474.57,41.652,9.054
11:12:16.620,1789373536.62,475.05,43.264,7.61
