iso,t_s,vDcInst,iq,i_trk_err
11:07:46.618,1789373266.619,476.5,42.574,7.974
11:07:46.620,1789373266.62,476.02,41.196,9.556
11:07:46.621,1789373266.622,475.29,43.604,6.936
11:07:46.623,1789373266.624,473.84,42.07,8.734
11:07:46.625,1789373266.625,474.57,42.934,7.916
11:07:46.626,1789373266.627,475.05,43.392,7.188
11:07:46.628,1789373266.628,475.29,42.822,8.202
11:07:46.629,1789373266.63,475.53,43.838,6.736
11:07:46.631,1789373266.632,476.02,41.738,8.954
11:07:46.633,1789373266.633,475.78,42.756,7.86
11:07:46.634,1789373266.635,475.53,41.658,9.15
11:07:46.636,1789373266.636,475.05,42.884,7.968
11:07:46.637,1789373266.638,475.29,43.118,7.464
11:07:46.639,1789373266.64,476.26,43.306,7.376
11:07:46.641,1789373266.641,476.02,45.072,5.454
11:07:46.642,1789373266.643,476.26,42.87,7.866
11:07:46.644,1789373266.644,475.05,42.798,7.756
11:07:46.645,1789373266.646,475.53,41.58,9.026
11:07:46.647,1789373266.648,475.05,43.226,7.308
11:07:46.649,1789373266.649,475.29,42.394,8.176
11:07:46.650,1789373266.651,475.53,42.514,7.954
11:07:46.652,1789373266.652,475.78,43.374,7.282
11:07:46.653,1789373266.654,476.26,43.062,7.49
11:07:46.655,1789373266.656,475.53,42.476,8.042
11:07:46.657,1789373266.657,474.81,41.734,9.048
11:07:46.658,1789373266.659,474.57,42.52,7.944
11:07:46.660,1789373266.66,474.81,41.168,9.41
11:07:46.661,1789373266.662,475.05,41.586,8.91
11:07:46.663,1789373266.664,475.29,41.396,9.246
11:07:46.665,1789373266.665,474.81,43.186,7.324
11:07:46.666,1789373266.667,474.08,41.484,9.118
11:07:46.668,1789373266.668,474.81,42.326,8.684
11:07:46.669,1789373266.67,475.53,41.668,8.862
11:07:46.671,1789373266.672,475.78,40.662,10.084
11:07:46.673,1789373266.673,476.26,41.72,8.91
11:07:46.674,1789373266.675,476.26,40.58,10.182
11:07:46.676,1789373266.676,476.02,42.254,8.346
11:07:46.677,1789373266.678,475.29,40.796,9.83
11:07:46.679,1789373266.68,475.29,42.75,8.434
11:07:46.681,1789373266.681,475.78,42.334,8.162
11:07:46.682,1789373266.683,476.74,42.59,8.466
11:07:46.684,1789373266.684,475.78,44.886,5.528
11:07:46.685,1789373266.686,475.78,42.054,8.478
11:07:46.687,1789373266.688,475.05,42.91,7.6
11:07:46.689,1789373266.689,474.81,41.982,8.656
11:07:46.690,1789373266.691,475.53,43.144,7.488
11:07:46.692,1789373266.692,475.05,43.566,6.874
11:07:46.693,1789373266.694,475.29,43.814,7.004
11:07:46.695,1789373266.696,475.05,44.8,5.598
11:07:46.697,1789373266.697,475.53,43.036,7.54
11:07:46.698,1789373266.699,474.81,43.33,7.27
11:07:46.700,1789373266.7,474.81,41.534,9.148
11:07:46.701,1789373266.702,474.57,43.03,7.504
11:07:46.703,1789373266.704,474.81,42.518,8.202
11:07:46.705,1789373266.705,475.29,42.214,8.238
11:07:46.706,1789373266.707,475.78,43.188,7.268
11:07:46.708,1789373266.708,475.78,43.126,7.436
11:07:46.709,1789373266.71,475.05,42.106,8.358
11:07:46.711,1789373266.712,475.53,41.678,9.158
11:07:46.713,1789373266.713,475.78,42.082,8.424
11:07:46.714,1789373266.715,475.78,40.636,9.984
11:07:46.716,1789373266.716,476.26,40.724,9.882
11:07:46.717,1789373266.718,476.26,41.238,9.628
11:07:46.719,1789373266.72,476.26,42.826,7.876
11:07:46.721,1789373266.721,475.29,41.078,9.438
11:07:46.722,1789373266.723,475.29,41.93,9.176
11:07:46.724,1789373266.724,475.53,41.046,9.466
11:07:46.725,1789373266.726,476.5,40.602,10.228
11:07:46.727,1789373266.728,476.5,42.076,8.422
11:07:46.729,1789373266.729,476.02,40.79,9.942
11:07:46.730,1789373266.731,475.29,42.83,7.676
11:07:46.732,1789373266.732,474.32,41.328,9.43
11:07:46.733,1789373266.734,474.81,42.736,8.078
11:07:46.735,1789373266.736,475.29,43.0,7.586
11:07:46.737,1789373266.737,475.29,42.864,8.338
11:07:46.738,1789373266.739,475.05,44.052,6.496
11:07:46.740,1789373266.74,475.53,41.658,9.028
11:07:46.741,1789373266.742,474.81,42.724,7.922
11:07:46.743,1789373266.744,475.05,41.134,9.706
11:07:46.745,1789373266.745,475.29,42.84,8.164
11:07:46.746,1789373266.747,475.29,43.048,7.584
11:07:46.748,1789373266.748,476.02,43.29,7.546
11:07:46.749,1789373266.75,476.02,45.066,5.55
