iso,t_s,vDcInst,iq,i_trk_err
11:10:01.572,1789373401.573,475.53,42.832,7.768
11:10:01.574,1789373401.574,475.29,43.95,6.584
11:10:01.576,1789373401.576,475.78,44.448,6.202
11:10:01.577,1789373401.578,476.02,43.616,6.838
11:10:01.579,1789373401.579,476.5,41.79,8.866
11:10:01.580,1789373401.581,476.5,41.858,8.7
11:10:01.582,1789373401.582,475.78,40.108,10.59
11:10:01.584,1789373401.584,475.78,40.78,9.786
11:10:01.585,1789373401.586,476.98,41.108,9.722
11:10:01.587,1789373401.587,476.98,42.33,8.288
11:10:01.588,1789373401.589,476.98,41.456,8.904
11:10:01.590,1789373401.59,476.74,42.224,8.754
11:10:01.592,1789373401.592,476.74,40.518,9.934
11:10:01.593,1789373401.594,476.74,40.474,10.434
11:10:01.595,1789373401.595,476.98,42.522,7.918
11:10:01.596,1789373401.597,476.02,40.958,9.662
11:10:01.598,1789373401.598,476.74,42.354,8.084
11:10:01.600,1789373401.6,476.74,41.482,9.166
11:10:01.601,1789373401.602,476.26,42.426,8.148
11:10:01.603,1789373401.603,476.02,42.03,8.422
11:10:01.604,1789373401.605,475.78,41.972,9.41
11:10:01.606,1789373401.606,475.78,43.368,7.106
11:10:01.608,1789373401.608,476.02,41.826,8.812
11:10:01.609,1789373401.61,476.26,42.828,7.642
11:10:01.611,1789373401.611,476.02,41.684,8.904
11:10:01.612,1789373401.613,476.26,43.118,7.516
11:10:01.614,1789373401.614,475.53,42.868,7.714
11:10:01.616,1789373401.616,475.78,42.644,7.924
11:10:01.617,1789373401.618,476.26,44.164,6.302
11:10:01.619,1789373401.619,476.74,43.572,7.108
11:10:01.620,1789373401.621,477.23,43.006,7.392
11:10:01.622,1789373401.622,477.23,41.77,8.734
11:10:01.624,1789373401.624,476.26,42.334,8.084
11:10:01.625,1789373401.626,475.78,40.862,9.736
11:10:01.627,1789373401.627,476.5,41.196,9.21
11:10:01.628,1789373401.629,476.98,42.256,8.43
11:10:01.630,1789373401.63,477.23,43.498,6.998
11:10:01.632,1789373401.632,476.5,42.844,7.496
11:10:01.633,1789373401.634,476.74,41.944,8.718
11:10:01.635,1789373401.635,476.26,41.268,9.112
11:10:01.636,1789373401.637,476.02,40.424,10.146
11:10:01.638,1789373401.638,476.5,41.716,8.698
11:10:01.640,1789373401.64,475.53,41.296,9.318
11:10:01.641,1789373401.642,476.5,42.698,7.76
11:10:01.643,1789373401.643,475.78,41.472,9.068
11:10:01.644,1789373401.645,476.26,42.1,8.578
11:10:01.646,1789373401.646,476.02,41.008,9.524
11:10:01.648,1789373401.648,476.02,40.376,10.752
11:10:01.649,1789373401.65,476.5,41.78,8.76
11:10:01.651,1789373401.651,476.5,40.422,10.242
11:10:01.652,1789373401.653,476.74,42.174,8.42
11:10:01.654,1789373401.654,476.26,41.162,9.552
11:10:01.656,1789373401.656,476.98,42.572,8.126
11:10:01.657,1789373401.658,476.02,41.906,8.68
11:10:01.659,1789373401.659,476.5,42.25,8.828
11:10:01.660,1789373401.661,476.98,43.594,7.108
11:10:01.662,1789373401.662,476.74,42.59,8.214
11:10:01.664,1789373401.664,477.47,42.874,7.638
11:10:01.665,1789373401.666,477.23,42.06,8.576
11:10:01.667,1789373401.667,476.74,42.698,7.834
11:10:01.668,1789373401.669,475.53,41.84,8.788
11:10:01.670,1789373401.67,476.02,42.592,8.06
11:10:01.672,1789373401.672,476.5,43.274,7.344
11:10:01.673,1789373401.674,477.23,43.914,6.744
11:10:01.675,1789373401.675,476.98,44.12,6.41
11:10:01.676,1789373401.677,476.26,42.152,8.482
11:10:01.678,1789373401.678,476.02,42.34,8.168
11:10:01.680,1789373401.68,475.53,40.908,9.752
11:10:01.681,1789373401.682,475.78,41.958,8.584
11:10:01.683,1789373401.683,475.78,41.92,8.714
11:10:01.684,1789373401.685,476.02,43.642,6.878
11:10:01.686,1789373401.686,476.02,42.324,8.202
11:10:01.688,1789373401.688,476.26,41.934,8.858
11:10:01.689,1789373401.69,475.78,41.342,9.26
11:10:01.691,1789373401.691,475.78,39.852,11.018
11:10:01.692,1789373401.693,476.02,41.28,9.4
11:10:01.694,1789373401.694,476.5,40.342,10.524
11:10:01.696,1789373401.696,476.74,42.176,8.552
11:10:01.697,1789373401.698,476.74,41.03,9.662
11:10:01.699,1789373401.699,476.74,42.35,8.672
11:10:01.700,1789373401.701,476.74,41.746,8.886
11:10:01.702,1789373401.702,476.74,41.664,9.622
11:10:01.704,1789373401.704,476.26,44.388,6.304
11:10:01.705,1789373401.706,476.02,41.926,8.806
11:10:01.707,1789373401.707,476.74,43.102,7.482
11:10:01.708,1789373401.709,476.5,41.846,8.882
11:10:01.710,1789373401.71,476.5,42.562,8.086
11:10:01.712,1789373401.712,475.53,42.898,7.738
11:10:01.713,1789373401.714,475.53,43.224,7.858
11:10:01.715,1789373401.715,475.53,44.276,6.302
11:10:01.716,1789373401.717,476.02,43.62,7.144
11:10:01.718,1789373401.718,475.78,43.756,6.924
11:10:01.720,1789373401.72,476.26,42.238,8.426
11:10:01.721,1789373401.722,475.29,43.056,7.45
11:10:01.723,1789373401.723,474.81,42.25,8.542
11:10:01.724,1789373401.725,475.29,42.368,8.244
11:10:01.726,1789373401.726,475.29,43.104,7.51
11:10:01.728,1789373401.728,475.78,44.014,6.572
11:10:01.729,1789373401.73,476.02,42.922,7.52
11:10:01.731,1789373401.731,476.26,41.808,8.948
11:10:01.732,1789373401.733,476.02,41.492,9.052
11:10:01.734,1789373401.734,475.29,39.946,10.74
11:10:01.736,1789373401.736,475.78,40.906,9.724
11:10:01.737,1789373401.738,476.5,40.684,10.184
11:10:01.739,1789373401.739,477.23,42.612,7.948
11:10:01.740,1789373401.741,476.26,41.24,9.172
11:10:01.742,1789373401.742,476.26,42.376,8.818
11:10:01.744,1789373401.744,476.26,41.808,8.68
11:10:01.745,1789373401.746,476.26,41.238,9.926
11:10:01.747,1789373401.747,475.78,44.186,6.392
11:10:01.748,1789373401.749,475.53,41.338,9.316
11:10:01.750,1789373401.75,476.26,42.76,7.682
11:10:01.752,1789373401.752,476.5,41.598,8.986
11:10:01.753,1789373401.754,476.98,42.442,8.212
11:10:01.755,1789373401.755,476.02,42.72,7.848
11:10:01.756,1789373401.757,476.02,42.918,8.298
11:10:01.758,1789373401.758,476.02,43.714,6.796
11:10:01.760,1789373401.76,476.5,42.842,7.812
11:10:01.761,1789373401.762,476.74,43.362,7.11
11:10:01.763,1789373401.763,476.26,41.946,8.614
11:10:01.764,1789373401.765,476.26,42.57,7.83
11:10:01.766,1789373401.766,475.53,42.382,8.19
11:10:01.768,1789373401.768,476.02,42.396,8.008
11:10:01.769,1789373401.77,476.02,43.644,6.712
11:10:01.771,1789373401.771,476.5,43.73,6.796
11:10:01.772,1789373401.773,476.74,42.502,7.81
11:10:01.774,1789373401.774,476.98,41.384,9.08
11:10:01.776,1789373401.776,476.26,41.834,8.558
11:10:01.777,1789373401.778,475.53,39.892,10.734
11:10:01.779,1789373401.779,476.5,40.522,10.036
11:10:01.780,1789373401.781,476.98,40.94,9.862
11:10:01.782,1789373401.782,477.23,42.97,7.518
11:10:01.784,1789373401.784,476.74,41.258,9.048
11:10:01.785,1789373401.786,476.74,41.464,9.548
11:10:01.787,1789373401.787,476.98,40.824,9.58
11:10:01.788,1789373401.789,476.5,39.866,10.81
11:10:01.790,1789373401.79,476.74,41.79,8.634
11:10:01.792,1789373401.792,476.26,40.734,9.864
11:10:01.793,1789373401.794,476.5,42.9,7.45
11:10:01.795,1789373401.795,475.78,41.98,8.502
11:10:01.796,1789373401.797,476.26,42.07,8.832
11:10:01.798,1789373401.798,475.78,41.96,8.638
11:10:01.800,1789373401.8,476.26,40.916,10.26
11:10:01.801,1789373401.802,476.5,42.008,8.608
11:10:01.803,1789373401.803,476.74,41.174,9.566
11:10:01.804,1789373401.805,476.5,42.972,7.628
11:10:01.806,1789373401.806,476.26,42.17,8.594
11:10:01.808,1789373401.808,476.26,42.862,7.868
11:10:01.809,1789373401.81,475.78,43.14,7.492
11:10:01.811,1789373401.811,476.02,42.936,7.81
11:10:01.812,1789373401.813,476.02,44.682,5.894
11:10:01.814,1789373401.814,476.26,43.234,7.55
11:10:01.816,1789373401.816,476.5,43.062,7.518
11:10:01.817,1789373401.818,476.74,41.632,9.02
11:10:01.819,1789373401.819,476.02,42.416,8.192
11:10:01.820,1789373401.821,475.53,41.3,9.448
11:10:01.822,1789373401.822,476.02,41.612,9.086
11:10:01.824,1789373401.824,476.5,42.24,8.6
11:10:01.825,1789373401.826,477.23,43.36,7.336
11:10:01.827,1789373401.827,476.98,42.496,8.022
11:10:01.828,1789373401.829,476.5,41.736,9.13
11:10:01.830,1789373401.83,476.02,42.092,8.456
11:10:01.832,1789373401.832,475.29,40.652,10.052
11:10:01.833,1789373401.834,475.53,41.888,8.752
11:10:01.835,1789373401.835,475.29,41.524,9.174
11:10:01.836,1789373401.837,475.78,43.722,6.842
11:10:01.838,1789373401.838,475.53,41.74,8.818
11:10:01.840,1789373401.84,476.26,41.968,9.23
11:10:01.841,1789373401.842,475.78,41.74,8.982
11:10:01.843,1789373401.843,475.78,40.326,10.73
11:10:01.844,1789373401.845,476.26,41.942,8.744
11:10:01.846,1789373401.846,476.02,41.126,9.694
11:10:01.848,1789373401.848,476.26,42.708,7.916
11:10:01.849,1789373401.85,476.02,42.294,8.39
