t_to_trip_s,wm_hat_hz,iq,iq_shed
-9.72,42.816,43.81,0.9999
-9.68,44.07,42.368,0.9999
-9.64,44.306,40.522,0.9999
-9.6,43.682,41.984,0.9999
-9.56,44.584,41.854,0.9999
-9.52,44.13,40.608,0.9999
-9.48,44.498,40.338,0.9999
-9.44,44.268,41.922,0.9999
-9.4,44.166,41.834,0.9999
-9.36,44.248,41.376,0.9999
-9.32,44.592,42.546,0.9999
-9.28,43.686,43.036,0.9999
-9.24,43.528,42.354,0.9999
-9.2,43.47,43.266,0.9999
-9.16,43.62,42.928,0.9999
-9.12,42.716,43.1,0.9999
-9.08,43.882,42.474,0.9999
-9.04,44.42,41.512,0.9999
-9.0,42.744,43.856,0.9999
-8.96,43.1,43.204,0.9999
-8.92,44.388,42.024,0.9999
-8.88,42.984,42.76,0.9999
-8.84,43.634,43.518,0.9999
-8.8,44.718,42.182,0.9999
-8.76,43.236,41.83,0.9999
-8.72,42.594,44.062,0.9999
-8.68,43.706,42.716,0.9999
-8.64,43.698,40.716,0.9999
-8.6,43.536,41.752,0.9999
-8.56,44.832,42.012,0.9999
-8.52,43.932,41.232,0.9999
-8.48,44.802,40.222,0.9999
-8.44,44.436,41.292,0.9999
-8.4,43.642,42.442,0.9999
-8.36,44.658,40.918,0.9999
-8.32,45.212,41.766,0.9999
-8.28,43.944,43.01,0.9999
-8.24,43.628,42.988,0.9999
-8.2,43.398,42.93,0.9999
-8.16,43.364,43.814,0.9999
-8.12,42.638,43.396,0.9999
-8.08,43.92,43.056,0.9999
-8.04,44.84,41.662,0.9999
-8.0,43.282,42.726,0.9999
-7.96,43.414,43.108,0.9999
-7.92,44.492,41.614,0.9999
-7.88,43.244,42.206,0.9999
-7.84,43.24,43.068,0.9999
-7.8,44.2,42.456,0.9999
-7.76,43.74,41.668,0.9999
-7.72,42.424,43.936,0.9999
-7.68,43.48,42.974,0.9999
-7.64,43.854,41.032,0.9999
-7.6,43.848,41.676,0.9999
-7.56,45.014,41.942,0.9999
-7.52,43.942,41.172,0.9999
-7.48,44.634,40.586,0.9999
-7.44,44.35,41.278,0.9999
-7.4,43.432,42.464,0.9999
-7.36,44.532,40.876,0.9999
-7.32,45.52,41.096,0.9999
-7.28,43.94,42.864,0.9999
-7.24,43.702,42.948,0.9999
-7.2,44.038,42.578,0.9999
-7.16,43.464,43.356,0.9999
-7.12,42.686,43.39,0.9999
-7.08,43.882,42.69,0.9999
