iso,t_s,wm_hat_hz,iq,iq_shed
11:31:31.851,1789374691.852,42.892,42.782,0.9999
11:31:31.891,1789374691.892,43.076,43.282,0.9999
11:31:31.931,1789374691.932,45.338,40.118,0.9999
11:31:31.971,1789374691.972,43.28,42.554,0.9999
11:31:32.011,1789374692.012,43.39,42.088,0.9999
11:31:32.051,1789374692.052,45.382,40.032,0.9999
11:31:32.091,1789374692.092,44.098,41.486,0.9999
11:31:32.131,1789374692.132,44.062,40.916,0.9999
11:31:32.171,1789374692.172,46.004,39.574,0.9999
11:31:32.211,1789374692.212,43.512,41.718,0.9999
11:31:32.251,1789374692.252,44.374,41.634,0.9999
11:31:32.291,1789374692.292,44.886,40.456,0.9999
11:31:32.331,1789374692.332,43.82,42.706,0.9999
11:31:32.371,1789374692.372,44.274,41.636,0.9999
11:31:32.411,1789374692.412,44.734,41.484,0.9999
11:31:32.451,1789374692.452,43.622,42.848,0.9999
11:31:32.491,1789374692.492,43.484,42.92,0.9999
11:31:32.531,1789374692.532,43.64,42.574,0.9999
11:31:32.571,1789374692.572,43.832,42.94,0.9999
11:31:32.611,1789374692.612,43.408,43.236,0.9999
11:31:32.651,1789374692.652,44.196,43.062,0.9999
11:31:32.691,1789374692.692,43.76,42.75,0.9999
11:31:32.731,1789374692.732,42.82,43.436,0.9999
11:31:32.771,1789374692.772,43.65,42.184,0.9999
11:31:32.811,1789374692.812,43.478,42.922,0.9999
11:31:32.851,1789374692.852,43.564,41.654,0.9999
11:31:32.891,1789374692.892,43.734,42.066,0.9999
11:31:32.931,1789374692.932,43.27,42.806,0.9999
11:31:32.971,1789374692.972,43.338,41.902,0.9999
11:31:33.011,1789374693.012,42.99,42.832,0.9999
11:31:33.051,1789374693.052,43.558,42.48,0.9999
11:31:33.091,1789374693.092,43.498,42.854,0.9999
11:31:33.131,1789374693.132,43.834,42.068,0.9999
11:31:33.171,1789374693.172,43.11,44.472,0.9999
11:31:33.211,1789374693.212,43.606,41.104,0.9999
11:31:33.251,1789374693.252,41.936,45.042,0.9999
11:31:33.291,1789374693.292,43.896,42.37,0.9999
11:31:33.331,1789374693.332,43.366,41.72,0.9999
11:31:33.371,1789374693.372,42.99,43.342,0.9999
11:31:33.411,1789374693.412,44.49,41.596,0.9999
11:31:33.451,1789374693.452,42.922,42.376,0.9999
11:31:33.491,1789374693.492,42.936,43.82,0.9999
11:31:33.531,1789374693.532,44.396,41.57,0.9999
11:31:33.571,1789374693.572,43.794,41.496,0.9999
11:31:33.611,1789374693.612,43.288,43.328,0.9999
11:31:33.651,1789374693.652,45.732,40.308,0.9999
11:31:33.691,1789374693.692,44.614,41.328,0.9999
11:31:33.731,1789374693.732,43.716,42.848,0.9999
11:31:33.771,1789374693.772,45.502,40.424,0.9999
11:31:33.811,1789374693.812,45.076,40.492,0.9999
11:31:33.851,1789374693.852,43.746,43.064,0.9999
11:31:33.891,1789374693.892,45.57,40.348,0.9999
11:31:33.931,1789374693.932,43.796,41.92,0.9999
11:31:33.971,1789374693.972,43.304,43.504,0.9999
11:31:34.011,1789374694.012,44.216,41.55,0.9999
11:31:34.051,1789374694.052,43.65,42.756,0.9999
11:31:34.091,1789374694.092,43.05,43.618,0.9999
11:31:34.131,1789374694.132,44.0,42.476,0.9999
11:31:34.171,1789374694.172,43.286,43.016,0.9999
11:31:34.211,1789374694.212,42.89,42.562,0.9999
11:31:34.251,1789374694.252,43.888,42.81,0.9999
11:31:34.291,1789374694.292,44.24,41.804,0.9999
11:31:34.331,1789374694.332,42.938,43.486,0.9999
11:31:34.371,1789374694.372,44.314,41.638,0.9999
11:31:34.411,1789374694.412,44.034,41.972,0.9999
11:31:34.451,1789374694.452,42.56,43.588,0.9999
11:31:34.491,1789374694.492,43.82,42.254,0.9999
11:31:34.531,1789374694.532,43.628,41.99,0.9999
11:31:34.571,1789374694.572,42.376,43.944,0.9999
11:31:34.611,1789374694.612,44.354,42.326,0.9999
11:31:34.651,1789374694.652,43.95,42.694,0.9999
11:31:34.691,1789374694.692,42.17,44.812,0.9999
11:31:34.731,1789374694.732,43.526,42.108,0.9999
11:31:34.771,1789374694.772,43.682,42.806,0.9999
11:31:34.811,1789374694.812,42.966,43.588,0.9999
11:31:34.851,1789374694.852,44.408,41.526,0.9999
11:31:34.891,1789374694.892,44.216,42.3,0.9999
11:31:34.931,1789374694.932,43.124,42.456,0.9999
11:31:34.971,1789374694.972,44.132,41.31,0.9999
11:31:35.011,1789374695.012,44.43,41.606,0.9999
11:31:35.051,1789374695.052,43.284,42.024,0.9999
11:31:35.091,1789374695.092,44.594,40.276,0.9999
11:31:35.131,1789374695.132,45.424,40.446,0.9999
11:31:35.171,1789374695.172,43.522,41.66,0.9999
11:31:35.211,1789374695.212,44.756,40.63,0.9999
11:31:35.251,1789374695.252,44.49,41.284,0.9999
11:31:35.291,1789374695.292,44.33,41.698,0.9999
11:31:35.331,1789374695.332,44.702,40.908,0.9999
11:31:35.371,1789374695.372,45.074,42.17,0.9999
11:31:35.411,1789374695.412,44.416,41.468,0.9999
11:31:35.451,1789374695.452,43.484,42.724,0.9999
