iso,t_s,wm_hat_hz,iq,iq_shed
13:56:03.330,1789383363.331,43.974,42.476,1.0
13:56:03.370,1789383363.371,43.574,42.216,1.0
13:56:03.410,1789383363.411,43.91,41.85,1.0
13:56:03.450,1789383363.451,43.866,41.666,1.0
13:56:03.490,1789383363.491,42.0,44.182,1.0
13:56:03.530,1789383363.531,43.294,43.67,1.0
13:56:03.570,1789383363.571,44.476,42.94,1.0
13:56:03.610,1789383363.611,43.588,41.712,1.0
13:56:03.650,1789383363.651,44.288,41.642,1.0
13:56:03.690,1789383363.691,45.028,40.996,1.0
13:56:03.730,1789383363.731,44.082,42.014,1.0
13:56:03.770,1789383363.771,42.916,43.528,1.0
13:56:03.810,1789383363.811,44.566,42.128,1.0
13:56:03.850,1789383363.851,44.868,41.922,1.0
13:56:03.890,1789383363.891,43.28,43.016,1.0
13:56:03.930,1789383363.931,42.174,44.668,1.0
13:56:03.970,1789383363.971,42.858,43.584,1.0
13:56:04.010,1789383364.011,42.912,42.962,1.0
13:56:04.050,1789383364.051,44.002,42.128,1.0
13:56:04.090,1789383364.091,46.068,40.554,1.0
13:56:04.130,1789383364.131,45.402,40.066,1.0
13:56:04.170,1789383364.171,44.154,42.352,1.0
13:56:04.210,1789383364.211,43.362,43.074,1.0
13:56:04.250,1789383364.251,43.586,42.74,1.0
13:56:04.290,1789383364.291,43.116,42.29,1.0
13:56:04.330,1789383364.331,43.938,43.236,1.0
13:56:04.370,1789383364.371,43.87,43.396,1.0
13:56:04.410,1789383364.411,42.596,44.77,1.0
13:56:04.450,1789383364.451,42.754,43.62,1.0
13:56:04.490,1789383364.491,44.302,41.426,1.0
13:56:04.530,1789383364.531,44.272,40.962,1.0
13:56:04.570,1789383364.571,44.718,40.994,1.0
13:56:04.610,1789383364.611,45.672,40.774,1.0
13:56:04.650,1789383364.651,44.24,42.736,1.0
13:56:04.690,1789383364.691,42.94,44.422,1.0
13:56:04.730,1789383364.731,43.376,43.044,1.0
13:56:04.770,1789383364.771,43.696,43.452,1.0
13:56:04.810,1789383364.811,43.41,42.966,1.0
13:56:04.850,1789383364.851,44.444,42.4,1.0
13:56:04.890,1789383364.891,45.436,41.53,1.0
13:56:04.930,1789383364.931,44.474,42.08,1.0
13:56:04.970,1789383364.971,44.45,41.22,1.0
13:56:05.010,1789383365.011,45.258,40.422,1.0
13:56:05.050,1789383365.051,44.728,41.206,1.0
13:56:05.090,1789383365.091,43.184,43.394,1.0
13:56:05.130,1789383365.131,44.422,43.282,1.0
13:56:05.170,1789383365.171,44.364,43.096,1.0
13:56:05.210,1789383365.211,43.112,43.996,1.0
13:56:05.250,1789383365.251,42.916,43.698,1.0
13:56:05.290,1789383365.291,43.42,43.514,1.0
13:56:05.330,1789383365.331,43.064,42.644,1.0
13:56:05.370,1789383365.371,44.448,41.9,1.0
13:56:05.410,1789383365.411,46.346,40.376,1.0
13:56:05.450,1789383365.451,45.332,40.754,1.0
13:56:05.490,1789383365.491,44.084,42.204,1.0
13:56:05.530,1789383365.531,43.8,43.374,1.0
13:56:05.570,1789383365.571,43.372,43.88,1.0
13:56:05.610,1789383365.611,42.818,43.356,1.0
13:56:05.650,1789383365.651,44.176,43.536,1.0
13:56:05.690,1789383365.691,44.458,42.702,1.0
13:56:05.730,1789383365.731,43.468,43.182,1.0
13:56:05.770,1789383365.771,43.846,42.114,1.0
13:56:05.810,1789383365.811,44.288,42.106,1.0
13:56:05.850,1789383365.851,43.21,42.592,1.0
13:56:05.890,1789383365.891,43.95,42.432,1.0
13:56:05.930,1789383365.931,45.46,41.446,1.0
13:56:05.970,1789383365.971,44.92,41.532,1.0
13:56:06.010,1789383366.011,44.498,42.554,1.0
13:56:06.050,1789383366.051,44.068,42.572,1.0
13:56:06.090,1789383366.091,43.59,43.274,1.0
13:56:06.130,1789383366.131,44.158,41.272,1.0
13:56:06.170,1789383366.171,44.566,41.884,1.0
13:56:06.210,1789383366.211,44.564,42.102,1.0
13:56:06.250,1789383366.251,42.716,44.516,1.0
13:56:06.290,1789383366.291,42.964,44.476,1.0
13:56:06.330,1789383366.331,44.044,42.736,1.0
13:56:06.370,1789383366.371,44.338,41.3,1.0
13:56:06.410,1789383366.411,45.264,41.322,1.0
13:56:06.450,1789383366.451,46.458,40.92,1.0
13:56:06.490,1789383366.491,44.738,42.074,1.0
13:56:06.530,1789383366.531,42.806,43.582,1.0
13:56:06.570,1789383366.571,43.488,42.406,1.0
13:56:06.610,1789383366.611,43.856,42.764,1.0
13:56:06.650,1789383366.651,42.72,43.354,1.0
13:56:06.690,1789383366.691,43.782,43.124,1.0
13:56:06.730,1789383366.731,44.402,43.29,1.0
13:56:06.770,1789383366.771,43.894,42.49,1.0
13:56:06.810,1789383366.811,44.418,41.098,1.0
13:56:06.850,1789383366.851,45.464,40.272,1.0
13:56:06.890,1789383366.891,45.154,41.018,1.0
13:56:06.930,1789383366.931,43.496,42.988,1.0
13:56:06.970,1789383366.971,44.67,42.69,1.0
13:56:07.010,1789383367.011,44.242,42.742,1.0
13:56:07.050,1789383367.051,43.568,42.952,1.0
13:56:07.090,1789383367.091,43.064,43.622,1.0
13:56:07.130,1789383367.131,43.5,43.672,1.0
13:56:07.170,1789383367.171,43.304,42.992,1.0
13:56:07.210,1789383367.211,44.448,41.146,1.0
13:56:07.250,1789383367.251,45.996,40.406,1.0
13:56:07.290,1789383367.291,44.818,41.014,1.0
13:56:07.330,1789383367.331,44.452,41.358,1.0
13:56:07.370,1789383367.371,44.008,42.506,1.0
13:56:07.410,1789383367.411,43.48,43.684,1.0
13:56:07.450,1789383367.451,43.066,43.332,1.0
13:56:07.490,1789383367.491,44.092,43.23,1.0
13:56:07.530,1789383367.531,44.32,42.6,1.0
13:56:07.570,1789383367.571,43.568,42.852,1.0
13:56:07.610,1789383367.611,43.726,42.276,1.0
13:56:07.650,1789383367.651,44.526,41.336,1.0
13:56:07.690,1789383367.691,43.95,40.986,1.0
13:56:07.730,1789383367.731,44.668,41.208,1.0
13:56:07.770,1789383367.771,45.862,40.916,1.0
13:56:07.810,1789383367.811,44.378,42.08,1.0
13:56:07.850,1789383367.851,43.634,43.384,1.0
13:56:07.890,1789383367.891,43.532,42.768,1.0
13:56:07.930,1789383367.931,43.592,42.688,1.0
13:56:07.970,1789383367.971,43.34,42.048,1.0
13:56:08.010,1789383368.011,44.728,41.032,1.0
13:56:08.050,1789383368.051,45.102,40.982,1.0
13:56:08.090,1789383368.091,43.028,42.216,1.0
13:56:08.130,1789383368.131,42.66,43.552,1.0
13:56:08.170,1789383368.171,43.656,42.564,1.0
13:56:08.210,1789383368.211,43.482,42.504,1.0
13:56:08.250,1789383368.251,43.818,42.96,1.0
13:56:08.290,1789383368.291,45.164,42.132,1.0
13:56:08.330,1789383368.331,44.472,42.028,1.0
13:56:08.370,1789383368.371,43.122,43.426,1.0
13:56:08.410,1789383368.411,43.538,41.942,1.0
13:56:08.450,1789383368.451,44.092,41.514,1.0
13:56:08.490,1789383368.491,43.258,42.202,1.0
13:56:08.530,1789383368.531,44.014,41.946,1.0
13:56:08.570,1789383368.571,43.97,42.808,1.0
13:56:08.610,1789383368.611,43.206,42.77,1.0
13:56:08.650,1789383368.651,43.226,42.726,1.0
13:56:08.690,1789383368.691,44.138,42.01,1.0
13:56:08.730,1789383368.731,43.97,42.568,1.0
13:56:08.770,1789383368.771,43.362,42.966,1.0
13:56:08.810,1789383368.811,43.932,42.878,1.0
13:56:08.850,1789383368.851,44.148,42.2,1.0
13:56:08.890,1789383368.891,43.946,41.522,1.0
13:56:08.930,1789383368.931,43.542,41.768,1.0
13:56:08.970,1789383368.971,43.682,41.954,1.0
13:56:09.010,1789383369.011,42.61,42.86,1.0
13:56:09.050,1789383369.051,43.65,42.284,1.0
13:56:09.090,1789383369.091,45.052,41.732,1.0
13:56:09.130,1789383369.131,44.17,41.998,1.0
13:56:09.170,1789383369.171,44.126,41.988,1.0
13:56:09.210,1789383369.211,43.914,42.052,1.0
13:56:09.250,1789383369.251,43.142,43.058,1.0
13:56:09.290,1789383369.291,43.502,41.788,1.0
13:56:09.330,1789383369.331,44.996,40.726,1.0
13:56:09.370,1789383369.371,45.034,41.46,1.0
13:56:09.410,1789383369.411,42.892,42.466,1.0
13:56:09.450,1789383369.451,42.082,44.662,1.0
13:56:09.490,1789383369.491,43.16,43.876,1.0
13:56:09.530,1789383369.531,43.298,42.182,1.0
13:56:09.570,1789383369.571,44.464,41.31,1.0
13:56:09.610,1789383369.611,46.276,39.856,1.0
13:56:09.650,1789383369.651,45.028,41.19,1.0
13:56:09.690,1789383369.691,43.072,43.482,1.0
13:56:09.730,1789383369.731,43.702,42.6,1.0
13:56:09.770,1789383369.771,44.256,40.948,1.0
13:56:09.810,1789383369.811,43.35,42.25,1.0
13:56:09.850,1789383369.851,44.154,42.076,1.0
13:56:09.890,1789383369.891,43.624,43.808,1.0
13:56:09.930,1789383369.931,43.124,43.57,1.0
13:56:09.970,1789383369.971,43.026,42.838,1.0
13:56:10.010,1789383370.011,44.04,41.332,1.0
13:56:10.050,1789383370.051,44.262,40.998,1.0
13:56:10.090,1789383370.091,43.622,42.322,1.0
13:56:10.130,1789383370.131,44.428,42.354,1.0
13:56:10.170,1789383370.171,44.042,42.342,1.0
13:56:10.210,1789383370.211,44.198,41.288,1.0
13:56:10.250,1789383370.251,43.292,42.874,1.0
13:56:10.290,1789383370.291,43.508,42.312,1.0
13:56:10.330,1789383370.331,42.076,44.576,1.0
13:56:10.370,1789383370.371,43.292,43.428,1.0
13:56:10.410,1789383370.411,44.986,41.324,1.0
13:56:10.450,1789383370.451,44.194,41.542,1.0
13:56:10.490,1789383370.491,44.29,41.304,1.0
13:56:10.530,1789383370.531,44.01,41.698,1.0
13:56:10.570,1789383370.571,43.166,42.754,1.0
13:56:10.610,1789383370.611,43.474,41.676,1.0
13:56:10.650,1789383370.651,44.458,41.474,1.0
13:56:10.690,1789383370.691,44.492,42.496,1.0
13:56:10.730,1789383370.731,43.124,43.17,1.0
13:56:10.770,1789383370.771,42.416,44.654,1.0
13:56:10.810,1789383370.811,43.476,43.23,1.0
13:56:10.850,1789383370.851,43.51,42.218,1.0
13:56:10.890,1789383370.891,44.552,40.476,1.0
13:56:10.930,1789383370.931,46.47,39.51,1.0
13:56:10.970,1789383370.971,45.048,41.198,1.0
13:56:11.010,1789383371.011,43.098,43.044,1.0
13:56:11.050,1789383371.051,43.53,42.77,1.0
13:56:11.090,1789383371.091,43.872,41.774,1.0
13:56:11.130,1789383371.131,42.984,43.226,1.0
13:56:11.170,1789383371.171,43.706,42.942,1.0
13:56:11.210,1789383371.211,43.86,44.626,1.0
13:56:11.250,1789383371.251,43.426,42.028,1.0
13:56:11.290,1789383371.291,43.882,41.476,1.0
13:56:11.330,1789383371.331,44.89,40.666,1.0
13:56:11.370,1789383371.371,45.02,40.348,1.0
13:56:11.410,1789383371.411,44.512,41.54,1.0
13:56:11.450,1789383371.451,45.444,41.98,1.0
13:56:11.490,1789383371.491,44.218,43.094,1.0
13:56:11.530,1789383371.531,43.558,42.282,1.0
13:56:11.570,1789383371.571,43.484,43.604,1.0
