iso,t_s,wm_hat_hz,iq,iq_shed
10:46:30.679,1789371990.679,44.308,42.056,0.9999
10:46:30.719,1789371990.719,42.99,42.846,0.9999
10:46:30.759,1789371990.759,42.422,45.134,0.9999
10:46:30.799,1789371990.799,43.724,43.256,0.9999
10:46:30.839,1789371990.839,43.48,41.956,0.9999
10:46:30.879,1789371990.879,43.952,41.712,0.9999
10:46:30.919,1789371990.919,45.624,40.472,0.9999
10:46:30.959,1789371990.959,44.956,40.272,0.9999
10:46:30.999,1789371990.999,44.556,41.38,0.9999
10:46:31.039,1789371991.039,44.342,42.05,0.9999
10:46:31.079,1789371991.079,43.832,42.692,0.9999
10:46:31.119,1789371991.119,43.086,42.816,0.9999
10:46:31.159,1789371991.159,43.89,42.82,0.9999
10:46:31.199,1789371991.199,44.178,42.628,0.9999
10:46:31.239,1789371991.239,43.136,42.97,0.9999
10:46:31.279,1789371991.279,43.656,43.222,0.9999
10:46:31.319,1789371991.319,44.226,42.2,0.9999
10:46:31.359,1789371991.359,43.61,41.45,0.9999
10:46:31.399,1789371991.399,44.166,42.062,0.9999
10:46:31.439,1789371991.439,44.814,41.206,0.9999
10:46:31.479,1789371991.479,44.04,41.738,0.9999
10:46:31.519,1789371991.519,44.1,41.674,0.9999
10:46:31.559,1789371991.559,44.928,41.606,0.9999
10:46:31.599,1789371991.599,44.272,42.408,0.9999
10:46:31.639,1789371991.639,43.8,43.428,0.9999
10:46:31.679,1789371991.679,44.456,42.394,0.9999
10:46:31.719,1789371991.719,43.788,42.254,0.9999
10:46:31.759,1789371991.759,43.286,42.556,0.9999
10:46:31.799,1789371991.799,44.006,41.904,0.9999
10:46:31.839,1789371991.839,44.572,41.488,0.9999
10:46:31.879,1789371991.879,43.104,42.692,0.9999
10:46:31.919,1789371991.919,43.578,42.918,0.9999
10:46:31.959,1789371991.959,43.404,43.19,0.9999
10:46:31.999,1789371991.999,42.804,43.314,0.9999
10:46:32.039,1789371992.039,43.256,42.75,0.9999
10:46:32.079,1789371992.079,44.434,41.512,0.9999
10:46:32.119,1789371992.119,44.54,41.376,0.9999
10:46:32.159,1789371992.159,44.782,41.466,0.9999
10:46:32.199,1789371992.199,45.192,41.538,0.9999
10:46:32.239,1789371992.239,43.842,42.314,0.9999
10:46:32.279,1789371992.279,42.78,43.838,0.9999
10:46:32.319,1789371992.319,44.098,41.914,0.9999
10:46:32.359,1789371992.359,44.056,41.968,0.9999
10:46:32.399,1789371992.399,43.046,43.25,0.9999
10:46:32.439,1789371992.439,43.628,42.504,0.9999
10:46:32.479,1789371992.479,43.464,44.508,0.9999
10:46:32.519,1789371992.519,43.396,42.414,0.9999
10:46:32.559,1789371992.559,43.692,42.226,0.9999
10:46:32.599,1789371992.599,44.708,40.474,0.9999
10:46:32.639,1789371992.639,44.24,41.052,0.9999
10:46:32.679,1789371992.679,44.652,41.432,0.9999
10:46:32.719,1789371992.719,45.636,40.928,0.9999
10:46:32.759,1789371992.759,43.978,42.338,0.9999
10:46:32.799,1789371992.799,43.602,43.356,0.9999
10:46:32.839,1789371992.839,44.036,42.324,0.9999
10:46:32.879,1789371992.879,43.54,42.814,0.9999
10:46:32.919,1789371992.919,42.916,42.908,0.9999
10:46:32.959,1789371992.959,44.274,41.394,0.9999
10:46:32.999,1789371992.999,44.708,42.048,0.9999
10:46:33.039,1789371993.039,43.68,42.29,0.9999
