iso,t_s,wm_hat_hz,iq,iq_shed
16:31:46.499,1789392706.5,29.916,16.128,0.9999
16:31:46.539,1789392706.54,30.026,14.508,0.9999
16:31:46.579,1789392706.58,30.212,14.528,0.9999
16:31:46.619,1789392706.62,31.554,15.808,0.9999
16:31:46.659,1789392706.66,31.214,11.978,0.9999
16:31:46.699,1789392706.7,29.042,16.03,0.9999
16:31:46.739,1789392706.74,30.32,16.04,0.9999
16:31:46.779,1789392706.78,31.48,14.888,0.9999
16:31:46.819,1789392706.82,29.776,17.554,0.9999
16:31:46.859,1789392706.86,29.698,16.724,0.9999
16:31:46.899,1789392706.9,30.682,13.944,0.9999
16:31:46.939,1789392706.94,30.45,15.228,0.9999
16:31:46.979,1789392706.98,29.86,17.43,0.9999
16:31:47.019,1789392707.02,30.764,16.864,0.9999
16:31:47.059,1789392707.06,31.188,13.342,0.9999
16:31:47.099,1789392707.1,30.126,14.022,0.9999
16:31:47.139,1789392707.14,29.56,18.016,0.9999
16:31:47.179,1789392707.18,30.152,17.388,0.9999
16:31:47.219,1789392707.22,30.494,14.398,0.9999
16:31:47.259,1789392707.26,31.492,15.426,0.9999
16:31:47.299,1789392707.3,30.702,15.394,0.9999
16:31:47.339,1789392707.34,29.008,16.264,0.9999
16:31:47.379,1789392707.38,29.87,16.15,0.9999
16:31:47.419,1789392707.42,32.302,16.088,0.9999
16:31:47.459,1789392707.46,30.68,14.09,0.9999
16:31:47.499,1789392707.5,29.464,15.688,0.9999
16:31:47.539,1789392707.54,29.92,17.26,0.9999
16:31:47.579,1789392707.58,31.27,16.932,0.9999
16:31:47.619,1789392707.62,31.02,13.38,0.9999
16:31:47.659,1789392707.66,30.272,14.442,0.9999
16:31:47.699,1789392707.7,30.286,16.176,0.9999
16:31:47.739,1789392707.74,30.604,15.38,0.9999
16:31:47.779,1789392707.78,29.838,15.85,0.9999
16:31:47.819,1789392707.82,29.802,17.702,0.9999
16:31:47.859,1789392707.86,30.988,15.426,0.9999
16:31:47.899,1789392707.9,29.85,15.592,0.9999
16:31:47.939,1789392707.94,30.81,15.302,0.9999
16:31:47.979,1789392707.98,30.074,13.018,0.9999
