iso,t_s,wm_hat_hz,iq,iq_shed
16:18:41.592,1789391921.592,32.74,17.976,0.9999
16:18:41.632,1789391921.632,32.162,17.258,0.9999
16:18:41.672,1789391921.672,31.65,17.476,0.9999
16:18:41.712,1789391921.712,33.48,18.394,0.9999
16:18:41.752,1789391921.752,32.612,17.384,0.9999
16:18:41.792,1789391921.792,31.224,16.79,0.9999
16:18:41.832,1789391921.832,33.758,16.974,0.9999
16:18:41.872,1789391921.872,31.696,19.032,0.9999
16:18:41.912,1789391921.912,32.152,15.85,0.9999
16:18:41.952,1789391921.952,32.47,19.672,0.9999
16:18:41.992,1789391921.992,32.326,14.87,0.9999
16:18:42.032,1789391922.032,32.046,19.56,0.9999
16:18:42.072,1789391922.072,32.762,15.556,0.9999
16:18:42.112,1789391922.112,31.618,19.384,0.9999
16:18:42.152,1789391922.152,32.998,16.436,0.9999
16:18:42.192,1789391922.192,31.842,18.584,0.9999
16:18:42.232,1789391922.232,32.148,16.644,0.9999
16:18:42.272,1789391922.272,32.244,18.946,0.9999
16:18:42.312,1789391922.312,32.45,17.328,0.9999
16:18:42.352,1789391922.352,32.308,18.274,0.9999
16:18:42.392,1789391922.392,32.138,16.894,0.9999
16:18:42.432,1789391922.432,32.074,18.67,0.9999
16:18:42.472,1789391922.472,33.34,17.238,0.9999
16:18:42.512,1789391922.512,31.076,17.998,0.9999
16:18:42.552,1789391922.552,32.284,18.392,0.9999
16:18:42.592,1789391922.592,33.78,17.028,0.9999
16:18:42.632,1789391922.632,31.278,18.016,0.9999
16:18:42.672,1789391922.672,32.59,18.024,0.9999
16:18:42.712,1789391922.712,32.606,17.374,0.9999
16:18:42.752,1789391922.752,31.38,18.47,0.9999
16:18:42.792,1789391922.792,33.054,17.026,0.9999
16:18:42.832,1789391922.832,32.092,18.438,0.9999
16:18:42.872,1789391922.872,32.12,17.624,0.9999
16:18:42.912,1789391922.912,33.344,15.084,0.9999
16:18:42.952,1789391922.952,31.558,19.13,0.9999
16:18:42.992,1789391922.992,32.256,16.302,0.9999
16:18:43.032,1789391923.032,32.892,16.148,0.9999
16:18:43.072,1789391923.072,31.384,18.798,0.9999
16:18:43.112,1789391923.112,31.946,16.716,0.9999
16:18:43.152,1789391923.152,32.2,17.906,0.9999
16:18:43.192,1789391923.192,32.046,18.156,0.9999
16:18:43.232,1789391923.232,32.088,17.262,0.9999
16:18:43.272,1789391923.272,31.872,17.46,0.9999
