t_to_trip_s,wm_hat_hz,iq,iq_shed
-9.72,43.37,42.826,0.9999
-9.68,44.194,42.222,0.9999
-9.64,43.948,42.242,0.9999
-9.6,44.194,40.734,0.9999
-9.56,43.578,42.548,0.9999
-9.52,43.672,42.482,0.9999
-9.48,41.772,44.948,0.9999
-9.44,43.02,43.68,0.9999
-9.4,44.004,43.134,0.9999
-9.36,43.462,43.31,0.9999
-9.32,43.912,41.702,0.9999
-9.28,45.204,40.766,0.9999
-9.24,44.756,41.058,0.9999
-9.2,43.852,42.234,0.9999
-9.16,44.608,42.048,0.9999
-9.12,44.036,42.49,0.9999
-9.08,43.966,42.12,0.9999
-9.04,44.062,42.052,0.9999
-9.0,44.358,41.762,0.9999
-8.96,43.576,41.77,0.9999
-8.92,44.024,42.226,0.9999
-8.88,44.12,42.876,0.9999
-8.84,43.27,42.68,0.9999
-8.8,43.78,41.83,0.9999
-8.76,44.32,41.65,0.9999
-8.72,44.368,42.208,0.9999
-8.68,43.702,43.11,0.9999
-8.64,44.528,42.47,0.9999
-8.6,43.806,42.962,0.9999
-8.56,43.156,42.978,0.9999
-8.52,43.95,41.956,0.9999
-8.48,44.778,41.576,0.9999
-8.44,43.446,42.144,0.9999
-8.4,44.272,40.982,0.9999
-8.36,44.24,42.486,0.9999
-8.32,43.462,42.282,0.9999
-8.28,43.828,42.194,0.9999
-8.24,44.544,41.73,0.9999
-8.2,44.246,42.09,0.9999
-8.16,43.774,42.772,0.9999
-8.12,44.656,42.808,0.9999
-8.08,43.71,42.616,0.9999
-8.04,42.914,42.552,0.9999
-8.0,43.538,43.35,0.9999
-7.96,43.882,42.636,0.9999
-7.92,42.798,43.67,0.9999
-7.88,43.57,42.9,0.9999
-7.84,44.788,41.614,0.9999
-7.8,44.04,41.586,0.9999
-7.76,44.502,40.804,0.9999
-7.72,45.356,40.246,0.9999
-7.68,44.902,40.1,0.9999
-7.64,44.548,41.13,0.9999
-7.6,45.18,41.832,0.9999
-7.56,44.096,42.794,0.9999
-7.52,43.266,43.164,0.9999
-7.48,43.718,42.56,0.9999
-7.44,44.156,42.252,0.9999
-7.4,42.678,43.482,0.9999
-7.36,43.496,42.964,0.9999
-7.32,43.408,44.216,0.9999
-7.28,42.776,43.496,0.9999
-7.24,43.502,42.748,0.9999
-7.2,44.306,41.822,0.9999
-7.16,43.854,42.01,0.9999
-7.12,44.27,42.242,0.9999
-7.08,45.084,42.41,0.9999
