iso,t_s,vdc_units,iq_ref,v_demand
10:59:07.784,1789372747.785,474.68,50.604,226.67
10:59:07.786,1789372747.786,474.68,50.53,251.69
10:59:07.787,1789372747.788,474.68,50.678,231.28
10:59:07.789,1789372747.79,474.68,50.55,250.52
10:59:07.791,1789372747.791,474.68,50.604,269.47
10:59:07.792,1789372747.793,474.68,50.424,271.61
10:59:07.794,1789372747.794,474.68,50.422,278.98
10:59:07.795,1789372747.796,474.72,50.444,245.41
10:59:07.797,1789372747.798,474.72,50.418,278.58
10:59:07.799,1789372747.799,474.72,50.596,226.32
10:59:07.800,1789372747.801,474.72,50.482,252.65
10:59:07.802,1789372747.802,474.72,50.59,241.24
10:59:07.803,1789372747.804,474.72,50.422,236.17
10:59:07.805,1789372747.806,474.72,50.472,259.47
10:59:07.807,1789372747.807,474.72,50.404,232.41
10:59:07.808,1789372747.809,474.72,50.456,255.43
10:59:07.810,1789372747.81,474.72,50.422,227.77
10:59:07.811,1789372747.812,474.72,50.414,228.12
10:59:07.813,1789372747.814,474.72,50.474,220.3
10:59:07.815,1789372747.815,474.72,50.342,222.36
10:59:07.816,1789372747.817,474.72,50.504,233.67
10:59:07.818,1789372747.818,474.72,50.428,235.54
10:59:07.819,1789372747.82,474.72,50.556,245.33
10:59:07.821,1789372747.822,474.72,50.406,229.09
10:59:07.823,1789372747.823,474.72,50.438,241.51
10:59:07.824,1789372747.825,474.72,50.362,231.26
10:59:07.826,1789372747.826,474.72,50.308,224.69
10:59:07.827,1789372747.828,474.72,50.46,221.49
10:59:07.829,1789372747.83,474.72,50.352,244.44
10:59:07.831,1789372747.831,474.72,50.52,239.77
10:59:07.832,1789372747.833,474.72,50.392,244.25
10:59:07.834,1789372747.834,474.72,50.41,269.02
10:59:07.835,1789372747.836,474.72,50.292,267.44
10:59:07.837,1789372747.838,474.72,50.312,262.4
10:59:07.839,1789372747.839,474.72,50.434,237.52
10:59:07.840,1789372747.841,474.72,50.39,264.88
10:59:07.842,1789372747.842,474.72,50.592,237.45
10:59:07.843,1789372747.844,474.72,50.432,262.3
10:59:07.845,1789372747.846,474.72,50.58,263.92
10:59:07.847,1789372747.847,474.72,50.42,267.86
10:59:07.848,1789372747.849,474.72,50.452,279.95
10:59:07.850,1789372747.85,474.72,50.476,241.4
10:59:07.851,1789372747.852,474.72,50.506,272.34
10:59:07.853,1789372747.854,474.72,50.608,230.02
10:59:07.855,1789372747.855,474.72,50.548,243.75
10:59:07.856,1789372747.857,474.72,50.666,242.13
10:59:07.858,1789372747.858,474.72,50.532,236.09
10:59:07.859,1789372747.86,474.72,50.63,256.95
10:59:07.861,1789372747.862,474.72,50.586,244.04
10:59:07.863,1789372747.863,474.72,50.656,259.05
10:59:07.864,1789372747.865,474.72,50.65,223.44
10:59:07.866,1789372747.866,474.72,50.662,230.89
10:59:07.867,1789372747.868,474.72,50.688,220.56
10:59:07.869,1789372747.87,474.72,50.572,208.86
10:59:07.871,1789372747.871,474.72,50.73,227.17
10:59:07.872,1789372747.873,474.72,50.61,231.28
10:59:07.874,1789372747.874,474.72,50.738,238.76
10:59:07.875,1789372747.876,475.08,50.612,232.0
10:59:07.877,1789372747.878,475.08,50.582,244.45
10:59:07.879,1789372747.879,475.08,50.522,234.1
10:59:07.880,1789372747.881,475.08,50.496,232.29
10:59:07.882,1789372747.882,475.08,50.666,227.61
10:59:07.883,1789372747.884,475.08,50.614,254.0
10:59:07.885,1789372747.886,475.08,50.802,245.17
10:59:07.887,1789372747.887,475.08,50.61,251.32
10:59:07.888,1789372747.889,475.08,50.72,267.69
10:59:07.890,1789372747.89,475.08,50.586,266.76
10:59:07.891,1789372747.892,475.08,50.564,266.99
10:59:07.893,1789372747.894,475.08,50.65,232.91
10:59:07.895,1789372747.895,475.08,50.586,264.78
10:59:07.896,1789372747.897,475.08,50.734,232.42
10:59:07.898,1789372747.898,475.08,50.624,255.23
10:59:07.899,1789372747.9,475.08,50.718,262.32
10:59:07.901,1789372747.902,475.08,50.57,258.79
10:59:07.903,1789372747.903,475.08,50.584,275.72
10:59:07.904,1789372747.905,475.08,50.59,250.72
10:59:07.906,1789372747.906,475.08,50.584,273.42
10:59:07.907,1789372747.908,475.08,50.684,225.86
10:59:07.909,1789372747.91,475.08,50.62,242.89
10:59:07.911,1789372747.911,475.08,50.706,233.5
10:59:07.912,1789372747.913,475.08,50.558,223.67
10:59:07.914,1789372747.914,475.08,50.636,242.69
10:59:07.915,1789372747.916,475.08,50.532,232.79
10:59:07.917,1789372747.918,475.08,50.632,243.58
10:59:07.919,1789372747.919,475.08,50.548,228.54
10:59:07.920,1789372747.921,475.08,50.578,225.81
10:59:07.922,1789372747.922,475.08,50.596,217.28
10:59:07.923,1789372747.924,475.08,50.47,221.29
10:59:07.925,1789372747.926,475.08,50.644,229.39
10:59:07.927,1789372747.927,475.08,50.558,240.6
10:59:07.928,1789372747.929,475.08,50.726,247.41
10:59:07.930,1789372747.93,475.08,50.528,245.75
10:59:07.931,1789372747.932,475.08,50.582,253.27
10:59:07.933,1789372747.934,475.08,50.482,247.5
10:59:07.935,1789372747.935,475.08,50.41,243.17
10:59:07.936,1789372747.937,475.08,50.558,224.78
10:59:07.938,1789372747.938,475.08,50.456,254.39
10:59:07.939,1789372747.94,475.08,50.63,240.65
10:59:07.941,1789372747.942,475.08,50.486,251.08
10:59:07.943,1789372747.943,475.08,50.524,276.49
10:59:07.944,1789372747.945,475.08,50.394,273.54
10:59:07.946,1789372747.946,475.08,50.372,279.19
10:59:07.947,1789372747.948,475.08,50.432,242.52
10:59:07.949,1789372747.95,475.08,50.376,275.95
10:59:07.951,1789372747.951,475.08,50.566,229.57
10:59:07.952,1789372747.953,475.08,50.436,251.49
10:59:07.954,1789372747.954,475.08,50.564,251.75
10:59:07.955,1789372747.956,474.62,50.396,256.11
