t_to_trip_s,wm_hat_hz,iq,iq_shed
-5.1,30.508,17.486,0.4767
-5.08,30.118,17.16,0.48
-5.06,30.096,16.782,0.4836
-5.04,30.508,17.112,0.4873
-5.02,29.532,17.658,0.4915
-5.0,30.562,16.684,0.4958
-4.98,30.19,17.318,0.5006
-4.96,29.19,18.076,0.506
-4.94,30.326,16.926,0.5116
-4.92,29.868,16.774,0.5175
-4.9,29.874,16.864,0.5236
-4.88,30.328,17.064,0.5302
-4.86,30.286,14.608,0.537
-4.84,30.582,14.03,0.5442
-4.82,30.442,15.412,0.5516
-4.8,29.946,15.214,0.559
-4.78,30.494,14.358,0.5664
-4.76,29.162,16.544,0.5739
-4.74,30.056,16.012,0.5814
-4.72,30.59,15.476,0.5887
-4.7,29.46,15.566,0.5961
-4.68,30.092,15.812,0.6037
-4.66,30.178,14.632,0.611
-4.64,30.404,13.76,0.6182
-4.62,30.17,14.872,0.6253
-4.6,29.464,16.306,0.6328
-4.58,30.344,14.624,0.64
-4.56,30.114,15.432,0.6476
-4.54,29.724,14.934,0.6553
-4.52,30.082,14.224,0.6629
-4.5,28.742,17.264,0.671
-4.48,30.252,14.442,0.679
-4.46,30.582,13.416,0.6877
-4.44,29.292,14.804,0.6963
-4.42,29.886,15.128,0.7054
-4.4,29.926,12.856,0.7148
-4.38,30.556,12.46,0.7244
-4.36,29.574,15.212,0.7349
-4.34,29.908,11.92,0.7452
-4.32,29.54,15.118,0.7561
-4.3,29.254,13.74,0.7676
-4.28,29.352,14.78,0.7794
-4.26,29.07,15.538,0.7917
-4.24,28.79,15.286,0.8041
-4.22,29.868,13.936,0.8167
-4.2,28.92,14.552,0.8286
-4.18,29.586,11.984,0.8397
-4.16,29.244,14.202,0.8501
-4.14,28.8,14.75,0.8598
-4.12,28.702,14.04,0.8689
-4.1,28.242,15.438,0.8774
-4.08,28.942,11.91,0.8853
-4.06,29.114,12.9,0.8927
-4.04,28.756,12.508,0.8997
-4.02,28.134,13.616,0.9062
-4.0,28.45,12.168,0.9123
-3.98,28.17,15.164,0.918
-3.96,27.514,13.436,0.9233
-3.94,29.746,12.202,0.9282
-3.92,27.68,13.98,0.9329
-3.9,27.568,11.97,0.9372
-3.88,28.35,13.134,0.9413
-3.86,27.998,11.424,0.9451
-3.84,27.79,14.72,0.9487
-3.82,27.288,14.218,0.952
-3.8,27.718,12.31,0.9551
-3.78,27.842,12.594,0.958
-3.76,27.176,11.382,0.9607
-3.74,28.328,10.572,0.9633
-3.72,26.95,12.716,0.9656
-3.7,28.24,10.298,0.9679
-3.68,27.29,11.328,0.9699
-3.66,27.612,12.062,0.9719
-3.64,26.8,11.902,0.9737
-3.62,27.564,11.298,0.9754
-3.6,26.996,13.154,0.977
-3.58,26.694,13.74,0.9785
-3.56,27.252,13.088,0.9799
-3.54,26.282,11.898,0.9812
-3.52,26.772,12.666,0.9824
-3.5,25.538,13.398,0.9835
-3.48,27.626,11.332,0.9846
-3.46,26.332,11.11,0.9856
-3.44,26.702,11.956,0.9865
-3.42,26.704,12.638,0.9874
-3.4,26.174,11.366,0.9882
-3.38,25.846,13.854,0.989
-3.36,26.584,11.892,0.9897
-3.34,27.046,11.02,0.9903
-3.32,25.994,11.306,0.991
-3.3,27.674,8.616,0.9916
-3.28,26.224,10.074,0.9921
-3.26,26.896,10.732,0.9926
-3.24,25.74,11.862,0.9931
-3.22,27.062,11.028,0.9935
-3.2,26.73,8.288,0.9939
-3.18,26.51,10.162,0.9943
-3.16,25.912,10.814,0.9947
-3.14,26.65,8.894,0.995
-3.12,25.99,8.73,0.9954
-3.1,25.876,10.602,0.9957
-3.08,26.564,8.902,0.9959
-3.06,26.16,8.526,0.9962
-3.04,25.66,11.272,0.9964
-3.02,26.18,6.646,0.9967
-3.0,26.106,10.504,0.9969
-2.98,25.998,7.894,0.9971
-2.96,26.386,8.478,0.9973
-2.94,25.864,8.202,0.9974
-2.92,25.98,8.56,0.9976
-2.9,26.282,6.162,0.9978
-2.88,25.868,9.49,0.9979
-2.86,25.778,7.322,0.998
-2.84,26.074,7.348,0.9982
-2.82,25.516,8.752,0.9983
-2.8,25.636,5.716,0.9984
-2.78,25.888,7.08,0.9985
-2.76,24.788,9.152,0.9986
-2.74,25.014,9.114,0.9987
-2.72,24.154,8.508,0.9987
-2.7,24.95,7.592,0.9988
-2.68,24.302,6.744,0.9989
-2.66,25.048,7.03,0.999
-2.64,24.09,7.246,0.999
-2.62,25.0,7.652,0.9991
-2.6,23.904,8.296,0.9991
-2.58,25.304,7.57,0.9992
-2.56,24.82,6.24,0.9992
-2.54,25.34,5.27,0.9993
-2.52,23.938,7.322,0.9993
-2.5,24.87,7.494,0.9994
