iso,t_s,vDcInst,idc_units,iq_shed
17:28:35.980,1788877715.981,601.25,0.33,1.0
17:28:36.060,1788877716.061,601.49,0.33,1.0
17:28:36.140,1788877716.141,601.49,0.32,1.0
17:28:36.220,1788877716.221,601.25,0.33,1.0
17:28:36.300,1788877716.301,601.25,0.32,1.0
17:28:36.380,1788877716.381,601.49,0.33,1.0
17:28:36.460,1788877716.461,601.49,0.32,1.0
17:28:36.540,1788877716.541,601.73,0.33,1.0
17:28:36.620,1788877716.621,601.49,0.32,1.0
17:28:36.700,1788877716.701,601.49,0.32,1.0
17:28:36.780,1788877716.781,601.49,0.32,1.0
17:28:36.860,1788877716.861,601.73,0.32,1.0
17:28:36.940,1788877716.941,601.73,0.33,1.0
17:28:37.020,1788877717.021,601.49,0.32,1.0
17:28:37.100,1788877717.101,601.73,0.32,1.0
17:28:37.180,1788877717.181,601.73,0.32,1.0
17:28:37.260,1788877717.261,601.73,0.33,1.0
17:28:37.340,1788877717.341,601.49,0.33,1.0
17:28:37.420,1788877717.421,601.25,0.32,1.0
17:28:37.500,1788877717.501,601.49,0.33,1.0
17:28:37.580,1788877717.581,601.49,0.32,1.0
17:28:37.660,1788877717.661,601.73,0.33,1.0
17:28:37.740,1788877717.741,601.73,0.33,1.0
17:28:37.820,1788877717.821,601.49,0.33,1.0
17:28:37.900,1788877717.901,601.49,0.32,1.0
17:28:37.980,1788877717.981,601.73,0.33,1.0
17:28:38.060,1788877718.061,601.49,0.32,1.0
17:28:38.140,1788877718.141,601.49,0.32,1.0
17:28:38.220,1788877718.221,601.25,0.32,1.0
17:28:38.300,1788877718.301,601.49,0.33,1.0
17:28:38.380,1788877718.381,601.49,0.32,1.0
17:28:38.460,1788877718.461,601.73,0.32,1.0
17:28:38.540,1788877718.541,601.25,0.33,1.0
17:28:38.620,1788877718.621,601.25,0.31,1.0
17:28:38.700,1788877718.701,601.49,0.32,1.0
17:28:38.780,1788877718.781,601.49,0.32,1.0
17:28:38.860,1788877718.861,601.49,0.32,1.0
17:28:38.940,1788877718.941,601.49,0.33,1.0
17:28:39.020,1788877719.021,601.01,0.32,1.0
17:28:39.100,1788877719.101,601.49,0.32,1.0
17:28:39.180,1788877719.181,601.49,0.32,1.0
17:28:39.260,1788877719.261,601.49,0.32,1.0
17:28:39.340,1788877719.341,601.49,0.32,1.0
17:28:39.420,1788877719.421,601.49,0.32,1.0
17:28:39.500,1788877719.501,601.25,0.31,1.0
17:28:39.580,1788877719.581,601.49,0.32,1.0
17:28:39.660,1788877719.661,601.25,0.32,1.0
17:28:39.740,1788877719.741,601.25,0.32,1.0
17:28:39.820,1788877719.821,601.25,0.31,1.0
17:28:39.900,1788877719.901,601.49,0.32,1.0
17:28:39.980,1788877719.981,601.25,0.31,1.0
17:28:40.060,1788877720.061,601.49,0.31,1.0
17:28:40.140,1788877720.141,601.49,0.32,1.0
17:28:40.220,1788877720.221,601.25,0.32,1.0
17:28:40.300,1788877720.301,601.01,0.33,1.0
17:28:40.380,1788877720.381,601.25,0.32,1.0
17:28:40.460,1788877720.461,601.49,0.33,1.0
17:28:40.540,1788877720.541,601.25,0.33,1.0
17:28:40.620,1788877720.621,601.25,0.33,1.0
17:28:40.700,1788877720.701,601.25,0.32,1.0
17:28:40.780,1788877720.781,601.01,0.32,1.0
17:28:40.860,1788877720.861,601.25,0.33,1.0
17:28:40.940,1788877720.941,601.25,0.32,1.0
17:28:41.020,1788877721.021,601.01,0.32,1.0
17:28:41.100,1788877721.101,601.25,0.32,1.0
17:28:41.180,1788877721.181,601.01,0.32,1.0
17:28:41.260,1788877721.261,601.25,0.33,1.0
17:28:41.340,1788877721.341,601.25,0.32,1.0
17:28:41.420,1788877721.421,601.25,0.32,1.0
17:28:41.500,1788877721.501,601.25,0.33,1.0
17:28:41.580,1788877721.581,601.25,0.32,1.0
17:28:41.660,1788877721.661,601.25,0.33,1.0
17:28:41.740,1788877721.741,601.25,0.32,1.0
17:28:41.820,1788877721.821,601.25,0.32,1.0
17:28:41.900,1788877721.901,601.25,0.32,1.0
17:28:41.980,1788877721.981,601.49,0.32,1.0
17:28:42.060,1788877722.061,601.01,0.33,1.0
17:28:42.140,1788877722.141,601.25,0.32,1.0
17:28:42.220,1788877722.221,601.49,0.32,1.0
17:28:42.300,1788877722.301,601.25,0.33,1.0
17:28:42.380,1788877722.381,601.25,0.32,1.0
17:28:42.460,1788877722.461,601.49,0.33,1.0
17:28:42.540,1788877722.541,601.49,0.32,1.0
17:28:42.620,1788877722.621,601.25,0.32,1.0
17:28:42.700,1788877722.701,601.25,0.32,1.0
17:28:42.780,1788877722.781,601.25,0.32,1.0
17:28:42.860,1788877722.861,601.25,0.32,1.0
17:28:42.940,1788877722.941,601.25,0.33,1.0
17:28:43.020,1788877723.021,601.25,0.32,1.0
17:28:43.100,1788877723.101,601.49,0.32,1.0
17:28:43.180,1788877723.181,601.25,0.32,1.0
17:28:43.260,1788877723.261,601.25,0.32,1.0
17:28:43.340,1788877723.341,601.25,0.31,1.0
17:28:43.420,1788877723.421,601.25,0.32,1.0
17:28:43.500,1788877723.501,601.49,0.32,1.0
17:28:43.580,1788877723.581,601.49,0.32,1.0
17:28:43.660,1788877723.661,601.25,0.32,1.0
17:28:43.740,1788877723.741,601.49,0.32,1.0
17:28:43.820,1788877723.821,601.49,0.33,1.0
17:28:43.900,1788877723.901,601.49,0.32,1.0
17:28:43.980,1788877723.981,601.25,0.32,1.0
17:28:44.060,1788877724.061,601.25,0.33,1.0
17:28:44.140,1788877724.141,601.25,0.33,1.0
17:28:44.220,1788877724.221,601.25,0.33,1.0
17:28:44.300,1788877724.301,601.49,0.33,1.0
17:28:44.380,1788877724.381,601.49,0.33,1.0
17:28:44.460,1788877724.461,601.25,0.33,1.0
17:28:44.540,1788877724.541,601.25,0.33,1.0
17:28:44.620,1788877724.621,601.49,0.33,1.0
17:28:44.700,1788877724.701,601.49,0.33,1.0
17:28:44.780,1788877724.781,601.25,0.33,1.0
17:28:44.860,1788877724.861,601.25,0.33,1.0
17:28:44.940,1788877724.941,601.25,0.33,1.0
17:28:45.020,1788877725.021,601.25,0.33,1.0
17:28:45.100,1788877725.101,601.49,0.33,1.0
17:28:45.180,1788877725.181,601.49,0.33,1.0
17:28:45.260,1788877725.261,601.49,0.32,1.0
17:28:45.340,1788877725.341,601.25,0.33,1.0
17:28:45.420,1788877725.421,601.49,0.33,1.0
17:28:45.500,1788877725.501,601.49,0.32,1.0
17:28:45.580,1788877725.581,601.49,0.33,1.0
17:28:45.660,1788877725.661,601.49,0.32,1.0
17:28:45.740,1788877725.741,601.73,0.33,1.0
17:28:45.820,1788877725.821,601.97,0.33,1.0
17:28:45.900,1788877725.901,601.49,0.33,1.0
17:28:45.980,1788877725.981,601.49,0.32,1.0
17:28:46.060,1788877726.061,601.97,0.32,1.0
17:28:46.140,1788877726.141,601.49,0.33,1.0
17:28:46.220,1788877726.221,601.49,0.32,1.0
17:28:46.300,1788877726.301,601.49,0.33,1.0
17:28:46.380,1788877726.381,601.49,0.32,1.0
17:28:46.460,1788877726.461,601.49,0.32,1.0
17:28:46.540,1788877726.541,601.49,0.32,1.0
17:28:46.620,1788877726.621,601.49,0.31,1.0
17:28:46.700,1788877726.701,601.73,0.32,1.0
17:28:46.780,1788877726.781,601.49,0.32,1.0
17:28:46.860,1788877726.861,601.49,0.32,1.0
17:28:46.940,1788877726.941,601.49,0.32,1.0
17:28:47.020,1788877727.021,601.49,0.32,1.0
17:28:47.100,1788877727.101,601.25,0.32,1.0
17:28:47.180,1788877727.181,601.25,0.32,1.0
17:28:47.260,1788877727.261,601.25,0.33,1.0
17:28:47.340,1788877727.341,601.49,0.32,1.0
17:28:47.420,1788877727.421,601.25,0.33,1.0
17:28:47.500,1788877727.501,601.49,0.32,1.0
17:28:47.580,1788877727.581,601.49,0.32,1.0
17:28:47.660,1788877727.661,601.25,0.32,1.0
17:28:47.740,1788877727.741,601.25,0.32,1.0
17:28:47.820,1788877727.821,601.49,0.32,1.0
17:28:47.900,1788877727.901,601.25,0.33,1.0
17:28:47.980,1788877727.981,601.25,0.33,1.0
17:28:48.060,1788877728.061,601.49,0.33,1.0
17:28:48.140,1788877728.141,601.73,0.33,1.0
17:28:48.220,1788877728.221,601.49,0.32,1.0
17:28:48.300,1788877728.301,601.49,0.32,1.0
17:28:48.380,1788877728.381,601.25,0.33,1.0
17:28:48.460,1788877728.461,601.49,0.33,1.0
17:28:48.540,1788877728.541,601.49,0.33,1.0
17:28:48.620,1788877728.621,601.25,0.33,1.0
17:28:48.700,1788877728.701,601.49,0.33,1.0
17:28:48.780,1788877728.781,601.25,0.32,1.0
17:28:48.860,1788877728.861,601.25,0.33,1.0
17:28:48.940,1788877728.941,601.49,0.33,1.0
17:28:49.020,1788877729.021,601.25,0.32,1.0
17:28:49.100,1788877729.101,601.49,0.32,1.0
17:28:49.180,1788877729.181,601.01,0.32,1.0
17:28:49.260,1788877729.261,601.49,0.33,1.0
17:28:49.340,1788877729.341,601.49,0.33,1.0
17:28:49.420,1788877729.421,601.49,0.32,1.0
17:28:49.500,1788877729.501,601.25,0.33,1.0
17:28:49.580,1788877729.581,601.25,0.32,1.0
17:28:49.660,1788877729.661,601.49,0.33,1.0
17:28:49.740,1788877729.741,601.49,0.33,1.0
17:28:49.820,1788877729.821,601.49,0.32,1.0
17:28:49.900,1788877729.901,601.25,0.32,1.0
17:28:49.980,1788877729.981,601.49,0.32,1.0
17:28:50.060,1788877730.061,601.49,0.33,1.0
17:28:50.140,1788877730.141,601.25,0.31,1.0
17:28:50.220,1788877730.221,601.49,0.32,1.0
17:28:50.300,1788877730.301,601.25,0.31,1.0
17:28:50.380,1788877730.381,601.25,0.32,1.0
17:28:50.460,1788877730.461,601.49,0.31,1.0
17:28:50.540,1788877730.541,601.49,0.32,1.0
17:28:50.620,1788877730.621,601.49,0.32,1.0
17:28:50.700,1788877730.701,601.25,0.32,1.0
17:28:50.780,1788877730.781,601.25,0.32,1.0
17:28:50.860,1788877730.861,601.25,0.32,1.0
17:28:50.940,1788877730.941,601.49,0.33,1.0
17:28:51.020,1788877731.021,601.25,0.33,1.0
17:28:51.100,1788877731.101,601.25,0.32,1.0
17:28:51.180,1788877731.181,601.25,0.32,1.0
17:28:51.260,1788877731.261,601.49,0.32,1.0
17:28:51.340,1788877731.341,601.49,0.33,1.0
17:28:51.420,1788877731.421,601.49,0.32,1.0
17:28:51.500,1788877731.501,601.25,0.33,1.0
17:28:51.580,1788877731.581,601.25,0.32,1.0
17:28:51.660,1788877731.661,601.49,0.33,1.0
17:28:51.740,1788877731.741,601.49,0.32,1.0
17:28:51.820,1788877731.821,601.25,0.33,1.0
17:28:51.900,1788877731.901,601.25,0.32,1.0
17:28:51.980,1788877731.981,601.49,0.32,1.0
17:28:52.060,1788877732.061,601.49,0.33,1.0
17:28:52.140,1788877732.141,601.49,0.32,1.0
17:28:52.220,1788877732.221,601.25,0.33,1.0
17:28:52.300,1788877732.301,601.25,0.32,1.0
17:28:52.380,1788877732.381,601.25,0.33,1.0
17:28:52.460,1788877732.461,601.49,0.32,1.0
17:28:52.540,1788877732.541,601.49,0.32,1.0
17:28:52.620,1788877732.621,601.49,0.33,1.0
17:28:52.700,1788877732.701,601.49,0.32,1.0
17:28:52.780,1788877732.781,601.49,0.32,1.0
17:28:52.860,1788877732.861,601.25,0.32,1.0
17:28:52.940,1788877732.941,601.49,0.33,1.0
