iso,t_s,vDcInst,idc_units,iq_shed
20:03:41.037,1788887021.038,604.15,0.45,1.0
20:03:41.117,1788887021.118,604.15,0.45,1.0
20:03:41.197,1788887021.198,603.91,0.45,1.0
20:03:41.277,1788887021.278,604.15,0.45,1.0
20:03:41.357,1788887021.358,604.15,0.46,1.0
20:03:41.437,1788887021.438,603.91,0.45,1.0
20:03:41.517,1788887021.518,603.91,0.46,1.0
20:03:41.597,1788887021.598,603.91,0.45,1.0
20:03:41.677,1788887021.678,604.15,0.45,1.0
20:03:41.757,1788887021.758,603.91,0.45,1.0
20:03:41.837,1788887021.838,604.15,0.46,1.0
20:03:41.917,1788887021.918,603.91,0.45,1.0
20:03:41.997,1788887021.998,603.91,0.46,1.0
20:03:42.077,1788887022.078,604.15,0.45,1.0
20:03:42.157,1788887022.158,604.15,0.45,1.0
20:03:42.237,1788887022.238,603.91,0.45,1.0
20:03:42.317,1788887022.318,603.91,0.45,1.0
20:03:42.397,1788887022.398,603.91,0.45,1.0
20:03:42.477,1788887022.478,603.91,0.45,1.0
20:03:42.557,1788887022.558,603.91,0.45,1.0
20:03:42.637,1788887022.638,604.15,0.46,1.0
20:03:42.717,1788887022.718,603.91,0.45,1.0
20:03:42.797,1788887022.798,603.91,0.45,1.0
20:03:42.877,1788887022.878,603.91,0.45,1.0
20:03:42.957,1788887022.958,604.15,0.45,1.0
20:03:43.037,1788887023.038,604.15,0.45,1.0
20:03:43.117,1788887023.118,604.15,0.45,1.0
20:03:43.197,1788887023.198,603.91,0.46,1.0
20:03:43.277,1788887023.278,604.15,0.45,1.0
20:03:43.357,1788887023.358,604.15,0.46,1.0
20:03:43.437,1788887023.438,603.91,0.46,1.0
20:03:43.517,1788887023.518,603.91,0.45,1.0
20:03:43.597,1788887023.598,603.91,0.45,1.0
20:03:43.677,1788887023.678,604.15,0.45,1.0
20:03:43.757,1788887023.758,603.91,0.46,1.0
20:03:43.837,1788887023.838,603.91,0.45,1.0
20:03:43.917,1788887023.918,603.91,0.45,1.0
20:03:43.997,1788887023.998,603.91,0.46,1.0
20:03:44.077,1788887024.078,604.15,0.45,1.0
20:03:44.157,1788887024.158,603.91,0.45,1.0
20:03:44.237,1788887024.238,603.91,0.45,1.0
20:03:44.317,1788887024.318,604.15,0.45,1.0
20:03:44.397,1788887024.398,603.91,0.45,1.0
20:03:44.477,1788887024.478,604.15,0.45,1.0
20:03:44.557,1788887024.558,603.91,0.45,1.0
20:03:44.637,1788887024.638,603.91,0.44,1.0
20:03:44.717,1788887024.718,603.91,0.45,1.0
20:03:44.797,1788887024.798,603.91,0.45,1.0
20:03:44.877,1788887024.878,603.91,0.45,1.0
20:03:44.957,1788887024.958,603.91,0.45,1.0
20:03:45.037,1788887025.038,604.15,0.45,1.0
20:03:45.117,1788887025.118,603.91,0.44,1.0
20:03:45.197,1788887025.198,604.15,0.45,1.0
