iso,t_s,vDcInst,idc_units,iq_shed
17:17:12.502,1788877032.502,601.25,0.31,1.0
17:17:12.582,1788877032.582,601.01,0.32,1.0
17:17:12.662,1788877032.662,601.01,0.32,1.0
17:17:12.742,1788877032.742,601.25,0.32,1.0
17:17:12.822,1788877032.822,601.25,0.32,1.0
17:17:12.902,1788877032.902,601.25,0.32,1.0
17:17:12.982,1788877032.982,601.49,0.32,1.0
17:17:13.062,1788877033.062,601.25,0.32,1.0
17:17:13.142,1788877033.142,601.25,0.31,1.0
17:17:13.222,1788877033.222,601.49,0.32,1.0
17:17:13.302,1788877033.302,601.25,0.33,1.0
17:17:13.382,1788877033.382,601.25,0.32,1.0
17:17:13.462,1788877033.462,601.01,0.32,1.0
17:17:13.542,1788877033.542,601.49,0.31,1.0
17:17:13.622,1788877033.622,601.49,0.32,1.0
17:17:13.702,1788877033.702,601.01,0.33,1.0
17:17:13.782,1788877033.782,601.49,0.32,1.0
17:17:13.862,1788877033.862,601.25,0.32,1.0
17:17:13.942,1788877033.942,601.49,0.31,1.0
17:17:14.022,1788877034.022,601.25,0.32,1.0
17:17:14.102,1788877034.102,601.01,0.31,1.0
17:17:14.182,1788877034.182,601.25,0.32,1.0
17:17:14.262,1788877034.262,601.49,0.31,1.0
17:17:14.342,1788877034.342,601.25,0.32,1.0
17:17:14.422,1788877034.422,601.49,0.31,1.0
17:17:14.502,1788877034.502,601.49,0.33,1.0
17:17:14.582,1788877034.582,601.25,0.32,1.0
17:17:14.662,1788877034.662,601.25,0.32,1.0
17:17:14.742,1788877034.742,601.25,0.32,1.0
17:17:14.822,1788877034.822,601.49,0.31,1.0
17:17:14.902,1788877034.902,601.25,0.32,1.0
17:17:14.982,1788877034.982,601.25,0.32,1.0
17:17:15.062,1788877035.062,601.49,0.32,1.0
17:17:15.142,1788877035.142,601.25,0.32,1.0
17:17:15.222,1788877035.222,601.49,0.31,1.0
17:17:15.302,1788877035.302,601.25,0.32,1.0
17:17:15.382,1788877035.382,601.25,0.32,1.0
17:17:15.462,1788877035.462,601.25,0.31,1.0
17:17:15.542,1788877035.542,601.25,0.32,1.0
17:17:15.622,1788877035.622,601.25,0.32,1.0
17:17:15.702,1788877035.702,601.25,0.32,1.0
17:17:15.782,1788877035.782,601.49,0.31,1.0
17:17:15.862,1788877035.862,601.25,0.33,1.0
17:17:15.942,1788877035.942,601.25,0.32,1.0
17:17:16.022,1788877036.022,601.25,0.31,1.0
17:17:16.102,1788877036.102,601.25,0.31,1.0
17:17:16.182,1788877036.182,601.49,0.31,1.0
17:17:16.262,1788877036.262,601.49,0.31,1.0
17:17:16.342,1788877036.342,601.49,0.31,1.0
17:17:16.422,1788877036.422,601.49,0.31,1.0
17:17:16.502,1788877036.502,601.25,0.31,1.0
17:17:16.582,1788877036.582,601.25,0.32,1.0
17:17:16.662,1788877036.662,601.49,0.32,1.0
17:17:16.742,1788877036.742,601.25,0.32,1.0
17:17:16.822,1788877036.822,601.25,0.33,1.0
17:17:16.902,1788877036.902,601.25,0.32,1.0
17:17:16.982,1788877036.982,601.49,0.32,1.0
17:17:17.062,1788877037.062,601.25,0.32,1.0
17:17:17.142,1788877037.142,601.25,0.32,1.0
17:17:17.222,1788877037.222,601.25,0.32,1.0
17:17:17.302,1788877037.302,601.25,0.32,1.0
17:17:17.382,1788877037.382,601.25,0.32,1.0
17:17:17.462,1788877037.462,601.49,0.32,1.0
17:17:17.542,1788877037.542,601.25,0.32,1.0
17:17:17.622,1788877037.622,601.25,0.32,1.0
17:17:17.702,1788877037.702,601.25,0.32,1.0
17:17:17.782,1788877037.782,601.25,0.32,1.0
17:17:17.862,1788877037.862,601.49,0.32,1.0
17:17:17.942,1788877037.942,601.49,0.32,1.0
17:17:18.022,1788877038.022,601.25,0.32,1.0
17:17:18.102,1788877038.102,601.25,0.32,1.0
17:17:18.182,1788877038.182,601.25,0.32,1.0
17:17:18.262,1788877038.262,601.49,0.32,1.0
17:17:18.342,1788877038.342,601.25,0.32,1.0
17:17:18.422,1788877038.422,601.25,0.32,1.0
17:17:18.502,1788877038.502,601.01,0.33,1.0
17:17:18.582,1788877038.582,601.25,0.31,1.0
17:17:18.662,1788877038.662,601.49,0.32,1.0
17:17:18.742,1788877038.742,601.49,0.32,1.0
17:17:18.822,1788877038.822,601.25,0.32,1.0
17:17:18.902,1788877038.902,601.01,0.32,1.0
17:17:18.982,1788877038.982,601.25,0.32,1.0
17:17:19.062,1788877039.062,601.25,0.32,1.0
17:17:19.142,1788877039.142,601.25,0.32,1.0
17:17:19.222,1788877039.222,601.25,0.32,1.0
17:17:19.302,1788877039.302,601.01,0.32,1.0
17:17:19.382,1788877039.382,601.25,0.32,1.0
17:17:19.462,1788877039.462,601.25,0.32,1.0
17:17:19.542,1788877039.542,601.49,0.31,1.0
17:17:19.622,1788877039.622,601.01,0.31,1.0
17:17:19.702,1788877039.702,601.25,0.31,1.0
17:17:19.782,1788877039.782,601.25,0.31,1.0
17:17:19.862,1788877039.862,601.25,0.31,1.0
17:17:19.942,1788877039.942,601.25,0.31,1.0
17:17:20.022,1788877040.022,601.01,0.32,1.0
17:17:20.102,1788877040.102,601.25,0.32,1.0
17:17:20.182,1788877040.182,601.25,0.32,1.0
17:17:20.262,1788877040.262,601.49,0.32,1.0
17:17:20.342,1788877040.342,601.01,0.33,1.0
