iso,t_s,wm_hat_hz,iq,id
14:32:53.210,1788867173.21,0.0,0.0,0.0
14:32:53.210,1788867173.211,0.0,0.0,0.0
14:32:53.210,1788867173.211,0.0,0.0,0.0
14:32:53.210,1788867173.211,0.0,0.0,0.0
14:32:53.211,1788867173.211,0.0,0.0,0.0
14:32:53.211,1788867173.211,0.0,0.0,0.0
14:32:53.211,1788867173.212,0.0,0.0,0.0
14:32:53.211,1788867173.212,0.0,0.0,0.0
14:32:53.211,1788867173.212,0.0,0.0,0.0
14:32:53.212,1788867173.212,0.0,0.0,0.0
14:32:53.212,1788867173.212,0.0,0.0,0.0
14:32:53.212,1788867173.213,0.0,0.0,0.0
14:32:53.212,1788867173.213,0.0,0.0,0.0
14:32:53.212,1788867173.213,0.0,0.0,0.0
14:32:53.213,1788867173.213,0.0,0.0,0.0
14:32:53.213,1788867173.213,0.0,0.0,0.0
14:32:53.213,1788867173.214,0.0,0.0,0.0
14:32:53.213,1788867173.214,0.0,0.0,0.0
14:32:53.213,1788867173.214,0.0,0.0,0.0
14:32:53.214,1788867173.214,0.0,0.0,0.0
14:32:53.214,1788867173.214,0.0,0.0,0.0
14:32:53.214,1788867173.215,0.0,0.0,0.0
14:32:53.214,1788867173.215,0.0,0.0,0.0
14:32:53.214,1788867173.215,0.0,0.0,0.0
14:32:53.215,1788867173.215,0.0,0.0,0.0
14:32:53.215,1788867173.215,0.0,0.0,0.0
14:32:53.215,1788867173.216,0.0,0.0,0.0
14:32:53.215,1788867173.216,0.0,0.0,0.0
14:32:53.215,1788867173.216,0.0,0.0,0.0
14:32:53.216,1788867173.216,0.0,0.0,0.0
14:32:53.216,1788867173.216,0.0,0.0,0.0
14:32:53.216,1788867173.217,0.0,0.0,0.0
14:32:53.216,1788867173.217,0.0,0.0,0.0
14:32:53.216,1788867173.217,0.0,0.0,0.0
14:32:53.217,1788867173.217,0.0,0.0,0.0
14:32:53.217,1788867173.217,0.0,0.0,0.0
14:32:53.217,1788867173.218,0.0,0.0,0.0
14:32:53.217,1788867173.218,0.0,0.0,0.0
14:32:53.217,1788867173.218,0.0,0.0,0.0
14:32:53.218,1788867173.218,0.0,0.0,0.0
14:32:53.218,1788867173.218,0.0,0.0,0.0
14:32:53.218,1788867173.219,0.0,0.0,0.0
14:32:53.218,1788867173.219,0.0,0.0,0.0
14:32:53.218,1788867173.219,0.0,0.0,0.0
14:32:53.219,1788867173.219,0.0,0.0,0.0
14:32:53.219,1788867173.219,0.0,0.0,0.0
14:32:53.219,1788867173.22,0.0,0.0,0.0
14:32:53.219,1788867173.22,0.0,0.0,0.0
14:32:53.219,1788867173.22,0.0,0.0,0.0
14:32:53.220,1788867173.22,0.0,0.0,0.0
14:32:53.220,1788867173.22,0.0,0.0,0.0
14:32:53.220,1788867173.221,0.0,0.0,0.0
14:32:53.220,1788867173.221,0.0,0.0,0.0
14:32:53.220,1788867173.221,0.0,0.0,0.0
14:32:53.221,1788867173.221,0.0,0.0,0.0
14:32:53.221,1788867173.221,0.0,0.0,0.0
14:32:53.221,1788867173.222,0.0,0.0,0.0
14:32:53.221,1788867173.222,0.0,0.0,0.0
14:32:53.221,1788867173.222,0.0,0.0,0.0
14:32:53.222,1788867173.222,0.0,0.0,0.0
14:32:53.222,1788867173.222,0.0,0.0,0.0
14:32:53.222,1788867173.223,0.0,0.0,0.0
14:32:53.222,1788867173.223,0.0,0.0,0.0
14:32:53.222,1788867173.223,0.0,0.0,0.0
14:32:53.223,1788867173.223,0.0,0.0,0.0
14:32:53.223,1788867173.223,0.0,0.0,0.0
14:32:53.223,1788867173.224,0.0,0.0,0.0
14:32:53.223,1788867173.224,0.0,0.0,0.0
14:32:53.223,1788867173.224,0.0,0.0,0.0
14:32:53.224,1788867173.224,0.0,0.0,0.0
14:32:53.224,1788867173.224,0.0,0.0,0.0
14:32:53.224,1788867173.225,0.0,0.0,0.0
14:32:53.224,1788867173.225,0.0,0.0,0.0
14:32:53.224,1788867173.225,0.0,0.0,0.0
14:32:53.225,1788867173.225,0.0,0.0,0.0
14:32:53.225,1788867173.225,0.0,0.0,0.0
14:32:53.225,1788867173.226,0.0,0.0,0.0
14:32:53.225,1788867173.226,0.0,0.0,0.0
14:32:53.225,1788867173.226,0.0,0.0,0.0
14:32:53.226,1788867173.226,0.0,0.0,0.0
14:32:53.226,1788867173.226,0.0,0.0,0.0
14:32:53.226,1788867173.227,0.0,0.0,0.0
14:32:53.226,1788867173.227,0.0,0.0,0.0
14:32:53.226,1788867173.227,0.0,0.0,0.0
14:32:53.227,1788867173.227,0.0,0.0,0.0
14:32:53.227,1788867173.227,0.0,0.0,0.0
14:32:53.227,1788867173.228,0.0,0.0,0.0
14:32:53.227,1788867173.228,0.0,0.0,0.0
14:32:53.227,1788867173.228,0.0,0.0,0.0
14:32:53.228,1788867173.228,0.0,0.0,0.0
14:32:53.228,1788867173.228,0.0,0.0,0.0
14:32:53.228,1788867173.229,0.0,0.0,0.0
14:32:53.228,1788867173.229,0.0,0.0,0.0
14:32:53.228,1788867173.229,0.0,0.0,0.0
14:32:53.229,1788867173.229,0.0,0.0,0.0
14:32:53.229,1788867173.229,0.0,0.0,0.0
14:32:53.229,1788867173.23,0.0,0.0,0.0
14:32:53.229,1788867173.23,0.0,0.0,0.0
14:32:53.229,1788867173.23,0.0,0.0,0.0
14:32:53.230,1788867173.23,0.0,0.0,0.0
14:32:53.230,1788867173.23,0.0,0.0,0.0
14:32:53.230,1788867173.231,0.0,0.0,0.0
14:32:53.230,1788867173.231,0.0,0.0,0.0
14:32:53.230,1788867173.231,0.0,0.0,0.0
14:32:53.231,1788867173.231,0.0,0.0,0.0
14:32:53.231,1788867173.231,0.0,0.0,0.0
14:32:53.231,1788867173.232,0.0,0.0,0.0
14:32:53.231,1788867173.232,0.0,0.0,0.0
14:32:53.231,1788867173.232,0.0,0.0,0.0
14:32:53.232,1788867173.232,0.0,0.0,0.0
14:32:53.232,1788867173.232,0.0,0.0,0.0
14:32:53.232,1788867173.233,0.0,0.0,0.0
14:32:53.232,1788867173.233,0.0,0.0,0.0
14:32:53.232,1788867173.233,0.0,0.0,0.0
14:32:53.233,1788867173.233,0.0,0.0,0.0
14:32:53.233,1788867173.233,0.0,0.0,0.0
14:32:53.233,1788867173.234,0.0,0.0,0.0
14:32:53.233,1788867173.234,0.0,0.0,0.0
14:32:53.233,1788867173.234,0.0,0.0,0.0
14:32:53.234,1788867173.234,0.0,0.0,0.0
14:32:53.234,1788867173.234,0.0,0.0,0.0
14:32:53.234,1788867173.235,0.0,0.0,0.0
14:32:53.234,1788867173.235,0.0,0.0,0.0
14:32:53.234,1788867173.235,0.0,0.0,0.0
14:32:53.235,1788867173.235,0.0,0.0,0.0
14:32:53.235,1788867173.235,0.0,0.0,0.0
14:32:53.235,1788867173.236,0.0,0.0,0.0
14:32:53.235,1788867173.236,0.0,0.0,0.0
14:32:53.235,1788867173.236,0.0,0.0,0.0
14:32:53.236,1788867173.236,0.0,0.0,0.0
14:32:53.236,1788867173.236,0.0,0.0,0.0
14:32:53.236,1788867173.237,0.0,0.0,0.0
14:32:53.236,1788867173.237,0.0,0.0,0.0
14:32:53.236,1788867173.237,0.0,0.0,0.0
14:32:53.237,1788867173.237,0.0,0.0,0.0
14:32:53.237,1788867173.237,0.0,0.0,0.0
14:32:53.237,1788867173.238,0.0,0.0,0.0
14:32:53.237,1788867173.238,0.0,0.0,0.0
14:32:53.237,1788867173.238,0.0,0.0,0.0
14:32:53.238,1788867173.238,0.0,0.0,0.0
14:32:53.238,1788867173.238,0.0,0.0,0.0
14:32:53.238,1788867173.239,0.0,0.0,0.0
14:32:53.238,1788867173.239,0.0,0.0,0.0
14:32:53.238,1788867173.239,0.0,0.0,0.0
14:32:53.239,1788867173.239,0.0,0.0,0.0
14:32:53.239,1788867173.239,0.0,0.0,0.0
14:32:53.239,1788867173.24,0.0,0.0,0.0
14:32:53.239,1788867173.24,0.0,0.0,0.0
14:32:53.239,1788867173.24,0.0,0.0,0.0
14:32:53.240,1788867173.24,0.0,0.0,0.0
14:32:53.240,1788867173.24,0.0,0.0,0.0
14:32:53.240,1788867173.241,0.0,0.0,0.0
14:32:53.240,1788867173.241,0.0,0.0,0.0
14:32:53.240,1788867173.241,0.0,0.0,0.0
14:32:53.241,1788867173.241,0.0,0.0,0.0
14:32:53.241,1788867173.241,0.0,0.0,0.0
14:32:53.241,1788867173.242,0.0,0.0,0.0
14:32:53.241,1788867173.242,0.0,0.0,0.0
14:32:53.241,1788867173.242,0.0,0.0,0.0
14:32:53.242,1788867173.242,0.0,0.0,0.0
14:32:53.242,1788867173.242,0.0,0.0,0.0
14:32:53.242,1788867173.243,0.0,0.0,0.0
14:32:53.242,1788867173.243,0.0,0.0,0.0
14:32:53.242,1788867173.243,0.0,0.0,0.0
14:32:53.243,1788867173.243,0.0,0.0,0.0
14:32:53.243,1788867173.243,0.0,0.0,0.0
14:32:53.243,1788867173.244,0.0,0.0,0.0
14:32:53.243,1788867173.244,0.0,0.0,0.0
14:32:53.243,1788867173.244,0.0,0.0,0.0
14:32:53.244,1788867173.244,0.0,0.0,0.0
14:32:53.244,1788867173.244,0.0,0.0,0.0
14:32:53.244,1788867173.245,0.0,0.0,0.0
14:32:53.244,1788867173.245,0.0,0.0,0.0
14:32:53.244,1788867173.245,0.0,0.0,0.0
14:32:53.245,1788867173.245,0.0,0.0,0.0
14:32:53.245,1788867173.245,0.0,0.0,0.0
14:32:53.245,1788867173.246,0.0,0.0,0.0
14:32:53.245,1788867173.246,0.0,0.0,0.0
14:32:53.245,1788867173.246,0.0,0.0,0.0
14:32:53.246,1788867173.246,0.0,0.0,0.0
14:32:53.246,1788867173.246,0.0,0.0,0.0
14:32:53.246,1788867173.247,0.0,0.0,0.0
14:32:53.246,1788867173.247,0.0,0.0,0.0
14:32:53.246,1788867173.247,0.0,0.0,0.0
14:32:53.247,1788867173.247,0.0,0.0,0.0
14:32:53.247,1788867173.247,0.0,0.0,0.0
14:32:53.247,1788867173.248,0.0,0.0,0.0
14:32:53.247,1788867173.248,0.0,0.0,0.0
14:32:53.247,1788867173.248,0.0,0.0,0.0
14:32:53.248,1788867173.248,0.0,0.0,0.0
14:32:53.248,1788867173.248,0.0,0.0,0.0
14:32:53.248,1788867173.249,0.0,0.0,0.0
14:32:53.248,1788867173.249,0.0,0.0,0.0
14:32:53.248,1788867173.249,0.0,0.0,0.0
14:32:53.249,1788867173.249,0.0,0.0,0.0
14:32:53.249,1788867173.249,0.0,0.0,0.0
14:32:53.249,1788867173.25,0.0,0.0,0.0
14:32:53.249,1788867173.25,0.0,0.0,0.0
14:32:53.249,1788867173.25,0.0,0.0,0.0
14:32:53.250,1788867173.25,0.0,0.0,0.0
14:32:53.250,1788867173.25,0.0,0.0,0.0
14:32:53.250,1788867173.251,0.0,0.0,0.0
14:32:53.250,1788867173.251,0.0,0.0,0.0
14:32:53.250,1788867173.251,0.0,0.0,0.0
14:32:53.251,1788867173.251,0.0,0.0,0.0
14:32:53.251,1788867173.251,0.0,0.0,0.0
14:32:53.251,1788867173.252,0.0,0.0,0.0
14:32:53.251,1788867173.252,0.0,0.0,0.0
14:32:53.251,1788867173.252,0.0,0.0,0.0
14:32:53.252,1788867173.252,0.0,0.0,0.0
14:32:53.252,1788867173.252,0.0,0.0,0.0
14:32:53.252,1788867173.253,0.0,0.0,0.0
14:32:53.252,1788867173.253,0.0,0.0,0.0
14:32:53.252,1788867173.253,0.0,0.0,0.0
14:32:53.253,1788867173.253,0.0,0.0,0.0
14:32:53.253,1788867173.253,0.0,0.0,0.0
14:32:53.253,1788867173.254,0.0,0.0,0.0
14:32:53.253,1788867173.254,0.0,0.0,0.0
14:32:53.253,1788867173.254,0.0,0.0,0.0
14:32:53.254,1788867173.254,0.0,0.0,0.0
14:32:53.254,1788867173.254,0.0,0.0,0.0
14:32:53.254,1788867173.255,0.0,0.0,0.0
14:32:53.254,1788867173.255,0.0,0.0,0.0
14:32:53.254,1788867173.255,0.0,0.0,0.0
14:32:53.255,1788867173.255,0.0,0.0,0.0
14:32:53.255,1788867173.255,0.0,0.0,0.0
14:32:53.255,1788867173.256,0.0,0.0,0.0
14:32:53.255,1788867173.256,0.0,0.0,0.0
14:32:53.255,1788867173.256,0.0,0.0,0.0
14:32:53.256,1788867173.256,0.0,0.0,0.0
14:32:53.256,1788867173.256,0.0,0.0,0.0
14:32:53.256,1788867173.257,0.0,0.0,0.0
14:32:53.256,1788867173.257,0.0,0.0,0.0
14:32:53.256,1788867173.257,0.0,0.0,0.0
14:32:53.257,1788867173.257,0.0,0.0,0.0
14:32:53.257,1788867173.257,0.0,0.0,0.0
14:32:53.257,1788867173.258,0.0,0.0,0.0
14:32:53.257,1788867173.258,0.0,0.0,0.0
14:32:53.257,1788867173.258,0.0,0.0,0.0
14:32:53.258,1788867173.258,0.0,0.0,0.0
14:32:53.258,1788867173.258,0.0,0.0,0.0
14:32:53.258,1788867173.259,0.0,0.0,0.0
14:32:53.258,1788867173.259,0.0,0.0,0.0
14:32:53.258,1788867173.259,0.0,0.0,0.0
14:32:53.259,1788867173.259,0.0,0.0,0.0
14:32:53.259,1788867173.259,0.0,0.0,0.0
14:32:53.259,1788867173.26,0.0,0.0,0.0
14:32:53.259,1788867173.26,0.0,0.0,0.0
14:32:53.259,1788867173.26,0.0,0.0,0.0
14:32:53.260,1788867173.26,0.0,0.0,0.0
14:32:53.260,1788867173.26,0.0,0.0,0.0
14:32:53.260,1788867173.261,0.0,0.0,0.0
14:32:53.260,1788867173.261,0.0,0.0,0.0
14:32:53.260,1788867173.261,0.0,0.0,0.0
14:32:53.261,1788867173.261,0.0,0.0,0.0
14:32:53.261,1788867173.261,0.0,0.0,0.0
