iso,t_s,vDcInst,set_freq,iq_shed
11:48:14.948,1788770894.948,469.25,46.87,0.9999
11:48:15.028,1788770895.028,469.25,46.87,0.9999
11:48:15.108,1788770895.108,467.8,46.87,0.9999
11:48:15.188,1788770895.188,469.73,46.87,0.9999
11:48:15.268,1788770895.268,469.25,46.87,0.9999
11:48:15.348,1788770895.348,469.73,46.87,0.9999
11:48:15.428,1788770895.428,469.73,47.07,0.9999
11:48:15.508,1788770895.508,468.76,47.07,0.9999
11:48:15.588,1788770895.588,469.01,47.07,0.9999
11:48:15.668,1788770895.668,469.73,47.07,0.9999
11:48:15.748,1788770895.748,468.28,46.99,0.9999
11:48:15.828,1788770895.828,469.25,46.99,0.9999
11:48:15.908,1788770895.908,468.52,46.88,0.9999
11:48:15.988,1788770895.988,468.28,46.88,0.9999
11:48:16.068,1788770896.068,469.25,46.88,0.9999
11:48:16.148,1788770896.148,468.04,46.88,0.9999
11:48:16.228,1788770896.228,469.01,46.52,0.9999
11:48:16.308,1788770896.308,469.25,46.46,0.9999
11:48:16.388,1788770896.388,469.49,46.46,0.9999
11:48:16.468,1788770896.468,469.25,46.46,0.9999
11:48:16.548,1788770896.548,468.04,46.46,0.9999
11:48:16.628,1788770896.628,469.73,46.46,0.9999
11:48:16.708,1788770896.708,468.28,46.46,0.9999
11:48:16.788,1788770896.788,469.49,46.46,0.9999
11:48:16.868,1788770896.868,469.01,46.46,0.9999
11:48:16.948,1788770896.948,467.56,46.46,0.9999
11:48:17.028,1788770897.028,468.76,46.65,0.9999
11:48:17.108,1788770897.108,469.01,46.6,0.9999
11:48:17.188,1788770897.188,468.52,46.6,0.9999
11:48:17.268,1788770897.268,469.97,46.54,0.9999
11:48:17.348,1788770897.348,469.01,46.54,0.9999
11:48:17.428,1788770897.428,468.28,46.54,0.9999
11:48:17.508,1788770897.508,469.25,46.47,0.9999
11:48:17.588,1788770897.588,468.76,46.47,0.9999
11:48:17.668,1788770897.668,468.76,46.47,0.9999
11:48:17.748,1788770897.748,468.76,46.47,0.9999
11:48:17.828,1788770897.828,468.76,46.55,0.9999
11:48:17.908,1788770897.908,468.52,46.55,0.9999
11:48:17.988,1788770897.988,468.76,46.55,0.9999
11:48:18.068,1788770898.068,469.49,46.55,0.9999
11:48:18.148,1788770898.148,469.73,46.55,0.9999
11:48:18.228,1788770898.228,469.25,46.55,0.9999
11:48:18.308,1788770898.308,469.73,46.55,0.9999
11:48:18.388,1788770898.388,467.8,46.55,0.9999
11:48:18.468,1788770898.468,469.25,46.55,0.9999
11:48:18.548,1788770898.548,469.49,46.55,0.9999
11:48:18.628,1788770898.628,468.28,46.75,0.9999
11:48:18.708,1788770898.708,470.46,46.75,0.9999
11:48:18.788,1788770898.788,468.76,46.75,0.9999
11:48:18.868,1788770898.868,468.28,46.75,0.9999
11:48:18.948,1788770898.948,469.01,46.75,0.9999
11:48:19.028,1788770899.028,468.52,46.75,0.9999
11:48:19.108,1788770899.108,469.25,46.75,0.9999
11:48:19.188,1788770899.188,468.76,46.75,0.9999
11:48:19.268,1788770899.268,469.25,46.75,0.9999
11:48:19.348,1788770899.348,468.28,46.75,0.9999
