iso,t_s,vDcInst,set_freq,iq_shed
14:52:27.740,1788781947.74,470.21,42.66,0.9999
14:52:27.820,1788781947.82,469.97,42.66,0.9999
14:52:27.900,1788781947.9,469.49,42.66,0.9999
14:52:27.980,1788781947.98,469.97,42.66,0.9999
14:52:28.060,1788781948.06,470.46,42.66,0.9999
14:52:28.140,1788781948.14,470.21,42.66,0.9999
14:52:28.220,1788781948.22,469.25,42.66,0.9999
14:52:28.300,1788781948.3,469.97,42.66,0.9999
14:52:28.380,1788781948.38,469.73,42.66,0.9999
14:52:28.460,1788781948.46,469.49,42.46,0.9999
14:52:28.540,1788781948.54,470.46,42.46,0.9999
14:52:28.620,1788781948.62,472.15,42.46,0.9999
14:52:28.700,1788781948.7,471.42,42.46,0.9999
14:52:28.780,1788781948.78,471.42,42.46,0.9999
14:52:28.860,1788781948.86,471.18,42.46,0.9999
14:52:28.940,1788781948.94,471.67,42.46,0.9999
14:52:29.020,1788781949.02,472.15,42.46,0.9999
14:52:29.100,1788781949.1,471.91,42.46,0.9999
14:52:29.180,1788781949.18,471.91,42.46,0.9999
14:52:29.260,1788781949.26,470.7,42.66,0.9999
14:52:29.340,1788781949.34,470.7,42.66,0.9999
14:52:29.420,1788781949.42,471.42,42.66,0.9999
14:52:29.500,1788781949.5,471.42,42.66,0.9999
14:52:29.580,1788781949.58,470.46,42.66,0.9999
14:52:29.660,1788781949.66,470.46,42.66,0.9999
14:52:29.740,1788781949.74,469.97,42.66,0.9999
14:52:29.820,1788781949.82,470.21,42.66,0.9999
14:52:29.900,1788781949.9,471.91,42.66,0.9999
14:52:29.980,1788781949.98,470.21,42.66,0.9999
14:52:30.060,1788781950.06,469.49,42.46,0.9999
14:52:30.140,1788781950.14,471.91,42.46,0.9999
14:52:30.220,1788781950.22,472.15,42.46,0.9999
14:52:30.300,1788781950.3,472.15,42.46,0.9999
14:52:30.380,1788781950.38,471.18,42.46,0.9999
14:52:30.460,1788781950.46,471.18,42.46,0.9999
14:52:30.540,1788781950.54,471.67,42.46,0.9999
