t_to_trip_s,vDcInst,set_freq,iq_shed
-2.72,508.65,0.1,1.0
-2.64,508.17,0.1,1.0
-2.56,508.41,0.1,1.0
-2.48,508.65,0.3,1.0
-2.4,495.84,0.3,1.0
-2.32,489.07,0.3,1.0
-2.24,489.07,0.3,1.0
-2.16,496.57,0.3,1.0
-2.08,501.64,0.3,1.0
-2.0,508.65,0.5,1.0
-1.92,509.62,0.5,1.0
-1.84,509.86,0.5,1.0
-1.76,494.39,0.5,1.0
-1.68,493.18,0.5,1.0
-1.6,493.42,0.5,1.0
-1.52,498.5,0.5,1.0
-1.44,507.93,0.7,1.0
-1.36,509.14,0.7,1.0
-1.28,509.62,0.7,1.0
-1.2,497.53,0.7,1.0
-1.12,492.7,0.7,1.0
-1.04,492.46,0.7,1.0
-0.96,484.24,0.9,1.0
-0.88,418.0,0.9,1.0
-0.8,405.91,0.9,1.0
-0.72,399.38,0.9,1.0
-0.64,392.85,0.9,1.0
-0.56,386.57,0.9,1.0
-0.48,377.14,1.1,1.0
-0.4,364.08,1.1,1.0
-0.32,345.47,1.1,1.0
-0.24,325.64,1.1,0.8313
-0.16,301.71,1.1,0.5445
-0.08,272.46,1.1,0.1916
0.0,225.56,1.1,0.1
