t_to_trip_s,vDcInst,set_freq,iq_shed
-4.96,393.34,5.0,0.9999
-4.88,393.34,5.0,0.9999
-4.8,393.34,5.0,0.9999
-4.72,393.58,5.0,0.9999
-4.64,393.58,5.0,0.9999
-4.56,393.58,5.0,0.9999
-4.48,393.82,5.0,0.9999
-4.4,393.58,5.0,0.9999
-4.32,393.82,5.0,0.9999
-4.24,393.82,5.0,0.9999
-4.16,393.82,5.0,0.9999
-4.08,393.82,5.0,0.9999
-4.0,393.82,5.0,0.9999
-3.92,394.06,5.0,0.9999
-3.84,394.06,5.0,0.9999
-3.76,394.06,5.0,0.9999
-3.68,394.06,5.0,0.9999
-3.6,394.06,5.0,0.9999
-3.52,394.06,5.0,0.9999
-3.44,394.06,5.0,0.9999
-3.36,394.06,5.0,0.9999
-3.28,394.3,5.0,0.9999
-3.2,394.06,5.0,0.9999
-3.12,394.3,5.0,0.9999
-3.04,394.3,5.0,0.9999
-2.96,394.06,5.0,0.9999
-2.88,394.06,5.0,0.9999
-2.8,394.06,5.0,0.9999
-2.72,394.06,5.0,0.9999
-2.64,394.06,5.0,0.9999
-2.56,394.06,5.0,0.9999
-2.48,394.06,5.0,0.9999
-2.4,394.3,5.0,0.9999
-2.32,394.3,5.0,0.9999
-2.24,394.3,5.0,0.9999
-2.16,394.3,5.0,0.9999
-2.08,394.3,5.0,0.9999
-2.0,394.06,5.0,0.9999
-1.92,394.06,5.0,0.9999
-1.84,394.3,5.0,0.9999
-1.76,394.06,5.0,0.9999
-1.68,394.3,5.0,0.9999
-1.6,394.3,5.0,0.9999
-1.52,394.06,5.0,0.9999
-1.44,394.06,5.0,0.9999
-1.36,394.06,5.0,0.9999
-1.28,393.82,5.0,0.9999
-1.2,393.82,5.0,0.9999
-1.12,393.82,5.0,0.9999
-1.04,393.58,5.0,0.9999
-0.96,393.82,5.0,0.9999
-0.88,393.58,5.0,0.9999
-0.8,393.58,5.0,0.9999
-0.72,393.58,5.0,0.9999
-0.64,393.58,5.0,0.9999
-0.56,393.82,5.0,0.9999
-0.48,393.58,0.1,1.0
-0.4,393.82,0.1,1.0
-0.32,374.72,0.1,1.0
-0.24,348.13,0.3,1.0
-0.16,322.5,0.3,1.0
-0.08,297.12,0.3,1.0
0.0,247.8,0.3,1.0
