t_to_trip_s,vDcInst,set_freq,iq_shed
-3.68,514.21,5.0,0.9999
-3.6,514.21,5.0,0.9999
-3.52,514.21,5.0,0.9999
-3.44,514.21,5.0,0.9999
-3.36,514.21,5.0,0.9999
-3.28,514.21,5.0,0.9999
-3.2,514.21,5.0,0.9999
-3.12,514.21,5.0,0.9999
-3.04,514.21,5.0,0.9999
-2.96,514.21,5.0,0.9999
-2.88,514.21,5.0,0.9999
-2.8,514.21,5.0,0.9999
-2.72,514.21,0.1,1.0
-2.64,514.21,0.1,1.0
-2.56,508.17,0.1,1.0
-2.48,507.2,0.1,1.0
-2.4,507.2,0.1,1.0
-2.32,507.45,0.1,1.0
-2.24,499.71,0.1,1.0
-2.16,487.86,0.3,1.0
-2.08,486.17,0.3,1.0
-2.0,492.21,0.3,1.0
-1.92,498.26,0.3,1.0
-1.84,506.24,0.3,1.0
-1.76,508.41,0.3,1.0
-1.68,508.41,0.5,1.0
-1.6,493.91,0.5,1.0
-1.52,490.52,0.5,1.0
-1.44,490.76,0.5,1.0
-1.36,496.08,0.5,1.0
-1.28,503.58,0.5,1.0
-1.2,507.45,0.7,1.0
-1.12,508.17,0.7,1.0
-1.04,499.95,0.7,1.0
-0.96,491.01,0.7,1.0
-0.88,490.04,0.7,1.0
-0.8,495.6,0.7,1.0
-0.72,413.89,0.7,1.0
-0.64,401.07,0.9,1.0
-0.56,387.78,0.9,1.0
-0.48,376.41,0.9,1.0
-0.4,363.84,0.9,1.0
-0.32,349.09,0.9,1.0
-0.24,328.06,0.9,0.8679
-0.16,300.26,1.1,0.5321
-0.08,259.16,1.1,0.1
0.0,204.28,0.9,0.1
