t_to_trip_s,vDcInst,set_freq,iq_shed
-6.32,475.05,5.0,0.9999
-6.24,475.29,5.0,0.9999
-6.16,475.29,5.0,0.9999
-6.08,475.05,5.0,0.9999
-6.0,475.05,5.0,0.9999
-5.92,475.05,5.0,0.9999
-5.84,475.05,5.0,0.9999
-5.76,475.29,5.0,0.9999
-5.68,475.05,5.0,0.9999
-5.6,475.29,5.0,0.9999
-5.52,475.29,5.0,0.9999
-5.44,475.29,5.0,0.9999
-5.36,475.05,5.0,0.9999
-5.28,475.05,5.0,0.9999
-5.2,475.05,5.0,0.9999
-5.12,475.05,5.0,0.9999
-5.04,475.05,5.0,0.9999
-4.96,475.05,5.0,0.9999
-4.88,475.29,5.0,0.9999
-4.8,475.05,5.0,0.9999
-4.72,475.29,5.0,0.9999
-4.64,475.05,5.0,0.9999
-4.56,475.05,5.0,0.9999
-4.48,475.05,5.0,0.9999
-4.4,475.29,5.0,0.9999
-4.32,475.05,5.0,0.9999
-4.24,475.05,5.0,0.9999
-4.16,475.05,5.0,0.9999
-4.08,475.05,5.0,0.9999
-4.0,475.29,5.0,0.9999
-3.92,475.05,5.0,0.9999
-3.84,475.05,5.0,0.9999
-3.76,475.05,5.0,0.9999
-3.68,475.05,5.0,0.9999
-3.6,475.05,5.0,0.9999
-3.52,475.05,5.0,0.9999
-3.44,475.05,5.0,0.9999
-3.36,475.05,5.0,0.9999
-3.28,475.29,5.0,0.9999
-3.2,475.05,5.0,0.9999
-3.12,475.05,5.0,0.9999
-3.04,475.05,5.0,0.9999
-2.96,475.29,5.0,0.9999
-2.88,475.05,5.0,0.9999
-2.8,475.05,5.0,0.9999
-2.72,475.05,5.0,0.9999
-2.64,475.05,5.0,0.9999
-2.56,475.05,5.0,0.9999
-2.48,475.05,5.0,0.9999
-2.4,475.05,5.0,0.9999
-2.32,475.05,5.0,0.9999
-2.24,475.05,5.0,0.9999
-2.16,475.05,5.0,0.9999
-2.08,475.05,5.0,0.9999
-2.0,475.05,5.0,0.9999
-1.92,475.05,5.0,0.9999
-1.84,475.05,5.0,0.9999
-1.76,475.05,5.0,0.9999
-1.68,475.05,5.0,0.9999
-1.6,475.05,5.0,0.9999
-1.52,475.05,5.0,0.9999
-1.44,475.05,5.0,0.9999
-1.36,475.05,5.0,0.9999
-1.28,475.05,5.0,0.9999
-1.2,475.05,0.1,1.0
-1.12,474.81,0.1,1.0
-1.04,461.03,0.1,1.0
-0.96,454.5,0.1,1.0
-0.88,451.6,0.3,1.0
-0.8,450.39,0.3,1.0
-0.72,426.46,0.3,1.0
-0.64,389.23,0.3,1.0
-0.56,353.93,0.3,1.0
-0.48,329.27,0.3,1.0
-0.4,311.86,0.5,1.0
-0.32,324.43,0.5,1.0
-0.24,334.1,0.5,1.0
-0.16,344.02,0.5,1.0
-0.08,293.97,0.5,1.0
0.0,244.65,0.5,1.0
