iso,t_s,vDcInst,set_freq,iq_shed
10:19:48.200,1788765588.2,471.91,46.44,0.9999
10:19:48.280,1788765588.28,472.39,46.44,0.9999
10:19:48.360,1788765588.36,471.67,46.44,0.9999
10:19:48.440,1788765588.44,471.42,46.44,0.9999
10:19:48.520,1788765588.52,471.91,46.44,0.9999
10:19:48.600,1788765588.6,471.42,46.44,0.9999
10:19:48.680,1788765588.68,471.91,46.44,0.9999
10:19:48.760,1788765588.76,470.94,46.44,0.9999
10:19:48.840,1788765588.84,472.63,46.44,0.9999
10:19:48.920,1788765588.92,474.08,46.64,0.9999
10:19:49.000,1788765589.0,472.63,46.64,0.9999
10:19:49.080,1788765589.08,473.84,46.64,0.9999
10:19:49.160,1788765589.16,472.87,46.64,0.9999
10:19:49.240,1788765589.24,472.39,46.64,0.9999
10:19:49.320,1788765589.32,473.36,46.64,0.9999
10:19:49.400,1788765589.4,472.63,46.64,0.9999
10:19:49.480,1788765589.48,472.15,46.64,0.9999
10:19:49.560,1788765589.56,472.39,46.64,0.9999
10:19:49.640,1788765589.64,471.42,46.64,0.9999
10:19:49.720,1788765589.72,472.39,46.84,0.9999
10:19:49.800,1788765589.8,472.87,46.84,0.9999
10:19:49.880,1788765589.88,471.18,46.84,0.9999
10:19:49.960,1788765589.96,471.18,46.84,0.9999
10:19:50.040,1788765590.04,471.67,46.84,0.9999
10:19:50.120,1788765590.12,471.42,46.84,0.9999
10:19:50.200,1788765590.2,472.63,46.84,0.9999
10:19:50.280,1788765590.28,471.42,46.84,0.9999
10:19:50.360,1788765590.36,472.63,46.84,0.9999
10:19:50.440,1788765590.44,473.36,46.79,0.9999
10:19:50.520,1788765590.52,472.63,46.93,0.9999
10:19:50.600,1788765590.6,473.36,46.81,0.9999
10:19:50.680,1788765590.68,473.12,46.55,0.9999
10:19:50.760,1788765590.76,471.91,46.55,0.9999
10:19:50.840,1788765590.84,472.87,46.47,0.9999
10:19:50.920,1788765590.92,472.39,46.39,0.9999
10:19:51.000,1788765591.0,472.39,46.37,0.9999
10:19:51.080,1788765591.08,472.15,46.37,0.9999
10:19:51.160,1788765591.16,472.39,46.37,0.9999
10:19:51.240,1788765591.24,471.91,46.37,0.9999
10:19:51.320,1788765591.32,471.91,46.57,0.9999
10:19:51.400,1788765591.4,471.91,46.57,0.9999
10:19:51.480,1788765591.48,471.91,46.57,0.9999
10:19:51.560,1788765591.56,471.18,46.57,0.9999
10:19:51.640,1788765591.64,471.67,46.57,0.9999
10:19:51.720,1788765591.72,472.39,46.57,0.9999
10:19:51.800,1788765591.8,471.91,46.57,0.9999
10:19:51.880,1788765591.88,472.63,46.57,0.9999
10:19:51.960,1788765591.96,473.36,46.57,0.9999
10:19:52.040,1788765592.04,472.63,46.57,0.9999
10:19:52.120,1788765592.12,473.6,46.77,0.9999
10:19:52.200,1788765592.2,473.36,46.77,0.9999
10:19:52.280,1788765592.28,472.39,46.77,0.9999
10:19:52.360,1788765592.36,472.87,46.77,0.9999
10:19:52.440,1788765592.44,472.87,46.77,0.9999
10:19:52.520,1788765592.52,471.91,46.77,0.9999
10:19:52.600,1788765592.6,472.15,46.77,0.9999
10:19:52.680,1788765592.68,471.67,46.77,0.9999
10:19:52.760,1788765592.76,472.15,46.77,0.9999
10:19:52.840,1788765592.84,472.15,46.77,0.9999
10:19:52.920,1788765592.92,471.42,46.97,0.9999
10:19:53.000,1788765593.0,472.15,46.97,0.9999
10:19:53.080,1788765593.08,471.67,46.97,0.9999
10:19:53.160,1788765593.16,471.42,46.97,0.9999
10:19:53.240,1788765593.24,472.15,46.94,0.9999
10:19:53.320,1788765593.32,471.42,46.74,0.9999
10:19:53.400,1788765593.4,471.91,46.74,0.9999
10:19:53.480,1788765593.48,472.63,46.74,0.9999
10:19:53.560,1788765593.56,472.87,46.74,0.9999
10:19:53.640,1788765593.64,473.6,46.74,0.9999
10:19:53.720,1788765593.72,474.08,46.94,0.9999
10:19:53.800,1788765593.8,471.91,46.93,0.9999
10:19:53.880,1788765593.88,473.12,46.93,0.9999
10:19:53.960,1788765593.96,473.12,46.77,0.9999
10:19:54.040,1788765594.04,472.15,46.58,0.9999
10:19:54.120,1788765594.12,472.87,46.42,0.9999
10:19:54.200,1788765594.2,472.39,46.42,0.9999
10:19:54.280,1788765594.28,471.67,46.42,0.9999
10:19:54.360,1788765594.36,472.15,46.35,0.9999
10:19:54.440,1788765594.44,472.15,46.35,0.9999
10:19:54.520,1788765594.52,472.15,46.55,0.9999
10:19:54.600,1788765594.6,471.18,46.55,0.9999
10:19:54.680,1788765594.68,471.42,46.55,0.9999
10:19:54.760,1788765594.76,471.91,46.55,0.9999
10:19:54.840,1788765594.84,471.42,46.55,0.9999
10:19:54.920,1788765594.92,471.67,46.55,0.9999
10:19:55.000,1788765595.0,472.63,46.55,0.9999
10:19:55.080,1788765595.08,471.42,46.55,0.9999
10:19:55.160,1788765595.16,473.36,46.55,0.9999
10:19:55.240,1788765595.24,473.84,46.55,0.9999
10:19:55.320,1788765595.32,472.63,46.55,0.9999
10:19:55.400,1788765595.4,472.87,46.68,0.9999
10:19:55.480,1788765595.48,472.63,46.62,0.9999
10:19:55.560,1788765595.56,472.39,46.62,0.9999
10:19:55.640,1788765595.64,472.63,46.62,0.9999
10:19:55.720,1788765595.72,471.91,46.62,0.9999
10:19:55.800,1788765595.8,471.91,46.62,0.9999
10:19:55.880,1788765595.88,472.39,46.62,0.9999
10:19:55.960,1788765595.96,472.15,46.62,0.9999
10:19:56.040,1788765596.04,472.39,46.62,0.9999
10:19:56.120,1788765596.12,471.91,46.62,0.9999
10:19:56.200,1788765596.2,471.91,46.82,0.9999
10:19:56.280,1788765596.28,471.91,46.82,0.9999
10:19:56.360,1788765596.36,471.67,46.82,0.9999
10:19:56.440,1788765596.44,471.67,46.82,0.9999
10:19:56.520,1788765596.52,472.15,46.82,0.9999
10:19:56.600,1788765596.6,471.42,46.82,0.9999
10:19:56.680,1788765596.68,473.36,46.82,0.9999
10:19:56.760,1788765596.76,473.36,46.82,0.9999
10:19:56.840,1788765596.84,472.63,46.82,0.9999
10:19:56.920,1788765596.92,473.36,46.82,0.9999
10:19:57.000,1788765597.0,472.87,47.02,0.9999
10:19:57.080,1788765597.08,472.15,46.97,0.9999
10:19:57.160,1788765597.16,473.12,46.94,0.9999
10:19:57.240,1788765597.24,472.39,46.86,0.9999
10:19:57.320,1788765597.32,472.39,46.86,0.9999
10:19:57.400,1788765597.4,472.39,46.75,0.9999
10:19:57.480,1788765597.48,471.91,46.75,0.9999
10:19:57.560,1788765597.56,472.15,46.75,0.9999
10:19:57.640,1788765597.64,472.15,46.75,0.9999
10:19:57.720,1788765597.72,471.18,46.75,0.9999
10:19:57.800,1788765597.8,471.91,46.84,0.9999
10:19:57.880,1788765597.88,471.18,46.78,0.9999
10:19:57.960,1788765597.96,471.67,46.62,0.9999
10:19:58.040,1788765598.04,472.15,46.62,0.9999
10:19:58.120,1788765598.12,471.18,46.33,0.9999
10:19:58.200,1788765598.2,472.63,46.29,0.9999
10:19:58.280,1788765598.28,473.12,46.29,0.9999
10:19:58.360,1788765598.36,473.36,46.29,0.9999
10:19:58.440,1788765598.44,473.12,46.29,0.9999
10:19:58.520,1788765598.52,473.36,46.29,0.9999
10:19:58.600,1788765598.6,472.39,46.49,0.9999
10:19:58.680,1788765598.68,473.12,46.49,0.9999
10:19:58.760,1788765598.76,472.39,46.49,0.9999
10:19:58.840,1788765598.84,471.91,46.49,0.9999
10:19:58.920,1788765598.92,472.39,46.49,0.9999
10:19:59.000,1788765599.0,472.15,46.49,0.9999
10:19:59.080,1788765599.08,472.15,46.49,0.9999
10:19:59.160,1788765599.16,472.63,46.49,0.9999
10:19:59.240,1788765599.24,471.18,46.49,0.9999
10:19:59.320,1788765599.32,472.15,46.49,0.9999
10:19:59.400,1788765599.4,471.18,46.69,0.9999
10:19:59.480,1788765599.48,472.15,46.69,0.9999
10:19:59.560,1788765599.56,471.42,46.69,0.9999
10:19:59.640,1788765599.64,471.67,46.69,0.9999
10:19:59.720,1788765599.72,471.67,46.6,0.9999
10:19:59.800,1788765599.8,473.36,46.6,0.9999
10:19:59.880,1788765599.88,473.12,46.6,0.9999
10:19:59.960,1788765599.96,472.87,46.6,0.9999
10:20:00.040,1788765600.04,473.36,46.6,0.9999
10:20:00.120,1788765600.12,471.67,46.6,0.9999
10:20:00.200,1788765600.2,474.57,46.8,0.9999
10:20:00.280,1788765600.28,472.87,46.8,0.9999
10:20:00.360,1788765600.36,472.39,46.8,0.9999
10:20:00.440,1788765600.44,472.15,46.7,0.9999
10:20:00.520,1788765600.52,471.67,46.61,0.9999
10:20:00.600,1788765600.6,472.39,46.61,0.9999
10:20:00.680,1788765600.68,472.15,46.49,0.9999
10:20:00.760,1788765600.76,471.91,46.49,0.9999
10:20:00.840,1788765600.84,471.67,46.45,0.9999
10:20:00.920,1788765600.92,471.67,46.45,0.9999
10:20:01.000,1788765601.0,471.67,46.65,0.9999
10:20:01.080,1788765601.08,471.42,46.59,0.9999
10:20:01.160,1788765601.16,470.94,46.59,0.9999
10:20:01.240,1788765601.24,471.67,46.59,0.9999
10:20:01.320,1788765601.32,472.39,46.44,0.9999
10:20:01.400,1788765601.4,472.15,46.42,0.9999
10:20:01.480,1788765601.48,473.36,46.42,0.9999
10:20:01.560,1788765601.56,473.36,46.42,0.9999
10:20:01.640,1788765601.64,472.15,46.42,0.9999
10:20:01.720,1788765601.72,473.84,46.42,0.9999
10:20:01.800,1788765601.8,472.39,46.62,0.9999
10:20:01.880,1788765601.88,472.87,46.62,0.9999
10:20:01.960,1788765601.96,472.87,46.62,0.9999
10:20:02.040,1788765602.04,472.15,46.62,0.9999
10:20:02.120,1788765602.12,472.39,46.62,0.9999
10:20:02.200,1788765602.2,472.39,46.62,0.9999
10:20:02.280,1788765602.28,471.91,46.62,0.9999
10:20:02.360,1788765602.36,472.39,46.62,0.9999
10:20:02.440,1788765602.44,472.63,46.62,0.9999
10:20:02.520,1788765602.52,471.18,46.62,0.9999
10:20:02.600,1788765602.6,472.15,46.82,0.9999
10:20:02.680,1788765602.68,470.21,46.82,0.9999
10:20:02.760,1788765602.76,471.91,46.82,0.9999
10:20:02.840,1788765602.84,471.42,46.82,0.9999
10:20:02.920,1788765602.92,471.67,46.82,0.9999
10:20:03.000,1788765603.0,472.63,46.82,0.9999
10:20:03.080,1788765603.08,473.6,46.82,0.9999
10:20:03.160,1788765603.16,471.91,46.82,0.9999
10:20:03.240,1788765603.24,474.32,46.82,0.9999
10:20:03.320,1788765603.32,472.63,46.82,0.9999
10:20:03.400,1788765603.4,473.36,46.82,0.9999
10:20:03.480,1788765603.48,472.87,47.02,0.9999
10:20:03.560,1788765603.56,471.91,47.02,0.9999
10:20:03.640,1788765603.64,472.39,46.83,0.9999
10:20:03.720,1788765603.72,472.87,46.61,0.9999
10:20:03.800,1788765603.8,472.15,46.61,0.9999
10:20:03.880,1788765603.88,472.39,46.61,0.9999
10:20:03.960,1788765603.96,471.91,46.61,0.9999
10:20:04.040,1788765604.04,471.42,46.61,0.9999
10:20:04.120,1788765604.12,471.91,46.61,0.9999
10:20:04.200,1788765604.2,472.15,46.61,0.9999
10:20:04.280,1788765604.28,471.42,46.71,0.9999
10:20:04.360,1788765604.36,471.67,46.62,0.9999
10:20:04.440,1788765604.44,470.94,46.46,0.9999
10:20:04.520,1788765604.52,471.67,46.46,0.9999
10:20:04.600,1788765604.6,472.63,46.46,0.9999
10:20:04.680,1788765604.68,472.15,46.46,0.9999
10:20:04.760,1788765604.76,471.91,46.46,0.9999
10:20:04.840,1788765604.84,473.12,46.46,0.9999
10:20:04.920,1788765604.92,472.63,46.46,0.9999
10:20:05.000,1788765605.0,473.12,46.46,0.9999
10:20:05.080,1788765605.08,472.15,46.66,0.9999
10:20:05.160,1788765605.16,472.15,46.66,0.9999
10:20:05.240,1788765605.24,473.12,46.66,0.9999
10:20:05.320,1788765605.32,472.15,46.66,0.9999
10:20:05.400,1788765605.4,472.87,46.66,0.9999
10:20:05.480,1788765605.48,472.39,46.66,0.9999
10:20:05.560,1788765605.56,471.67,46.66,0.9999
10:20:05.640,1788765605.64,472.39,46.66,0.9999
10:20:05.720,1788765605.72,472.39,46.66,0.9999
