iso,t_s,vDcInst,set_freq,iq_shed
17:44:31.963,1788792271.963,482.3,10.26,0.9999
17:44:32.043,1788792272.043,479.4,10.26,0.9999
17:44:32.123,1788792272.123,480.13,10.26,0.9999
17:44:32.203,1788792272.203,480.85,10.06,0.9999
17:44:32.283,1788792272.283,482.06,10.06,0.9999
17:44:32.363,1788792272.363,483.27,10.06,0.9999
17:44:32.443,1788792272.443,480.85,10.06,0.9999
17:44:32.523,1788792272.523,480.13,10.06,0.9999
17:44:32.603,1788792272.603,480.85,10.06,0.9999
17:44:32.683,1788792272.683,481.09,10.06,0.9999
17:44:32.763,1788792272.763,483.03,10.06,0.9999
17:44:32.843,1788792272.843,481.34,10.06,0.9999
17:44:32.923,1788792272.923,480.37,10.06,0.9999
17:44:33.003,1788792273.003,481.09,9.86,0.9999
17:44:33.083,1788792273.083,482.3,9.86,0.9999
17:44:33.163,1788792273.163,483.27,9.86,0.9999
17:44:33.243,1788792273.243,481.34,9.86,0.9999
17:44:33.323,1788792273.323,480.85,9.86,0.9999
17:44:33.403,1788792273.403,481.34,9.86,0.9999
17:44:33.483,1788792273.483,482.3,9.86,0.9999
17:44:33.563,1788792273.563,482.54,10.06,0.9999
17:44:33.643,1788792273.643,480.13,10.06,0.9999
17:44:33.723,1788792273.723,480.61,10.06,0.9999
17:44:33.803,1788792273.803,480.85,10.06,0.9999
17:44:33.883,1788792273.883,481.58,10.06,0.9999
17:44:33.963,1788792273.963,483.27,10.06,0.9999
17:44:34.043,1788792274.043,480.61,10.06,0.9999
17:44:34.123,1788792274.123,480.61,10.06,0.9999
17:44:34.203,1788792274.203,481.09,10.06,0.9999
17:44:34.283,1788792274.283,481.58,10.06,0.9999
17:44:34.363,1788792274.363,482.3,10.26,0.9999
17:44:34.443,1788792274.443,480.85,10.26,0.9999
17:44:34.523,1788792274.523,479.4,10.26,0.9999
17:44:34.603,1788792274.603,480.85,10.26,0.9999
17:44:34.683,1788792274.683,480.37,10.26,0.9999
17:44:34.763,1788792274.763,481.82,10.26,0.9999
17:44:34.843,1788792274.843,482.3,10.26,0.9999
17:44:34.923,1788792274.923,479.89,10.26,0.9999
17:44:35.003,1788792275.003,480.37,10.26,0.9999
17:44:35.083,1788792275.083,480.37,10.26,0.9999
17:44:35.163,1788792275.163,481.58,10.06,0.9999
17:44:35.243,1788792275.243,483.27,10.06,0.9999
17:44:35.323,1788792275.323,481.34,10.06,0.9999
17:44:35.403,1788792275.403,480.37,10.06,0.9999
17:44:35.483,1788792275.483,480.85,10.06,0.9999
17:44:35.563,1788792275.563,481.09,10.06,0.9999
17:44:35.643,1788792275.643,482.79,10.06,0.9999
17:44:35.723,1788792275.723,481.34,10.06,0.9999
17:44:35.803,1788792275.803,480.37,10.06,0.9999
17:44:35.883,1788792275.883,480.85,10.06,0.9999
17:44:35.963,1788792275.963,481.58,9.86,0.9999
17:44:36.043,1788792276.043,483.51,9.86,0.9999
17:44:36.123,1788792276.123,481.82,9.86,0.9999
17:44:36.203,1788792276.203,480.85,9.86,0.9999
17:44:36.283,1788792276.283,481.82,9.86,0.9999
17:44:36.363,1788792276.363,482.3,9.86,0.9999
17:44:36.443,1788792276.443,483.27,10.06,0.9999
17:44:36.523,1788792276.523,480.13,10.06,0.9999
17:44:36.603,1788792276.603,480.61,10.06,0.9999
17:44:36.683,1788792276.683,481.09,10.06,0.9999
17:44:36.763,1788792276.763,481.82,10.06,0.9999
17:44:36.843,1788792276.843,483.03,10.06,0.9999
17:44:36.923,1788792276.923,480.61,10.06,0.9999
17:44:37.003,1788792277.003,480.37,10.06,0.9999
17:44:37.083,1788792277.083,481.09,10.06,0.9999
17:44:37.163,1788792277.163,481.58,10.06,0.9999
17:44:37.243,1788792277.243,482.79,10.26,0.9999
17:44:37.323,1788792277.323,480.61,10.26,0.9999
17:44:37.403,1788792277.403,479.64,10.26,0.9999
17:44:37.483,1788792277.483,480.37,10.26,0.9999
17:44:37.563,1788792277.563,480.37,10.26,0.9999
17:44:37.643,1788792277.643,481.82,10.26,0.9999
17:44:37.723,1788792277.723,482.06,10.26,0.9999
17:44:37.803,1788792277.803,479.64,10.26,0.9999
17:44:37.883,1788792277.883,479.89,10.26,0.9999
17:44:37.963,1788792277.963,480.37,10.26,0.9999
17:44:38.043,1788792278.043,480.61,10.06,0.9999
17:44:38.123,1788792278.123,482.79,10.06,0.9999
17:44:38.203,1788792278.203,481.58,10.06,0.9999
17:44:38.283,1788792278.283,479.89,10.06,0.9999
17:44:38.363,1788792278.363,480.85,10.06,0.9999
17:44:38.443,1788792278.443,481.09,10.06,0.9999
17:44:38.523,1788792278.523,482.54,10.06,0.9999
17:44:38.603,1788792278.603,482.3,10.06,0.9999
17:44:38.683,1788792278.683,480.13,10.06,0.9999
17:44:38.763,1788792278.763,480.85,10.06,0.9999
17:44:38.843,1788792278.843,480.61,9.86,0.9999
17:44:38.923,1788792278.923,483.03,9.86,0.9999
17:44:39.003,1788792279.003,482.79,9.86,0.9999
17:44:39.083,1788792279.083,480.37,9.86,0.9999
17:44:39.163,1788792279.163,481.09,9.86,0.9999
17:44:39.243,1788792279.243,481.58,9.86,0.9999
17:44:39.323,1788792279.323,483.27,9.86,0.9999
17:44:39.403,1788792279.403,480.85,10.06,0.9999
17:44:39.483,1788792279.483,479.89,10.06,0.9999
17:44:39.563,1788792279.563,481.09,10.06,0.9999
17:44:39.643,1788792279.643,481.09,10.06,0.9999
17:44:39.723,1788792279.723,482.79,10.06,0.9999
17:44:39.803,1788792279.803,481.34,10.06,0.9999
17:44:39.883,1788792279.883,480.13,10.06,0.9999
17:44:39.963,1788792279.963,480.85,10.06,0.9999
17:44:40.043,1788792280.043,480.61,10.06,0.9999
17:44:40.123,1788792280.123,482.54,10.06,0.9999
17:44:40.203,1788792280.203,481.58,10.26,0.9999
17:44:40.283,1788792280.283,479.4,10.26,0.9999
17:44:40.363,1788792280.363,480.37,10.26,0.9999
17:44:40.443,1788792280.443,479.89,10.26,0.9999
17:44:40.523,1788792280.523,481.34,10.26,0.9999
17:44:40.603,1788792280.603,482.3,10.26,0.9999
17:44:40.683,1788792280.683,479.89,10.26,0.9999
17:44:40.763,1788792280.763,479.64,10.26,0.9999
17:44:40.843,1788792280.843,480.13,10.26,0.9999
17:44:40.923,1788792280.923,480.13,10.26,0.9999
17:44:41.003,1788792281.003,482.06,10.06,0.9999
17:44:41.083,1788792281.083,482.54,10.06,0.9999
17:44:41.163,1788792281.163,480.13,10.06,0.9999
17:44:41.243,1788792281.243,480.85,10.06,0.9999
17:44:41.323,1788792281.323,480.13,10.06,0.9999
17:44:41.403,1788792281.403,481.82,10.06,0.9999
17:44:41.483,1788792281.483,482.3,10.06,0.9999
17:44:41.563,1788792281.563,480.13,10.06,0.9999
17:44:41.643,1788792281.643,480.85,10.06,0.9999
17:44:41.723,1788792281.723,480.37,10.06,0.9999
17:44:41.803,1788792281.803,482.3,9.86,0.9999
17:44:41.883,1788792281.883,483.27,9.86,0.9999
17:44:41.963,1788792281.963,480.37,9.86,0.9999
17:44:42.043,1788792282.043,481.34,9.86,0.9999
17:44:42.123,1788792282.123,481.09,9.86,0.9999
17:44:42.203,1788792282.203,482.79,9.86,0.9999
17:44:42.283,1788792282.283,482.06,10.06,0.9999
17:44:42.363,1788792282.363,479.4,10.06,0.9999
17:44:42.443,1788792282.443,480.85,10.06,0.9999
17:44:42.523,1788792282.523,480.61,10.06,0.9999
17:44:42.603,1788792282.603,482.3,10.06,0.9999
17:44:42.683,1788792282.683,481.58,10.06,0.9999
