t_to_trip_s,vDcInst,set_freq,iq_shed
-10.56,493.67,22.9,1.0
-10.48,492.7,22.9,1.0
-10.4,492.94,22.9,1.0
-10.32,495.6,22.7,1.0
-10.24,495.84,22.7,1.0
-10.16,495.84,22.7,1.0
-10.08,494.87,22.7,1.0
-10.0,494.63,22.7,1.0
-9.92,495.84,22.7,1.0
-9.84,494.63,22.7,1.0
-9.76,495.6,22.7,1.0
-9.68,494.39,22.7,1.0
-9.6,493.18,22.7,1.0
-9.52,492.7,22.9,1.0
-9.44,491.49,22.9,1.0
-9.36,491.01,22.9,1.0
-9.28,490.76,22.9,1.0
-9.2,490.28,22.9,1.0
-9.12,489.56,22.9,1.0
-9.04,490.76,22.9,1.0
-8.96,490.28,22.9,1.0
-8.88,489.31,22.9,1.0
-8.8,489.31,22.9,1.0
-8.72,490.52,22.7,1.0
-8.64,491.25,22.7,1.0
-8.56,492.46,22.7,1.0
-8.48,491.49,22.7,1.0
-8.4,491.49,22.7,1.0
-8.32,491.01,22.7,1.0
-8.24,489.56,22.7,1.0
-8.16,490.52,22.7,1.0
-8.08,491.01,22.7,1.0
-8.0,490.28,22.7,1.0
-7.92,491.73,22.5,1.0
-7.84,491.49,22.5,1.0
-7.76,491.97,22.5,1.0
-7.68,492.94,22.5,1.0
-7.6,492.21,22.5,1.0
-7.52,491.73,22.5,1.0
-7.44,491.01,22.5,1.0
-7.36,491.25,22.5,1.0
-7.28,491.73,22.5,1.0
-7.2,490.76,22.5,1.0
-7.12,490.04,22.7,1.0
-7.04,486.41,22.7,1.0
-6.96,487.38,22.7,1.0
-6.88,487.38,22.7,1.0
-6.8,486.9,22.7,1.0
-6.72,486.41,22.7,1.0
-6.64,485.45,22.7,1.0
-6.56,484.24,22.7,1.0
-6.48,485.45,22.7,1.0
-6.4,483.75,22.7,1.0
-6.32,484.0,22.5,1.0
-6.24,487.62,22.5,1.0
-6.16,486.41,22.5,1.0
-6.08,488.59,22.5,1.0
-6.0,487.38,22.5,1.0
-5.92,486.65,22.5,1.0
-5.84,485.69,22.5,1.0
-5.76,484.48,22.5,1.0
-5.68,486.17,22.5,1.0
-5.6,485.2,22.5,1.0
-5.52,484.48,22.7,1.0
-5.44,479.64,22.7,1.0
-5.36,476.74,22.7,1.0
-5.28,476.5,22.7,1.0
-5.2,475.53,22.7,1.0
-5.12,473.12,22.7,1.0
-5.04,469.97,22.7,1.0
-4.96,465.14,22.7,1.0
-4.88,461.27,22.7,1.0
-4.8,455.47,22.7,1.0
-4.72,446.52,22.5,1.0
-4.64,442.41,22.5,1.0
-4.56,438.54,22.3,1.0
-4.48,436.61,22.1,1.0
-4.4,438.3,21.9,1.0
-4.32,442.17,21.7,1.0
-4.24,449.42,21.7,1.0
-4.16,460.06,21.5,1.0
-4.08,477.23,21.3,1.0
-4.0,490.76,21.5,1.0
-3.92,491.25,21.7,1.0
-3.84,491.97,21.7,1.0
-3.76,489.31,21.9,1.0
-3.68,487.62,22.1,1.0
-3.6,483.27,22.3,1.0
-3.52,480.37,22.5,1.0
-3.44,474.81,22.5,1.0
-3.36,470.94,22.5,1.0
-3.28,465.38,22.5,1.0
-3.2,457.16,22.5,1.0
-3.12,449.18,22.3,1.0
-3.04,441.2,22.3,1.0
-2.96,435.89,22.1,1.0
-2.88,429.6,21.9,1.0
-2.8,426.7,21.7,1.0
-2.72,424.04,21.7,1.0
-2.64,423.56,21.5,1.0
-2.56,423.07,21.3,1.0
-2.48,431.05,21.1,1.0
-2.4,440.72,20.9,1.0
-2.32,456.43,20.9,1.0
-2.24,478.68,20.7,1.0
-2.16,495.12,20.5,1.0
-2.08,498.5,20.7,1.0
-2.0,497.78,20.9,1.0
-1.92,496.81,20.9,1.0
-1.84,493.67,21.1,1.0
-1.76,493.91,21.3,1.0
-1.68,491.49,21.5,1.0
-1.6,489.56,21.7,1.0
-1.52,486.17,21.7,1.0
-1.44,484.24,21.9,1.0
-1.36,481.58,22.1,1.0
-1.28,476.02,22.3,1.0
-1.2,467.56,22.3,1.0
-1.12,462.0,22.3,1.0
-1.04,451.36,22.3,1.0
-0.96,441.45,22.1,1.0
-0.88,431.05,21.9,1.0
-0.8,424.28,21.9,1.0
-0.72,413.64,21.7,1.0
-0.64,402.76,21.5,1.0
-0.56,388.02,21.3,1.0
-0.48,373.51,21.1,1.0
-0.4,350.06,21.1,0.9774
-0.32,310.41,20.9,0.5221
-0.24,263.03,20.7,0.1
-0.16,236.92,20.5,0.1
-0.08,220.72,20.3,0.1
0.0,203.07,20.3,0.1
