t_to_trip_s,vDcInst,set_freq,iq_shed
-3.12,473.12,5.0,0.9999
-3.04,473.36,5.0,0.9999
-2.96,473.12,5.0,0.9999
-2.88,473.36,5.0,0.9999
-2.8,473.36,5.0,0.9999
-2.72,473.12,5.0,0.9999
-2.64,473.12,5.0,0.9999
-2.56,473.12,5.0,0.9999
-2.48,473.12,5.0,0.9999
-2.4,473.36,5.0,0.9999
-2.32,473.12,5.0,0.9999
-2.24,473.12,5.0,0.9999
-2.16,473.12,5.0,0.9999
-2.08,473.12,5.0,0.9999
-2.0,473.12,5.0,0.9999
-1.92,473.12,5.0,0.9999
-1.84,473.12,5.0,0.9999
-1.76,473.36,5.0,0.9999
-1.68,473.12,5.0,0.9999
-1.6,473.12,5.0,0.9999
-1.52,473.12,5.0,0.9999
-1.44,473.12,5.0,0.9999
-1.36,473.12,5.0,0.9999
-1.28,473.36,5.0,0.9999
-1.2,473.12,5.0,0.9999
-1.12,473.12,0.1,1.0
-1.04,473.36,0.1,1.0
-0.96,460.54,0.1,1.0
-0.88,452.08,0.1,1.0
-0.8,447.97,0.1,1.0
-0.72,445.8,0.3,1.0
-0.64,428.15,0.3,1.0
-0.56,386.81,0.3,1.0
-0.48,347.4,0.3,1.0
-0.4,312.59,0.3,1.0
-0.32,289.38,0.3,1.0
-0.24,296.39,0.3,1.0
-0.16,302.43,0.5,1.0
-0.08,308.96,0.5,1.0
0.0,258.68,0.5,1.0
