t_to_trip_s,vDcInst,set_freq,iq_shed
-16.8,470.94,5.0,0.9999
-16.72,470.94,5.0,0.9999
-16.64,470.94,5.0,0.9999
-16.56,470.94,5.0,0.9999
-16.48,470.94,5.0,0.9999
-16.4,470.94,5.0,0.9999
-16.32,470.94,5.0,0.9999
-16.24,470.94,5.0,0.9999
-16.16,470.94,5.0,0.9999
-16.08,470.94,5.0,0.9999
-16.0,470.94,5.0,0.9999
-15.92,470.94,5.0,0.9999
-15.84,470.94,5.0,0.9999
-15.76,470.94,5.0,0.9999
-15.68,470.7,5.0,0.9999
-15.6,470.94,5.0,0.9999
-15.52,470.94,5.0,0.9999
-15.44,470.94,5.0,0.9999
-15.36,470.94,5.0,0.9999
-15.28,470.94,5.0,0.9999
-15.2,470.94,5.0,0.9999
-15.12,470.94,5.0,0.9999
-15.04,470.94,5.0,0.9999
-14.96,470.94,5.0,0.9999
-14.88,470.7,5.0,0.9999
-14.8,470.7,5.0,0.9999
-14.72,470.94,5.0,0.9999
-14.64,470.94,5.0,0.9999
-14.56,470.7,5.0,0.9999
-14.48,470.94,5.0,0.9999
-14.4,470.94,5.0,0.9999
-14.32,470.7,5.0,0.9999
-14.24,470.94,5.0,0.9999
-14.16,470.94,5.0,0.9999
-14.08,470.7,5.0,0.9999
-14.0,470.94,5.0,0.9999
-13.92,470.7,5.0,0.9999
-13.84,470.7,5.0,0.9999
-13.76,470.94,5.0,0.9999
-13.68,470.7,5.0,0.9999
-13.6,470.7,5.0,0.9999
-13.52,470.94,5.0,0.9999
-13.44,470.94,5.0,0.9999
-13.36,470.7,5.0,0.9999
-13.28,470.7,5.0,0.9999
-13.2,470.7,5.0,0.9999
-13.12,470.7,5.0,0.9999
-13.04,470.7,5.0,0.9999
-12.96,470.94,5.0,0.9999
-12.88,470.7,5.0,0.9999
-12.8,470.94,5.0,0.9999
-12.72,470.7,5.0,0.9999
-12.64,470.7,5.0,0.9999
-12.56,470.94,5.0,0.9999
-12.48,470.7,5.0,0.9999
-12.4,470.94,5.0,0.9999
-12.32,470.7,5.0,0.9999
-12.24,470.94,5.0,0.9999
-12.16,470.94,5.0,0.9999
-12.08,470.94,5.0,0.9999
-12.0,470.7,5.0,0.9999
-11.92,470.7,5.0,0.9999
-11.84,470.7,5.0,0.9999
-11.76,470.94,5.0,0.9999
-11.68,470.94,5.0,0.9999
-11.6,470.94,5.0,0.9999
-11.52,470.7,5.0,0.9999
-11.44,470.7,5.0,0.9999
-11.36,470.7,5.0,0.9999
-11.28,470.94,5.0,0.9999
