t_to_trip_s,vDcInst,set_freq,iq_shed
-10.72,299.29,9.89,0.4026
-10.64,299.53,9.89,0.4042
-10.56,300.02,9.89,0.4058
-10.48,300.02,9.89,0.4072
-10.4,300.02,9.89,0.4085
-10.32,300.02,10.09,0.4095
-10.24,300.02,10.09,0.4103
-10.16,300.02,10.09,0.4108
-10.08,300.26,10.09,0.4116
-10.0,300.74,10.09,0.4126
-9.92,301.47,10.09,0.4143
-9.84,302.43,10.09,0.417
-9.76,303.64,10.09,0.421
-9.68,305.34,10.09,0.4264
-9.6,306.79,10.09,0.4331
-9.52,308.48,9.89,0.4407
-9.44,309.45,9.89,0.4488
-9.36,310.41,9.89,0.4567
-9.28,311.14,9.89,0.4638
-9.2,311.38,9.89,0.47
-9.12,312.35,9.89,0.4759
-9.04,313.07,9.89,0.4819
-8.96,313.8,10.09,0.4876
-8.88,314.04,10.09,0.4927
-8.8,313.8,10.09,0.4966
-8.72,313.56,10.09,0.4992
-8.64,313.56,10.09,0.5009
-8.56,313.31,10.09,0.502
-8.48,312.83,10.09,0.5013
-8.4,313.07,10.09,0.5012
-8.32,313.31,10.09,0.5018
-8.24,313.56,10.09,0.5029
-8.16,313.8,9.89,0.5041
-8.08,313.56,9.89,0.5049
-8.0,313.31,9.89,0.5033
-7.92,312.59,9.89,0.5
-7.84,312.1,9.89,0.4967
-7.76,311.62,9.89,0.4934
-7.68,310.9,10.09,0.4896
-7.6,310.17,10.09,0.4839
-7.52,309.2,10.09,0.4776
-7.44,308.48,10.09,0.4717
-7.36,307.75,10.09,0.4663
-7.28,306.79,10.09,0.4598
-7.2,306.3,10.09,0.4549
-7.12,305.82,10.09,0.4518
-7.04,305.82,10.09,0.4515
-6.96,306.54,10.09,0.4524
-6.88,307.03,9.89,0.4542
-6.8,307.75,9.89,0.4565
-6.72,308.0,9.89,0.4592
-6.64,308.0,9.89,0.4614
-6.56,308.0,9.89,0.463
-6.48,308.24,9.89,0.4644
-6.4,308.72,10.09,0.4659
-6.32,309.2,10.09,0.4678
-6.24,309.45,10.09,0.47
-6.16,309.93,10.09,0.4724
-6.08,310.41,10.09,0.475
-6.0,310.9,10.09,0.4775
-5.92,311.14,10.09,0.4801
-5.84,311.38,10.09,0.4826
-5.76,311.86,10.09,0.4852
-5.68,313.07,10.09,0.4886
-5.6,314.52,10.09,0.4933
-5.52,316.46,9.89,0.4995
-5.44,317.91,9.89,0.5074
-5.36,318.63,9.89,0.5149
-5.28,318.15,9.89,0.5209
-5.2,317.18,9.89,0.5243
-5.12,315.73,9.89,0.522
-5.04,315.01,10.09,0.5165
-4.96,314.52,10.09,0.5132
-4.88,314.04,10.09,0.5101
-4.8,313.8,10.09,0.508
-4.72,313.56,10.09,0.5068
-4.64,313.56,10.09,0.5059
-4.56,313.31,10.09,0.5047
-4.48,313.56,10.09,0.505
-4.4,313.56,10.09,0.5051
-4.32,313.56,10.09,0.5052
-4.24,313.56,9.89,0.5057
-4.16,313.56,9.89,0.505
-4.08,313.07,9.89,0.5026
-4.0,312.59,9.89,0.4991
-3.92,311.62,9.89,0.4947
-3.84,310.65,9.89,0.4867
-3.76,309.45,10.09,0.4782
-3.68,308.0,10.09,0.4684
-3.6,306.54,10.09,0.4582
-3.52,305.09,10.09,0.4481
-3.44,303.4,10.09,0.4365
-3.36,301.47,10.09,0.4231
-3.28,299.29,10.09,0.4079
-3.2,297.36,10.09,0.3935
-3.12,295.42,10.09,0.3798
-3.04,293.73,9.89,0.3693
-2.96,292.52,9.89,0.3609
-2.88,291.56,9.89,0.3542
-2.8,291.07,9.89,0.3498
-2.72,290.83,9.89,0.3485
-2.64,290.59,9.89,0.3459
-2.56,290.1,10.09,0.3434
-2.48,289.38,10.09,0.3386
-2.4,288.41,9.89,0.3327
-2.32,287.69,9.89,0.3273
-2.24,286.72,9.89,0.3206
-2.16,285.51,9.89,0.3123
-2.08,284.3,9.89,0.3031
-2.0,282.85,9.89,0.2937
-1.92,281.4,9.89,0.2841
-1.84,280.19,9.89,0.2756
-1.76,279.23,9.89,0.2687
-1.68,278.5,9.89,0.2622
-1.6,277.78,9.89,0.2583
-1.52,277.29,9.89,0.2551
-1.44,277.05,9.89,0.2521
-1.36,276.08,9.89,0.2482
-1.28,275.12,9.89,0.2406
-1.2,273.91,9.89,0.2315
-1.12,271.73,9.89,0.2169
-1.04,269.56,9.89,0.2015
-0.96,267.14,9.89,0.1859
-0.88,264.96,9.89,0.1691
-0.8,262.06,9.89,0.1502
-0.72,258.92,9.89,0.1272
-0.64,254.81,9.89,0.1007
-0.56,250.46,9.89,0.1
-0.48,245.62,9.89,0.1
-0.4,240.54,9.89,0.1
-0.32,234.98,9.89,0.1
-0.24,228.46,9.69,0.1
-0.16,221.69,9.69,0.1
-0.08,214.43,9.49,0.1
0.0,205.49,9.29,0.1
