t_to_trip_s,vDcInst,set_freq,iq_shed
-10.08,461.03,5.0,0.9999
-10.0,461.03,5.0,0.9999
-9.92,461.27,5.0,0.9999
-9.84,461.27,5.0,0.9999
-9.76,461.27,5.0,0.9999
-9.68,461.27,5.0,0.9999
-9.6,461.27,5.0,0.9999
-9.52,461.27,5.0,0.9999
-9.44,461.27,5.0,0.9999
-9.36,461.27,5.0,0.9999
-9.28,461.27,5.0,0.9999
-9.2,461.27,5.0,0.9999
-9.12,461.27,5.0,0.9999
-9.04,461.27,5.0,0.9999
-8.96,461.27,5.0,0.9999
-8.88,461.27,5.0,0.9999
-8.8,461.27,5.0,0.9999
-8.72,461.27,5.0,0.9999
-8.64,461.27,5.0,0.9999
-8.56,461.51,5.0,0.9999
-8.48,461.27,5.0,0.9999
-8.4,461.27,5.0,0.9999
-8.32,461.27,5.0,0.9999
-8.24,461.27,5.0,0.9999
-8.16,461.27,5.0,0.9999
-8.08,461.27,5.0,0.9999
-8.0,461.27,5.0,0.9999
-7.92,461.27,5.0,0.9999
-7.84,461.27,5.0,0.9999
-7.76,461.27,5.0,0.9999
-7.68,461.27,5.0,0.9999
-7.6,461.51,5.0,0.9999
-7.52,461.27,5.0,0.9999
-7.44,461.51,5.0,0.9999
-7.36,461.27,5.0,0.9999
-7.28,461.51,5.0,0.9999
-7.2,461.27,5.0,0.9999
-7.12,461.51,5.0,0.9999
-7.04,461.51,5.0,0.9999
-6.96,461.27,5.0,0.9999
-6.88,461.27,5.0,0.9999
-6.8,461.27,5.0,0.9999
-6.72,461.51,5.0,0.9999
-6.64,461.27,5.0,0.9999
-6.56,461.27,5.0,0.9999
-6.48,461.27,5.0,0.9999
-6.4,461.27,5.0,0.9999
-6.32,461.27,5.0,0.9999
-6.24,461.27,5.0,0.9999
-6.16,461.27,5.0,0.9999
-6.08,461.27,5.0,0.9999
-6.0,461.27,5.0,0.9999
-5.92,461.27,5.0,0.9999
-5.84,461.51,5.0,0.9999
-5.76,461.51,5.0,0.9999
-5.68,461.51,5.0,0.9999
-5.6,461.51,5.0,0.9999
-5.52,461.27,5.0,0.9999
-5.44,461.51,5.0,0.9999
-5.36,461.27,5.0,0.9999
-5.28,461.51,5.0,0.9999
-5.2,461.51,5.0,0.9999
-5.12,461.51,5.0,0.9999
-5.04,461.51,5.0,0.9999
-4.96,461.51,5.0,0.9999
-4.88,461.51,5.0,0.9999
-4.8,461.51,5.0,0.9999
-4.72,461.51,5.0,0.9999
-4.64,461.51,5.0,0.9999
-4.56,461.51,5.0,0.9999
-4.48,461.51,5.0,0.9999
-4.4,461.51,5.0,0.9999
-4.32,461.51,5.0,0.9999
-4.24,461.51,5.0,0.9999
-4.16,461.51,5.0,0.9999
-4.08,461.51,5.0,0.9999
-4.0,461.51,5.0,0.9999
-3.92,461.51,5.0,0.9999
-3.84,461.51,5.0,0.9999
-3.76,461.51,5.0,0.9999
-3.68,461.51,5.0,0.9999
-3.6,461.51,5.0,0.9999
-3.52,461.51,5.0,0.9999
-3.44,461.51,5.0,0.9999
-3.36,461.51,5.0,0.9999
-3.28,461.75,5.0,0.9999
-3.2,461.51,5.0,0.9999
-3.12,461.51,5.0,0.9999
-3.04,461.51,5.0,0.9999
-2.96,461.51,5.0,0.9999
-2.88,461.51,5.0,0.9999
-2.8,461.51,5.0,0.9999
-2.72,461.51,5.0,0.9999
-2.64,461.51,5.0,0.9999
-2.56,461.51,5.0,0.9999
-2.48,461.51,5.0,0.9999
-2.4,461.51,5.0,0.9999
-2.32,461.51,5.0,0.9999
-2.24,461.51,5.0,0.9999
-2.16,461.51,5.0,0.9999
-2.08,461.51,5.0,0.9999
-2.0,461.75,5.0,0.9999
-1.92,461.51,5.0,0.9999
-1.84,461.75,5.0,0.9999
-1.76,461.75,5.0,0.9999
-1.68,461.75,5.0,0.9999
-1.6,461.75,5.0,0.9999
-1.52,461.75,5.0,0.9999
-1.44,461.51,5.0,0.9999
-1.36,461.51,5.0,0.9999
-1.28,461.51,5.0,0.9999
-1.2,461.51,5.0,0.9999
-1.12,461.75,5.0,0.9999
-1.04,461.75,5.0,0.9999
-0.96,461.51,5.0,0.9999
-0.88,461.51,5.0,0.9999
-0.8,461.75,5.0,0.9999
-0.72,461.75,5.0,0.9999
-0.64,461.75,0.1,1.0
-0.56,461.75,0.1,1.0
-0.48,446.28,0.1,1.0
-0.4,426.46,0.3,1.0
-0.32,409.05,0.3,1.0
-0.24,392.85,0.3,1.0
-0.16,360.7,0.3,1.0
-0.08,286.96,0.3,1.0
0.0,201.38,0.3,1.0
