t_to_trip_s,vDcInst,set_freq,iq_shed
-11.68,447.97,5.0,0.9999
-11.6,447.97,5.0,0.9999
-11.52,447.97,5.0,0.9999
-11.44,447.97,5.0,0.9999
-11.36,447.97,5.0,0.9999
-11.28,447.97,5.0,0.9999
-11.2,448.21,5.0,0.9999
-11.12,448.21,5.0,0.9999
-11.04,448.21,5.0,0.9999
-10.96,448.21,5.0,0.9999
-10.88,448.21,5.0,0.9999
-10.8,447.97,5.0,0.9999
-10.72,447.97,5.0,0.9999
-10.64,447.97,5.0,0.9999
-10.56,447.97,5.0,0.9999
-10.48,448.21,5.0,0.9999
-10.4,447.97,5.0,0.9999
-10.32,447.97,5.0,0.9999
-10.24,447.97,5.0,0.9999
-10.16,447.97,5.0,0.9999
-10.08,447.97,5.0,0.9999
-10.0,447.97,5.0,0.9999
-9.92,447.97,5.0,0.9999
-9.84,447.97,5.0,0.9999
-9.76,447.97,5.0,0.9999
-9.68,447.97,5.0,0.9999
-9.6,447.97,5.0,0.9999
-9.52,447.97,5.0,0.9999
-9.44,447.97,5.0,0.9999
-9.36,447.97,5.0,0.9999
-9.28,447.97,5.0,0.9999
-9.2,447.97,5.0,0.9999
-9.12,447.97,5.0,0.9999
-9.04,447.97,5.0,0.9999
-8.96,447.97,5.0,0.9999
-8.88,447.97,5.0,0.9999
-8.8,447.97,5.0,0.9999
-8.72,447.73,5.0,0.9999
-8.64,447.97,5.0,0.9999
-8.56,447.97,5.0,0.9999
-8.48,447.73,5.0,0.9999
-8.4,447.97,5.0,0.9999
-8.32,447.97,5.0,0.9999
-8.24,447.73,5.0,0.9999
-8.16,447.73,5.0,0.9999
-8.08,447.73,5.0,0.9999
-8.0,447.73,5.0,0.9999
-7.92,447.73,5.0,0.9999
-7.84,447.73,5.0,0.9999
-7.76,447.73,5.0,0.9999
-7.68,447.73,5.0,0.9999
-7.6,447.49,5.0,0.9999
-7.52,447.73,5.0,0.9999
-7.44,447.73,5.0,0.9999
-7.36,447.73,5.0,0.9999
-7.28,447.73,5.0,0.9999
-7.2,447.73,5.0,0.9999
-7.12,447.97,5.0,0.9999
-7.04,447.73,5.0,0.9999
-6.96,447.97,5.0,0.9999
-6.88,447.97,5.0,0.9999
-6.8,447.73,5.0,0.9999
-6.72,447.73,5.0,0.9999
-6.64,447.73,5.0,0.9999
-6.56,447.73,5.0,0.9999
-6.48,447.73,5.0,0.9999
-6.4,447.73,5.0,0.9999
-6.32,447.73,5.0,0.9999
-6.24,447.73,5.0,0.9999
-6.16,447.73,5.0,0.9999
-6.08,447.73,5.0,0.9999
-6.0,447.73,5.0,0.9999
-5.92,447.73,5.0,0.9999
-5.84,447.73,5.0,0.9999
-5.76,447.73,5.0,0.9999
-5.68,447.73,5.0,0.9999
-5.6,447.73,5.0,0.9999
-5.52,447.73,5.0,0.9999
-5.44,447.73,5.0,0.9999
-5.36,447.73,5.0,0.9999
-5.28,447.73,5.0,0.9999
-5.2,447.73,5.0,0.9999
-5.12,447.73,5.0,0.9999
-5.04,447.73,5.0,0.9999
-4.96,447.73,5.0,0.9999
-4.88,447.73,5.0,0.9999
-4.8,447.73,5.0,0.9999
-4.72,447.73,5.0,0.9999
-4.64,447.73,5.0,0.9999
-4.56,447.49,5.0,0.9999
-4.48,447.49,5.0,0.9999
-4.4,447.49,5.0,0.9999
-4.32,447.49,5.0,0.9999
-4.24,447.49,5.0,0.9999
-4.16,447.49,5.0,0.9999
-4.08,447.49,5.0,0.9999
-4.0,447.49,5.0,0.9999
-3.92,447.49,5.0,0.9999
-3.84,447.49,5.0,0.9999
-3.76,447.49,5.0,0.9999
-3.68,447.73,5.0,0.9999
-3.6,447.73,5.0,0.9999
-3.52,447.49,5.0,0.9999
-3.44,447.49,5.0,0.9999
-3.36,447.49,5.0,0.9999
-3.28,447.49,5.0,0.9999
-3.2,447.49,5.0,0.9999
-3.12,447.73,5.0,0.9999
-3.04,447.49,5.0,0.9999
-2.96,447.49,5.0,0.9999
-2.88,447.49,5.0,0.9999
-2.8,447.49,5.0,0.9999
-2.72,447.49,5.0,0.9999
-2.64,447.49,5.0,0.9999
-2.56,447.49,5.0,0.9999
-2.48,447.49,5.0,0.9999
-2.4,447.49,5.0,0.9999
-2.32,447.49,5.0,0.9999
-2.24,447.49,5.0,0.9999
-2.16,447.49,5.0,0.9999
-2.08,447.49,5.0,0.9999
-2.0,447.49,5.0,0.9999
-1.92,447.49,5.0,0.9999
-1.84,447.49,5.0,0.9999
-1.76,447.49,5.0,0.9999
-1.68,447.49,5.0,0.9999
-1.6,447.49,5.0,0.9999
-1.52,447.49,5.0,0.9999
-1.44,447.49,5.0,0.9999
-1.36,447.49,5.0,0.9999
-1.28,447.49,5.0,0.9999
-1.2,447.49,5.0,0.9999
-1.12,447.25,5.0,0.9999
-1.04,447.25,5.0,0.9999
-0.96,447.25,5.0,0.9999
-0.88,447.25,5.0,0.9999
-0.8,447.49,5.0,0.9999
-0.72,447.25,5.0,0.9999
-0.64,447.25,5.0,0.9999
-0.56,447.49,0.1,1.0
-0.48,447.25,0.1,1.0
-0.4,424.04,0.1,1.0
-0.32,406.15,0.1,1.0
-0.24,390.43,0.3,1.0
-0.16,376.17,0.3,1.0
-0.08,325.4,0.3,1.0
0.0,246.83,0.3,1.0
