file,start,end,n,dt_ms,trip,names,ch0_min,ch0_max,ch1_min,ch1_max,ch2_min,ch2_max
ring_054336.csv,05:43:16.257,05:43:36.257,251,80.0,0,vDcInst/set_freq/iq_shed,456.68,457.89,5.0,5.0,1.0,1.0
trip_054400.csv,,,58,80.0,1,vDcInst/set_freq/iq_shed,247.56,458.37,0.1,5.0,1.0,1.0
trip_054420.csv,,,193,80.0,1,vDcInst/set_freq/iq_shed,260.13,459.82,0.1,5.0,1.0,1.0
ring_054443.csv,05:44:25.427,05:44:43.747,230,80.0,0,vDcInst/set_freq/iq_shed,460.06,461.03,5.0,5.0,1.0,1.0
trip_054507.csv,,,127,80.0,1,vDcInst/set_freq/iq_shed,201.38,461.75,0.1,5.0,1.0,1.0
ring_054529.csv,05:45:10.997,05:45:29.397,231,80.0,0,vDcInst/set_freq/iq_shed,462.24,462.96,5.0,5.0,1.0,1.0
ring_054552.csv,05:45:34.469,05:45:52.789,230,80.0,0,vDcInst/set_freq/iq_shed,462.96,463.93,5.0,5.0,1.0,1.0
ring_054616.csv,05:45:57.988,05:46:16.228,229,80.0,0,vDcInst/set_freq/iq_shed,464.17,464.9,5.0,5.0,1.0,1.0
ring_054639.csv,05:46:21.382,05:46:39.782,231,80.0,0,vDcInst/set_freq/iq_shed,277.78,465.86,5.0,5.0,0.287,1.0
ring_054703.csv,05:46:44.981,05:47:03.381,231,80.0,0,vDcInst/set_freq/iq_shed,465.86,466.83,5.0,5.0,1.0,1.0
ring_054726.csv,05:47:08.486,05:47:26.886,231,80.0,0,vDcInst/set_freq/iq_shed,466.83,467.8,5.0,5.0,1.0,1.0
ring_054750.csv,05:47:31.975,05:47:50.375,231,80.0,0,vDcInst/set_freq/iq_shed,467.8,468.52,5.0,5.0,1.0,1.0
ring_054814.csv,05:47:55.446,05:48:14.966,245,80.0,0,vDcInst/set_freq/iq_shed,468.52,469.49,5.0,5.0,1.0,1.0
ring_060733.csv,06:07:13.463,06:07:33.543,252,80.0,0,vDcInst/set_freq/iq_shed,291.56,501.16,0.1,5.0,0.519,1.0
ring_060757.csv,06:07:39.094,06:07:57.334,229,80.0,0,vDcInst/set_freq/iq_shed,295.42,300.26,0.9,0.9,0.558,0.6
ring_060820.csv,06:08:02.613,06:08:20.933,230,80.0,0,vDcInst/set_freq/iq_shed,295.91,300.74,0.9,0.9,0.566,0.606
ring_060844.csv,06:08:26.053,06:08:44.453,231,80.0,0,vDcInst/set_freq/iq_shed,296.39,301.47,0.9,1.7,0.573,0.615
ring_060907.csv,06:08:49.540,06:09:07.860,230,80.0,0,vDcInst/set_freq/iq_shed,297.12,301.95,2.1,3.1,0.579,0.618
ring_060931.csv,06:09:12.996,06:09:31.396,231,80.0,0,vDcInst/set_freq/iq_shed,297.36,302.19,3.5,5.09,0.585,0.626
ring_060954.csv,06:09:36.531,06:09:54.931,231,80.0,0,vDcInst/set_freq/iq_shed,298.08,303.16,5.69,7.69,0.592,0.634
ring_061018.csv,06:09:59.954,06:10:18.274,230,80.0,0,vDcInst/set_freq/iq_shed,298.81,304.13,8.49,10.29,0.602,0.646
ring_061041.csv,06:10:23.523,06:10:41.923,231,80.0,0,vDcInst/set_freq/iq_shed,299.53,304.85,9.89,10.09,0.611,0.655
ring_061106.csv,06:10:48.001,06:11:06.321,230,80.0,0,vDcInst/set_freq/iq_shed,300.26,306.06,9.89,10.09,0.62,0.667
ring_061130.csv,06:11:11.632,06:11:30.112,232,80.0,0,vDcInst/set_freq/iq_shed,301.47,307.75,9.89,10.29,0.635,0.689
ring_061153.csv,06:11:35.232,06:11:53.632,231,80.0,0,vDcInst/set_freq/iq_shed,266.17,308.48,9.89,10.29,0.623,0.797
ring_061217.csv,06:11:58.975,06:12:17.295,230,80.0,0,vDcInst/set_freq/iq_shed,266.41,268.35,9.89,9.89,0.627,0.676
ring_061240.csv,06:12:22.511,06:12:40.911,231,80.0,0,vDcInst/set_freq/iq_shed,266.9,268.83,9.89,9.89,0.648,0.696
ring_061304.csv,06:12:45.997,06:13:04.317,230,80.0,0,vDcInst/set_freq/iq_shed,267.14,510.1,0.1,9.89,0.272,1.0
ring_061327.csv,06:13:09.437,06:13:27.757,230,80.0,0,vDcInst/set_freq/iq_shed,309.93,317.18,3.3,10.29,0.682,0.739
ring_061351.csv,06:13:33.021,06:13:51.341,230,80.0,0,vDcInst/set_freq/iq_shed,312.35,319.6,9.89,10.09,0.712,0.764
ring_061414.csv,06:13:56.412,06:14:14.732,230,80.0,0,vDcInst/set_freq/iq_shed,313.56,320.32,9.89,10.49,0.727,0.772
ring_061438.csv,06:14:19.867,06:14:38.267,231,80.0,0,vDcInst/set_freq/iq_shed,313.07,320.08,9.89,10.49,0.722,0.772
ring_061501.csv,06:14:43.452,06:15:01.772,230,80.0,0,vDcInst/set_freq/iq_shed,311.62,319.12,9.89,10.09,0.702,0.759
ring_061525.csv,06:15:06.940,06:15:25.260,230,80.0,0,vDcInst/set_freq/iq_shed,311.14,317.67,9.89,10.49,0.697,0.745
ring_061548.csv,06:15:30.330,06:15:48.810,232,80.0,0,vDcInst/set_freq/iq_shed,311.14,317.67,9.89,10.29,0.698,0.745
ring_061612.csv,06:15:54.442,06:16:12.842,231,80.0,0,vDcInst/set_freq/iq_shed,311.86,318.63,9.89,10.29,0.706,0.754
ring_061636.csv,06:16:18.232,06:16:36.552,230,80.0,0,vDcInst/set_freq/iq_shed,312.59,320.32,9.89,10.29,0.718,0.774
ring_061700.csv,06:16:41.625,06:17:00.025,231,80.0,0,vDcInst/set_freq/iq_shed,313.8,320.32,9.89,10.49,0.733,0.776
ring_062159.csv,06:21:39.020,06:21:59.100,252,80.0,0,vDcInst/set_freq/iq_shed,513.25,513.73,5.0,5.0,1.0,1.0
trip_062222.csv,,,130,80.0,1,vDcInst/set_freq/iq_shed,225.07,514.21,0.1,5.0,0.1,1.0
trip_062244.csv,,,14,80.0,1,vDcInst/set_freq/iq_shed,238.13,507.69,0.7,1.1,0.1,1.0
trip_062305.csv,,,47,80.0,1,vDcInst/set_freq/iq_shed,204.28,514.21,0.1,5.0,0.1,1.0
ring_062325.csv,06:23:07.471,06:23:25.791,230,80.0,0,vDcInst/set_freq/iq_shed,514.46,514.94,5.0,5.0,1.0,1.0
trip_062349.csv,,,35,80.0,1,vDcInst/set_freq/iq_shed,225.56,509.86,0.1,1.1,0.1,1.0
ring_062410.csv,06:23:51.761,06:24:10.161,231,80.0,0,vDcInst/set_freq/iq_shed,514.94,515.42,5.0,5.0,1.0,1.0
ring_062433.csv,06:24:15.264,06:24:33.664,231,80.0,0,vDcInst/set_freq/iq_shed,515.18,515.91,5.0,5.0,1.0,1.0
ring_062457.csv,06:24:38.849,06:24:57.169,230,80.0,0,vDcInst/set_freq/iq_shed,421.86,516.39,0.1,5.0,1.0,1.0
ring_062520.csv,06:25:02.193,06:25:20.513,230,80.0,0,vDcInst/set_freq/iq_shed,516.87,518.81,5.0,5.0,1.0,1.0
ring_062544.csv,06:25:25.728,06:25:44.048,230,80.0,0,vDcInst/set_freq/iq_shed,516.63,518.57,5.0,5.0,1.0,1.0
ring_062607.csv,06:25:49.135,06:26:07.455,230,80.0,0,vDcInst/set_freq/iq_shed,516.63,517.84,5.0,5.0,1.0,1.0
ring_062630.csv,06:26:12.607,06:26:30.927,230,80.0,0,vDcInst/set_freq/iq_shed,517.84,518.57,5.0,5.0,1.0,1.0
ring_062654.csv,06:26:36.161,06:26:54.561,231,80.0,0,vDcInst/set_freq/iq_shed,517.6,518.81,5.0,5.0,1.0,1.0
ring_062717.csv,06:26:59.536,06:27:17.856,230,80.0,0,vDcInst/set_freq/iq_shed,517.36,517.6,5.0,5.0,1.0,1.0
ring_062741.csv,06:27:23.056,06:27:41.376,230,80.0,0,vDcInst/set_freq/iq_shed,513.25,518.57,0.1,5.0,1.0,1.0
trip_062805.csv,,,78,80.0,1,vDcInst/set_freq/iq_shed,242.24,476.26,2.3,4.69,0.1,1.0
ring_062826.csv,06:28:07.776,06:28:26.176,231,80.0,0,vDcInst/set_freq/iq_shed,519.78,521.71,5.0,5.0,1.0,1.0
ring_062849.csv,06:28:31.551,06:28:49.951,231,80.0,0,vDcInst/set_freq/iq_shed,521.71,522.92,5.0,5.0,1.0,1.0
ring_062913.csv,06:28:54.958,06:29:13.358,231,80.0,0,vDcInst/set_freq/iq_shed,520.26,521.23,5.0,5.0,1.0,1.0
ring_062936.csv,06:29:18.494,06:29:36.894,231,80.0,0,vDcInst/set_freq/iq_shed,520.26,521.23,5.0,5.0,1.0,1.0
ring_063000.csv,06:29:41.967,06:30:00.447,232,80.0,0,vDcInst/set_freq/iq_shed,520.74,524.37,5.0,5.0,1.0,1.0
ring_063024.csv,06:30:05.855,06:30:24.175,230,80.0,0,vDcInst/set_freq/iq_shed,522.68,524.13,5.0,5.0,1.0,1.0
ring_063047.csv,06:30:29.279,06:30:47.679,231,80.0,0,vDcInst/set_freq/iq_shed,522.68,523.64,5.0,5.0,1.0,1.0
ring_063111.csv,06:30:52.702,06:31:11.022,230,80.0,0,vDcInst/set_freq/iq_shed,520.02,521.95,5.0,5.0,1.0,1.0
ring_063134.csv,06:31:16.062,06:31:34.462,231,80.0,0,vDcInst/set_freq/iq_shed,520.02,520.5,5.0,5.0,1.0,1.0
ring_063757.csv,06:37:57.263,06:37:57.314,256,0.2,0,wm_hat_hz/iq/id,0.0,0.0,0.0,0.0,0.0,0.0
