t_to_trip_s,vDcInst,set_freq,iq_shed
-6.16,475.05,2.3,1.0
-6.08,476.26,2.3,1.0
-6.0,474.81,2.5,1.0
-5.92,475.05,2.5,1.0
-5.84,475.53,2.5,1.0
-5.76,474.08,2.5,1.0
-5.68,475.78,2.5,1.0
-5.6,474.32,2.5,1.0
-5.52,475.05,2.7,1.0
-5.44,474.57,2.7,1.0
-5.36,473.6,2.7,1.0
-5.28,474.81,2.7,1.0
-5.2,473.12,2.7,1.0
-5.12,473.6,2.7,1.0
-5.04,474.08,2.9,1.0
-4.96,472.39,2.9,1.0
-4.88,472.39,2.9,1.0
-4.8,471.67,2.9,1.0
-4.72,472.63,2.9,1.0
-4.64,471.42,2.9,1.0
-4.56,472.63,2.9,1.0
-4.48,470.21,3.1,1.0
-4.4,471.18,3.1,1.0
-4.32,469.73,3.1,1.0
-4.24,470.94,3.1,1.0
-4.16,468.52,3.1,1.0
-4.08,469.97,3.1,1.0
-4.0,468.28,3.3,1.0
-3.92,468.52,3.3,1.0
-3.84,466.59,3.3,1.0
-3.76,467.56,3.3,1.0
-3.68,465.62,3.3,1.0
-3.6,467.56,3.3,1.0
-3.52,464.41,3.5,1.0
-3.44,466.83,3.5,1.0
-3.36,462.72,3.5,1.0
-3.28,466.59,3.5,1.0
-3.2,462.48,3.5,1.0
-3.12,464.9,3.5,1.0
-3.04,464.17,3.5,1.0
-2.96,462.72,3.7,1.0
-2.88,462.72,3.7,1.0
-2.8,457.89,3.7,1.0
-2.72,464.41,3.7,1.0
-2.64,457.64,3.7,1.0
-2.56,460.79,3.7,1.0
-2.48,459.58,3.9,1.0
-2.4,454.98,3.9,1.0
-2.32,459.58,3.9,1.0
-2.24,453.78,3.9,1.0
-2.16,457.16,3.9,1.0
-2.08,455.23,3.9,1.0
-2.0,451.12,4.1,1.0
-1.92,455.23,4.1,1.0
-1.84,450.15,4.1,1.0
-1.76,446.76,4.1,1.0
-1.68,451.36,4.1,1.0
-1.6,445.31,4.1,1.0
-1.52,443.62,4.1,1.0
-1.44,447.01,4.3,1.0
-1.36,439.03,4.3,1.0
-1.28,436.85,4.3,1.0
-1.2,439.03,4.3,1.0
-1.12,431.78,4.3,1.0
-1.04,427.42,4.3,1.0
-0.96,429.12,4.5,1.0
-0.88,421.14,4.5,1.0
-0.8,412.43,4.5,1.0
-0.72,410.26,4.5,1.0
-0.64,403.97,4.5,1.0
-0.56,393.09,4.5,1.0
-0.48,383.67,4.69,1.0
-0.4,373.51,4.69,1.0
-0.32,359.25,4.69,1.0
-0.24,337.73,4.69,0.9517
-0.16,314.28,4.69,0.6743
-0.08,288.41,4.69,0.3647
0.0,242.24,4.69,0.1
