iso,t_s,vDcInst,idc_units,iq_shed
09:18:38.717,1789107518.718,484.24,23.62,0.9999
09:18:38.797,1789107518.798,485.2,23.65,0.9999
09:18:38.877,1789107518.878,485.45,23.63,0.9999
09:18:38.957,1789107518.958,484.72,23.62,0.9999
09:18:39.037,1789107519.038,485.2,23.68,0.9999
09:18:39.117,1789107519.118,483.51,23.68,0.9999
09:18:39.197,1789107519.198,484.96,23.69,0.9999
09:18:39.277,1789107519.278,485.69,23.68,0.9999
09:18:39.357,1789107519.358,484.48,23.62,0.9999
09:18:39.437,1789107519.438,484.96,23.56,0.9999
09:18:39.517,1789107519.518,484.24,23.59,0.9999
09:18:39.597,1789107519.598,485.45,23.53,0.9999
09:18:39.677,1789107519.678,484.48,23.55,0.9999
09:18:39.757,1789107519.758,483.51,23.53,0.9999
09:18:39.837,1789107519.838,484.72,23.53,0.9999
09:18:39.917,1789107519.918,484.72,23.51,0.9999
09:18:39.997,1789107519.998,484.96,23.53,0.9999
09:18:40.077,1789107520.078,484.72,23.55,0.9999
09:18:40.157,1789107520.158,484.24,23.45,0.9999
09:18:40.237,1789107520.238,485.2,23.38,0.9999
09:18:40.317,1789107520.318,485.2,23.34,0.9999
09:18:40.397,1789107520.398,483.51,23.31,0.9999
09:18:40.477,1789107520.478,484.72,23.34,0.9999
09:18:40.557,1789107520.558,485.45,23.32,0.9999
09:18:40.637,1789107520.638,484.72,23.32,0.9999
09:18:40.717,1789107520.718,484.96,23.29,0.9999
09:18:40.797,1789107520.798,484.24,23.29,0.9999
09:18:40.877,1789107520.878,483.75,23.24,0.9999
09:18:40.957,1789107520.958,484.24,23.38,0.9999
09:18:41.037,1789107521.038,483.03,23.37,0.9999
09:18:41.117,1789107521.118,483.75,23.42,0.9999
09:18:41.197,1789107521.198,483.75,23.42,0.9999
09:18:41.277,1789107521.278,483.03,23.44,0.9999
09:18:41.357,1789107521.358,483.27,23.46,0.9999
09:18:41.437,1789107521.438,483.03,23.44,0.9999
09:18:41.517,1789107521.518,483.75,23.46,0.9999
09:18:41.597,1789107521.598,482.3,23.44,0.9999
09:18:41.677,1789107521.678,482.06,23.49,0.9999
09:18:41.757,1789107521.758,483.75,23.45,0.9999
09:18:41.837,1789107521.838,483.51,23.34,0.9999
09:18:41.917,1789107521.918,483.27,23.35,0.9999
09:18:41.997,1789107521.998,484.0,23.34,0.9999
09:18:42.077,1789107522.078,483.51,23.33,0.9999
09:18:42.157,1789107522.158,484.24,23.29,0.9999
09:18:42.237,1789107522.238,482.54,23.3,0.9999
09:18:42.317,1789107522.318,482.79,23.28,0.9999
09:18:42.397,1789107522.398,483.51,23.28,0.9999
09:18:42.477,1789107522.478,483.51,23.28,0.9999
09:18:42.557,1789107522.558,482.54,23.34,0.9999
09:18:42.637,1789107522.638,482.3,23.39,0.9999
09:18:42.717,1789107522.718,483.27,23.41,0.9999
09:18:42.797,1789107522.798,482.79,23.43,0.9999
09:18:42.877,1789107522.878,482.06,23.46,0.9999
09:18:42.957,1789107522.958,480.85,23.46,0.9999
09:18:43.037,1789107523.038,482.06,23.48,0.9999
09:18:43.117,1789107523.118,482.54,23.48,0.9999
09:18:43.197,1789107523.198,481.34,23.48,0.9999
09:18:43.277,1789107523.278,482.3,23.53,0.9999
09:18:43.357,1789107523.358,482.79,23.45,0.9999
09:18:43.437,1789107523.438,483.03,23.4,0.9999
09:18:43.517,1789107523.518,482.79,23.38,0.9999
09:18:43.597,1789107523.598,482.3,23.38,0.9999
09:18:43.677,1789107523.678,483.27,23.39,0.9999
09:18:43.757,1789107523.758,482.54,23.32,0.9999
09:18:43.837,1789107523.838,481.09,23.35,0.9999
09:18:43.917,1789107523.918,482.3,23.36,0.9999
09:18:43.997,1789107523.998,482.79,23.31,0.9999
09:18:44.077,1789107524.078,482.06,23.35,0.9999
09:18:44.157,1789107524.158,482.06,23.36,0.9999
09:18:44.237,1789107524.238,481.34,23.44,0.9999
09:18:44.317,1789107524.318,482.79,23.45,0.9999
09:18:44.397,1789107524.398,482.06,23.49,0.9999
09:18:44.477,1789107524.478,480.61,23.46,0.9999
09:18:44.557,1789107524.558,481.09,23.51,0.9999
09:18:44.637,1789107524.638,482.06,23.52,0.9999
