iso,t_s,vDcInst,idc_units,iq_shed
09:48:02.516,1789109282.516,521.95,8.55,0.9999
09:48:02.596,1789109282.596,521.47,8.55,0.9999
09:48:02.676,1789109282.676,522.43,8.56,0.9999
09:48:02.756,1789109282.756,522.43,8.53,0.9999
09:48:02.836,1789109282.836,521.95,8.53,0.9999
09:48:02.916,1789109282.916,523.16,8.54,0.9999
09:48:02.996,1789109282.996,523.16,8.53,0.9999
09:48:03.076,1789109283.076,522.92,8.45,0.9999
09:48:03.156,1789109283.156,523.89,8.41,0.9999
09:48:03.236,1789109283.236,523.64,8.41,0.9999
09:48:03.316,1789109283.316,523.89,8.4,0.9999
09:48:03.396,1789109283.396,524.61,8.41,0.9999
09:48:03.476,1789109283.476,524.61,8.39,0.9999
09:48:03.556,1789109283.556,524.85,8.38,0.9999
09:48:03.636,1789109283.636,525.34,8.38,0.9999
09:48:03.716,1789109283.716,525.09,8.37,0.9999
09:48:03.796,1789109283.796,526.06,8.38,0.9999
09:48:03.876,1789109283.876,525.34,8.29,0.9999
09:48:03.956,1789109283.956,526.06,8.26,0.9999
09:48:04.036,1789109284.036,527.03,8.26,0.9999
09:48:04.116,1789109284.116,525.82,8.23,0.9999
09:48:04.196,1789109284.196,526.79,8.26,0.9999
09:48:04.276,1789109284.276,527.03,8.22,0.9999
09:48:04.356,1789109284.356,526.3,8.22,0.9999
09:48:04.436,1789109284.436,527.03,8.24,0.9999
09:48:04.516,1789109284.516,527.03,8.2,0.9999
09:48:04.596,1789109284.596,528.0,8.21,0.9999
09:48:04.676,1789109284.676,528.24,8.16,0.9999
09:48:04.756,1789109284.756,528.48,8.08,0.9999
09:48:04.836,1789109284.836,528.96,8.1,0.9999
09:48:04.916,1789109284.916,528.0,8.07,0.9999
09:48:04.996,1789109284.996,528.96,8.08,0.9999
09:48:05.076,1789109285.076,528.72,8.08,0.9999
09:48:05.156,1789109285.156,528.96,8.08,0.9999
09:48:05.236,1789109285.236,529.45,8.06,0.9999
09:48:05.316,1789109285.316,529.45,8.07,0.9999
09:48:05.396,1789109285.396,530.41,8.07,0.9999
09:48:05.476,1789109285.476,529.45,8.0,0.9999
09:48:05.556,1789109285.556,530.41,7.94,0.9999
09:48:05.636,1789109285.636,529.93,7.93,0.9999
09:48:05.716,1789109285.716,530.65,7.93,0.9999
09:48:05.796,1789109285.796,530.65,7.93,0.9999
09:48:05.876,1789109285.876,530.9,7.92,0.9999
09:48:05.956,1789109285.956,531.38,7.92,0.9999
09:48:06.036,1789109286.036,530.41,7.91,0.9999
09:48:06.116,1789109286.116,531.62,7.94,0.9999
09:48:06.196,1789109286.196,531.38,7.93,0.9999
09:48:06.276,1789109286.276,532.59,7.88,0.9999
09:48:06.356,1789109286.356,531.38,7.76,0.9999
09:48:06.436,1789109286.436,532.59,7.82,0.9999
09:48:06.516,1789109286.516,532.35,7.77,0.9999
09:48:06.596,1789109286.596,533.07,7.78,0.9999
09:48:06.676,1789109286.676,532.1,7.77,0.9999
09:48:06.756,1789109286.756,532.83,7.78,0.9999
09:48:06.836,1789109286.836,532.59,7.75,0.9999
09:48:06.916,1789109286.916,533.31,7.75,0.9999
09:48:06.996,1789109286.996,533.07,7.75,0.9999
09:48:07.076,1789109287.076,533.31,7.77,0.9999
09:48:07.156,1789109287.156,533.31,7.85,0.9999
09:48:07.236,1789109287.236,533.07,7.82,0.9999
09:48:07.316,1789109287.316,533.56,7.85,0.9999
09:48:07.396,1789109287.396,533.56,7.83,0.9999
09:48:07.476,1789109287.476,533.8,7.84,0.9999
09:48:07.556,1789109287.556,532.83,7.82,0.9999
09:48:07.636,1789109287.636,534.04,7.85,0.9999
09:48:07.716,1789109287.716,533.8,7.84,0.9999
09:48:07.796,1789109287.796,534.52,7.85,0.9999
09:48:07.876,1789109287.876,533.8,7.81,0.9999
09:48:07.956,1789109287.956,534.52,7.75,0.9999
09:48:08.036,1789109288.036,534.52,7.74,0.9999
09:48:08.116,1789109288.116,534.76,7.74,0.9999
09:48:08.196,1789109288.196,534.76,7.74,0.9999
09:48:08.276,1789109288.276,534.76,7.74,0.9999
09:48:08.356,1789109288.356,535.01,7.72,0.9999
09:48:08.436,1789109288.436,535.01,7.71,0.9999
09:48:08.516,1789109288.516,535.25,7.73,0.9999
09:48:08.596,1789109288.596,535.01,7.72,0.9999
09:48:08.676,1789109288.676,534.52,7.71,0.9999
09:48:08.756,1789109288.756,534.76,7.83,0.9999
09:48:08.836,1789109288.836,535.01,7.83,0.9999
09:48:08.916,1789109288.916,535.25,7.83,0.9999
09:48:08.996,1789109288.996,535.49,7.83,0.9999
09:48:09.076,1789109289.076,534.76,7.83,0.9999
09:48:09.156,1789109289.156,535.49,7.87,0.9999
09:48:09.236,1789109289.236,535.25,7.85,0.9999
09:48:09.316,1789109289.316,535.73,7.85,0.9999
09:48:09.396,1789109289.396,535.01,7.82,0.9999
09:48:09.476,1789109289.476,535.97,7.85,0.9999
09:48:09.556,1789109289.556,535.49,7.73,0.9999
09:48:09.636,1789109289.636,535.97,7.76,0.9999
09:48:09.716,1789109289.716,535.97,7.75,0.9999
09:48:09.796,1789109289.796,535.97,7.75,0.9999
09:48:09.876,1789109289.876,536.21,7.73,0.9999
09:48:09.956,1789109289.956,535.97,7.73,0.9999
09:48:10.036,1789109290.036,536.46,7.75,0.9999
09:48:10.116,1789109290.116,536.21,7.75,0.9999
09:48:10.196,1789109290.196,536.21,7.74,0.9999
09:48:10.276,1789109290.276,535.49,7.74,0.9999
09:48:10.356,1789109290.356,535.97,7.84,0.9999
09:48:10.436,1789109290.436,536.46,7.84,0.9999
09:48:10.516,1789109290.516,536.46,7.83,0.9999
09:48:10.596,1789109290.596,535.49,7.83,0.9999
09:48:10.676,1789109290.676,536.21,7.87,0.9999
09:48:10.756,1789109290.756,535.97,7.83,0.9999
09:48:10.836,1789109290.836,536.7,7.85,0.9999
09:48:10.916,1789109290.916,535.97,7.85,0.9999
09:48:10.996,1789109290.996,536.46,7.87,0.9999
09:48:11.076,1789109291.076,536.7,7.84,0.9999
09:48:11.156,1789109291.156,536.21,7.77,0.9999
09:48:11.236,1789109291.236,536.7,7.75,0.9999
09:48:11.316,1789109291.316,536.46,7.77,0.9999
09:48:11.396,1789109291.396,537.18,7.74,0.9999
09:48:11.476,1789109291.476,536.46,7.75,0.9999
09:48:11.556,1789109291.556,536.94,7.75,0.9999
09:48:11.636,1789109291.636,536.94,7.71,0.9999
09:48:11.716,1789109291.716,537.18,7.72,0.9999
09:48:11.796,1789109291.796,536.7,7.72,0.9999
09:48:11.876,1789109291.876,536.94,7.76,0.9999
09:48:11.956,1789109291.956,537.18,7.8,0.9999
09:48:12.036,1789109292.036,537.18,7.85,0.9999
09:48:12.116,1789109292.116,536.7,7.82,0.9999
09:48:12.196,1789109292.196,537.18,7.85,0.9999
09:48:12.276,1789109292.276,536.94,7.83,0.9999
09:48:12.356,1789109292.356,537.42,7.84,0.9999
09:48:12.436,1789109292.436,537.42,7.83,0.9999
09:48:12.516,1789109292.516,537.42,7.84,0.9999
09:48:12.596,1789109292.596,537.42,7.83,0.9999
09:48:12.676,1789109292.676,537.18,7.82,0.9999
09:48:12.756,1789109292.756,537.67,7.8,0.9999
09:48:12.836,1789109292.836,537.91,7.72,0.9999
09:48:12.916,1789109292.916,537.67,7.73,0.9999
09:48:12.996,1789109292.996,536.94,7.71,0.9999
09:48:13.076,1789109293.076,537.91,7.75,0.9999
09:48:13.156,1789109293.156,537.91,7.72,0.9999
09:48:13.236,1789109293.236,537.91,7.73,0.9999
09:48:13.316,1789109293.316,536.7,7.7,0.9999
09:48:13.396,1789109293.396,537.91,7.75,0.9999
09:48:13.476,1789109293.476,537.67,7.69,0.9999
09:48:13.556,1789109293.556,538.15,7.76,0.9999
09:48:13.636,1789109293.636,536.94,7.8,0.9999
09:48:13.716,1789109293.716,537.67,7.82,0.9999
09:48:13.796,1789109293.796,537.42,7.8,0.9999
09:48:13.876,1789109293.876,537.91,7.82,0.9999
09:48:13.956,1789109293.956,537.91,7.82,0.9999
09:48:14.036,1789109294.036,537.67,7.82,0.9999
09:48:14.116,1789109294.116,537.67,7.83,0.9999
09:48:14.196,1789109294.196,537.42,7.83,0.9999
09:48:14.276,1789109294.276,537.42,7.84,0.9999
09:48:14.356,1789109294.356,537.91,7.85,0.9999
09:48:14.436,1789109294.436,537.91,7.96,0.9999
09:48:14.516,1789109294.516,536.94,7.92,0.9999
09:48:14.596,1789109294.596,537.42,7.94,0.9999
09:48:14.676,1789109294.676,537.18,7.94,0.9999
09:48:14.756,1789109294.756,536.94,7.93,0.9999
09:48:14.836,1789109294.836,537.18,7.97,0.9999
09:48:14.916,1789109294.916,537.18,7.96,0.9999
09:48:14.996,1789109294.996,537.67,7.95,0.9999
09:48:15.076,1789109295.076,536.21,7.95,0.9999
09:48:15.156,1789109295.156,536.7,8.0,0.9999
09:48:15.236,1789109295.236,536.94,8.08,0.9999
09:48:15.316,1789109295.316,535.97,8.05,0.9999
09:48:15.396,1789109295.396,536.7,8.1,0.9999
09:48:15.476,1789109295.476,536.46,8.07,0.9999
09:48:15.556,1789109295.556,536.46,8.08,0.9999
09:48:15.636,1789109295.636,536.46,8.08,0.9999
09:48:15.716,1789109295.716,535.97,8.09,0.9999
09:48:15.796,1789109295.796,536.94,8.11,0.9999
09:48:15.876,1789109295.876,535.73,8.08,0.9999
09:48:15.956,1789109295.956,535.73,8.13,0.9999
09:48:16.036,1789109296.036,535.97,8.21,0.9999
09:48:16.116,1789109296.116,535.25,8.2,0.9999
09:48:16.196,1789109296.196,536.21,8.22,0.9999
09:48:16.276,1789109296.276,535.73,8.2,0.9999
09:48:16.356,1789109296.356,534.76,8.22,0.9999
09:48:16.436,1789109296.436,535.73,8.25,0.9999
09:48:16.516,1789109296.516,535.25,8.23,0.9999
09:48:16.596,1789109296.596,535.01,8.23,0.9999
09:48:16.676,1789109296.676,535.25,8.26,0.9999
09:48:16.756,1789109296.756,534.52,8.23,0.9999
09:48:16.836,1789109296.836,534.28,8.37,0.9999
09:48:16.916,1789109296.916,534.76,8.36,0.9999
09:48:16.996,1789109296.996,534.52,8.35,0.9999
09:48:17.076,1789109297.076,534.04,8.37,0.9999
09:48:17.156,1789109297.156,534.52,8.37,0.9999
09:48:17.236,1789109297.236,534.52,8.36,0.9999
09:48:17.316,1789109297.316,533.8,8.37,0.9999
09:48:17.396,1789109297.396,534.52,8.39,0.9999
09:48:17.476,1789109297.476,533.8,8.38,0.9999
09:48:17.556,1789109297.556,533.07,8.39,0.9999
09:48:17.636,1789109297.636,534.04,8.51,0.9999
09:48:17.716,1789109297.716,533.8,8.5,0.9999
09:48:17.796,1789109297.796,533.07,8.49,0.9999
09:48:17.876,1789109297.876,533.8,8.52,0.9999
09:48:17.956,1789109297.956,533.56,8.5,0.9999
09:48:18.036,1789109298.036,532.83,8.51,0.9999
09:48:18.116,1789109298.116,533.07,8.54,0.9999
09:48:18.196,1789109298.196,533.56,8.52,0.9999
09:48:18.276,1789109298.276,532.83,8.52,0.9999
09:48:18.356,1789109298.356,533.07,8.52,0.9999
09:48:18.436,1789109298.436,533.31,8.62,0.9999
09:48:18.516,1789109298.516,533.31,8.64,0.9999
09:48:18.596,1789109298.596,532.35,8.64,0.9999
09:48:18.676,1789109298.676,532.35,8.64,0.9999
09:48:18.756,1789109298.756,532.83,8.64,0.9999
09:48:18.836,1789109298.836,532.59,8.65,0.9999
09:48:18.916,1789109298.916,531.86,8.64,0.9999
09:48:18.996,1789109298.996,532.59,8.69,0.9999
09:48:19.076,1789109299.076,532.59,8.65,0.9999
09:48:19.156,1789109299.156,532.1,8.66,0.9999
09:48:19.236,1789109299.236,532.35,8.75,0.9999
09:48:19.316,1789109299.316,532.1,8.77,0.9999
09:48:19.396,1789109299.396,532.1,8.78,0.9999
09:48:19.476,1789109299.476,532.1,8.78,0.9999
09:48:19.556,1789109299.556,531.38,8.78,0.9999
09:48:19.636,1789109299.636,532.35,8.8,0.9999
09:48:19.716,1789109299.716,532.59,8.77,0.9999
