t_to_trip_s,vDcInst,idc_units,iq_shed
-8.16,446.28,1.99,1.0
-8.08,447.25,1.97,1.0
-8.0,448.46,1.96,1.0
-7.92,449.67,1.96,1.0
-7.84,451.84,1.96,1.0
-7.76,449.42,1.97,1.0
-7.68,449.91,1.95,1.0
-7.6,448.7,1.96,1.0
-7.52,448.21,1.98,1.0
-7.44,448.94,1.97,1.0
-7.36,446.04,1.98,1.0
-7.28,445.31,1.98,1.0
-7.2,445.8,1.98,1.0
-7.12,445.56,1.98,1.0
-7.04,446.76,1.99,1.0
-6.96,445.56,1.99,1.0
-6.88,443.38,1.98,1.0
-6.8,446.28,1.99,1.0
-6.72,447.25,1.97,1.0
-6.64,449.91,1.98,1.0
-6.56,448.7,1.97,1.0
-6.48,448.46,1.95,1.0
-6.4,449.42,1.96,1.0
-6.32,448.7,1.97,1.0
-6.24,448.46,1.97,1.0
-6.16,446.04,1.98,1.0
-6.08,444.83,1.98,1.0
-6.0,445.56,1.98,1.0
-5.92,445.07,1.99,1.0
-5.84,446.04,1.99,1.0
-5.76,445.07,1.98,1.0
-5.68,442.9,1.98,1.0
-5.6,443.86,1.99,1.0
-5.52,443.62,1.99,1.0
-5.44,447.49,1.98,1.0
-5.36,447.97,1.97,1.0
-5.28,446.28,1.97,1.0
-5.2,447.97,1.96,1.0
-5.12,447.97,1.96,1.0
-5.04,450.15,1.96,1.0
-4.96,446.52,1.97,1.0
-4.88,444.59,1.98,1.0
-4.8,444.59,1.98,1.0
-4.72,443.62,1.98,1.0
-4.64,444.59,2.0,1.0
-4.56,443.14,1.99,1.0
-4.48,440.48,1.99,1.0
-4.4,440.48,1.99,1.0
-4.32,439.27,1.99,1.0
-4.24,440.48,1.99,1.0
-4.16,441.45,1.99,1.0
-4.08,439.51,1.98,1.0
-4.0,441.2,1.99,1.0
-3.92,441.93,1.99,1.0
-3.84,445.07,1.98,1.0
-3.76,444.35,1.99,1.0
-3.68,441.93,1.98,1.0
-3.6,441.45,1.99,1.0
-3.52,440.48,1.98,1.0
-3.44,441.45,1.98,1.0
-3.36,439.75,2.0,1.0
-3.28,435.89,1.99,1.0
-3.2,435.64,1.99,1.0
-3.12,433.95,1.99,1.0
-3.04,434.43,2.0,1.0
-2.96,433.23,1.99,1.0
-2.88,430.32,1.99,1.0
-2.8,431.53,2.0,1.0
-2.72,431.53,1.99,1.0
-2.64,433.47,1.99,1.0
-2.56,432.74,2.0,1.0
-2.48,430.32,1.99,1.0
-2.4,430.57,2.0,1.0
-2.32,426.94,2.0,1.0
-2.24,426.94,2.01,1.0
-2.16,424.52,2.02,1.0
-2.08,420.17,2.01,1.0
-2.0,418.48,2.02,1.0
-1.92,414.85,2.02,1.0
-1.84,413.16,2.02,1.0
-1.76,411.23,2.03,1.0
-1.68,407.12,2.03,0.9938
-1.6,405.18,2.02,0.9817
-1.52,400.83,2.03,0.9548
-1.44,398.9,2.03,0.9366
-1.36,394.06,2.04,0.8976
-1.28,387.05,2.04,0.8635
-1.2,384.87,2.04,0.8459
-1.12,382.94,2.05,0.8358
-1.04,383.18,2.03,0.8227
-0.96,379.56,2.04,0.8155
-0.88,378.1,2.04,0.8033
-0.8,375.45,2.04,0.788
-0.72,371.58,2.04,0.7519
-0.64,365.29,2.05,0.7225
-0.56,359.01,2.05,0.679
-0.48,353.93,2.06,0.6475
-0.4,342.32,2.06,0.5729
-0.32,332.17,2.07,0.5059
-0.24,315.73,2.07,0.401
-0.16,298.81,2.09,0.2889
-0.08,267.86,2.09,0.1003
0.0,224.59,2.11,0.1
