iso,t_s,vDcInst,idc_units,iq_shed
18:04:16.682,1789139056.682,474.57,0.16,1.0
18:04:16.762,1789139056.762,474.57,0.15,1.0
18:04:16.842,1789139056.842,474.57,0.15,1.0
18:04:16.922,1789139056.922,474.57,0.15,1.0
18:04:17.002,1789139057.002,474.57,0.15,1.0
18:04:17.082,1789139057.082,474.57,0.16,1.0
18:04:17.162,1789139057.162,474.32,0.15,1.0
18:04:17.242,1789139057.242,474.57,0.15,1.0
18:04:17.322,1789139057.322,474.32,0.15,1.0
18:04:17.402,1789139057.402,474.57,0.16,1.0
18:04:17.482,1789139057.482,474.57,0.16,1.0
18:04:17.562,1789139057.562,474.57,0.15,1.0
18:04:17.642,1789139057.642,474.57,0.16,1.0
18:04:17.722,1789139057.722,474.57,0.15,1.0
18:04:17.802,1789139057.802,474.57,0.16,1.0
18:04:17.882,1789139057.882,474.57,0.16,1.0
18:04:17.962,1789139057.962,474.32,0.16,1.0
18:04:18.042,1789139058.042,474.32,0.15,1.0
18:04:18.122,1789139058.122,474.32,0.15,1.0
18:04:18.202,1789139058.202,474.57,0.15,1.0
18:04:18.282,1789139058.282,474.32,0.15,1.0
18:04:18.362,1789139058.362,474.32,0.16,1.0
18:04:18.442,1789139058.442,474.57,0.15,1.0
18:04:18.522,1789139058.522,474.32,0.15,1.0
18:04:18.602,1789139058.602,474.57,0.16,1.0
18:04:18.682,1789139058.682,474.32,0.16,1.0
18:04:18.762,1789139058.762,474.32,0.15,1.0
18:04:18.842,1789139058.842,474.32,0.16,1.0
18:04:18.922,1789139058.922,474.32,0.15,1.0
18:04:19.002,1789139059.002,474.32,0.15,1.0
18:04:19.082,1789139059.082,474.32,0.16,1.0
18:04:19.162,1789139059.162,474.32,0.15,1.0
18:04:19.242,1789139059.242,474.32,0.15,1.0
18:04:19.322,1789139059.322,474.32,0.15,1.0
18:04:19.402,1789139059.402,474.32,0.16,1.0
18:04:19.482,1789139059.482,474.32,0.16,1.0
18:04:19.562,1789139059.562,474.57,0.15,1.0
18:04:19.642,1789139059.642,474.32,0.16,1.0
18:04:19.722,1789139059.722,474.32,0.15,1.0
18:04:19.802,1789139059.802,474.32,0.16,1.0
18:04:19.882,1789139059.882,474.32,0.15,1.0
18:04:19.962,1789139059.962,474.32,0.16,1.0
18:04:20.042,1789139060.042,474.32,0.15,1.0
18:04:20.122,1789139060.122,474.32,0.15,1.0
18:04:20.202,1789139060.202,474.32,0.15,1.0
18:04:20.282,1789139060.282,474.32,0.15,1.0
18:04:20.362,1789139060.362,474.32,0.16,1.0
18:04:20.442,1789139060.442,474.32,0.15,1.0
18:04:20.522,1789139060.522,474.32,0.15,1.0
18:04:20.602,1789139060.602,474.32,0.16,1.0
18:04:20.682,1789139060.682,474.32,0.15,1.0
18:04:20.762,1789139060.762,474.32,0.16,1.0
18:04:20.842,1789139060.842,474.08,0.16,1.0
18:04:20.922,1789139060.922,474.32,0.15,1.0
18:04:21.002,1789139061.002,474.32,0.15,1.0
18:04:21.082,1789139061.082,474.32,0.15,1.0
18:04:21.162,1789139061.162,474.32,0.15,1.0
18:04:21.242,1789139061.242,474.32,0.15,1.0
18:04:21.322,1789139061.322,474.32,0.15,1.0
18:04:21.402,1789139061.402,474.32,0.16,1.0
18:04:21.482,1789139061.482,474.32,0.15,1.0
18:04:21.562,1789139061.562,474.32,0.15,1.0
18:04:21.642,1789139061.642,474.32,0.15,1.0
18:04:21.722,1789139061.722,474.32,0.15,1.0
18:04:21.802,1789139061.802,474.32,0.15,1.0
18:04:21.882,1789139061.882,474.32,0.15,1.0
18:04:21.962,1789139061.962,474.32,0.16,1.0
18:04:22.042,1789139062.042,474.32,0.16,1.0
18:04:22.122,1789139062.122,474.32,0.16,1.0
18:04:22.202,1789139062.202,474.32,0.15,1.0
18:04:22.282,1789139062.282,474.32,0.15,1.0
18:04:22.362,1789139062.362,474.32,0.16,1.0
18:04:22.442,1789139062.442,474.32,0.15,1.0
18:04:22.522,1789139062.522,474.32,0.15,1.0
18:04:22.602,1789139062.602,474.32,0.15,1.0
18:04:22.682,1789139062.682,474.32,0.16,1.0
18:04:22.762,1789139062.762,474.32,0.16,1.0
18:04:22.842,1789139062.842,474.32,0.16,1.0
18:04:22.922,1789139062.922,474.32,0.15,1.0
18:04:23.002,1789139063.002,474.32,0.15,1.0
18:04:23.082,1789139063.082,474.32,0.15,1.0
18:04:23.162,1789139063.162,474.32,0.16,1.0
18:04:23.242,1789139063.242,474.32,0.15,1.0
18:04:23.322,1789139063.322,474.32,0.15,1.0
18:04:23.402,1789139063.402,474.32,0.15,1.0
18:04:23.482,1789139063.482,474.08,0.15,1.0
18:04:23.562,1789139063.562,474.32,0.15,1.0
18:04:23.642,1789139063.642,474.32,0.15,1.0
18:04:23.722,1789139063.722,474.32,0.15,1.0
18:04:23.802,1789139063.802,474.32,0.14,1.0
18:04:23.882,1789139063.882,474.08,0.16,1.0
18:04:23.962,1789139063.962,474.08,0.15,1.0
18:04:24.042,1789139064.042,474.32,0.15,1.0
18:04:24.122,1789139064.122,474.32,0.15,1.0
18:04:24.202,1789139064.202,474.32,0.14,1.0
18:04:24.282,1789139064.282,474.08,0.15,1.0
18:04:24.362,1789139064.362,474.08,0.15,1.0
18:04:24.442,1789139064.442,474.32,0.16,1.0
18:04:24.522,1789139064.522,474.32,0.15,1.0
18:04:24.602,1789139064.602,474.08,0.15,1.0
18:04:24.682,1789139064.682,474.32,0.15,1.0
18:04:24.762,1789139064.762,474.32,0.15,1.0
18:04:24.842,1789139064.842,474.32,0.15,1.0
18:04:24.922,1789139064.922,474.08,0.15,1.0
18:04:25.002,1789139065.002,474.32,0.15,1.0
18:04:25.082,1789139065.082,474.32,0.15,1.0
18:04:25.162,1789139065.162,474.32,0.16,1.0
18:04:25.242,1789139065.242,474.32,0.16,1.0
18:04:25.322,1789139065.322,474.32,0.16,1.0
