iso,t_s,vDcInst,idc_units,iq_shed
06:25:27.093,1789097127.094,513.25,2.19,1.0
06:25:27.173,1789097127.174,512.04,2.19,1.0
06:25:27.253,1789097127.254,513.49,2.19,1.0
06:25:27.333,1789097127.334,513.25,2.18,1.0
06:25:27.413,1789097127.414,512.52,2.19,1.0
06:25:27.493,1789097127.494,512.52,2.19,1.0
06:25:27.573,1789097127.574,511.31,2.22,1.0
06:25:27.653,1789097127.654,511.8,2.25,1.0
06:25:27.733,1789097127.734,512.76,2.24,1.0
06:25:27.813,1789097127.814,511.8,2.23,1.0
06:25:27.893,1789097127.894,513.01,2.23,1.0
06:25:27.973,1789097127.974,512.52,2.22,1.0
06:25:28.053,1789097128.054,511.56,2.21,1.0
06:25:28.133,1789097128.134,513.25,2.22,1.0
06:25:28.213,1789097128.214,512.28,2.21,1.0
06:25:28.293,1789097128.294,513.49,2.22,1.0
06:25:28.373,1789097128.374,513.73,2.19,1.0
06:25:28.453,1789097128.454,512.28,2.17,1.0
06:25:28.533,1789097128.534,513.25,2.19,1.0
06:25:28.613,1789097128.614,513.49,2.18,1.0
06:25:28.693,1789097128.694,513.01,2.18,1.0
06:25:28.773,1789097128.774,513.73,2.19,1.0
06:25:28.853,1789097128.854,513.01,2.18,1.0
06:25:28.933,1789097128.934,512.28,2.19,1.0
06:25:29.013,1789097129.014,513.97,2.18,1.0
06:25:29.093,1789097129.094,514.21,2.18,1.0
06:25:29.173,1789097129.174,513.01,2.17,1.0
06:25:29.253,1789097129.254,513.73,2.15,1.0
06:25:29.333,1789097129.334,513.97,2.15,1.0
06:25:29.413,1789097129.414,513.25,2.16,1.0
06:25:29.493,1789097129.494,514.46,2.16,1.0
06:25:29.573,1789097129.574,514.21,2.16,1.0
06:25:29.653,1789097129.654,513.01,2.16,1.0
06:25:29.733,1789097129.734,513.73,2.16,1.0
06:25:29.813,1789097129.814,513.97,2.16,1.0
06:25:29.893,1789097129.894,514.21,2.16,1.0
06:25:29.973,1789097129.974,514.94,2.15,1.0
