t_to_trip_s,vDcInst,idc_units,iq_shed
-5.52,458.85,23.6,0.9999
-5.44,459.34,23.54,0.9999
-5.36,459.34,23.51,0.9999
-5.28,459.34,23.54,0.9999
-5.2,459.34,23.43,0.9999
-5.12,460.3,23.49,0.9999
-5.04,459.82,23.34,0.9999
-4.96,460.54,23.29,0.9999
-4.88,460.3,23.24,0.9999
-4.8,460.54,23.24,0.9999
-4.72,460.54,23.22,0.9999
-4.64,459.09,23.2,0.9999
-4.56,460.3,23.16,0.9999
-4.48,460.54,23.17,0.9999
-4.4,459.58,23.14,0.9999
-4.32,459.09,23.14,0.9999
-4.24,458.13,23.22,0.9999
-4.16,457.89,23.33,0.9999
-4.08,458.37,23.32,0.9999
-4.0,457.89,23.34,0.9999
-3.92,456.68,23.34,0.9999
-3.84,457.4,23.36,0.9999
-3.76,456.68,23.43,0.9999
-3.68,456.43,23.37,0.9999
-3.6,457.16,23.4,0.9999
-3.52,457.64,23.41,0.9999
-3.44,458.61,23.33,0.9999
-3.36,457.64,23.25,0.9999
-3.28,456.92,23.22,0.9999
-3.2,457.89,23.23,0.9999
-3.12,457.16,23.21,0.9999
-3.04,457.89,23.21,0.9999
-2.96,456.92,23.2,0.9999
-2.88,455.47,23.2,0.9999
-2.8,457.4,23.21,0.9999
-2.72,454.5,23.18,0.9999
-2.64,453.53,23.28,0.9999
-2.56,454.26,23.41,0.9999
-2.48,452.81,23.4,0.9999
-2.4,453.05,23.42,0.9999
-2.32,453.53,23.44,0.9999
-2.24,452.32,23.52,0.9999
-2.16,453.29,23.5,0.9999
-2.08,452.32,23.51,0.9999
-2.0,451.84,23.57,0.9999
-1.92,453.53,23.54,0.9999
-1.84,452.81,23.51,0.9999
-1.76,452.57,23.38,0.9999
-1.68,453.29,23.39,0.9999
-1.6,451.6,23.39,0.9999
-1.52,452.57,23.41,0.9999
-1.44,451.6,23.38,0.9999
-1.36,451.36,23.36,0.9999
-1.28,452.32,23.39,0.9999
-1.2,451.6,23.36,0.9999
-1.12,452.32,23.38,0.9999
-1.04,453.78,23.32,0.9999
-0.96,453.53,23.18,0.9999
-0.88,454.26,23.17,0.9999
-0.8,453.05,23.11,0.9999
-0.72,453.53,23.12,0.9999
-0.64,454.26,23.08,0.9999
-0.56,453.78,23.1,0.9999
-0.48,454.02,23.04,0.9999
-0.4,453.05,23.05,0.9999
-0.32,454.74,23.08,0.9999
-0.24,456.43,22.98,0.9999
-0.16,455.95,22.86,0.9999
-0.08,456.19,22.8,0.9999
0.0,424.04,22.77,0.9999
