iso,t_s,vDcInst,idc_units,iq_shed
15:51:11.252,1789131071.253,491.01,12.97,0.9999
15:51:11.332,1789131071.333,491.97,12.96,0.9999
15:51:11.412,1789131071.413,491.01,12.94,0.9999
15:51:11.492,1789131071.493,491.73,12.96,0.9999
15:51:11.572,1789131071.573,491.49,12.94,0.9999
15:51:11.652,1789131071.653,492.7,12.95,0.9999
15:51:11.732,1789131071.733,494.15,12.8,0.9999
15:51:11.812,1789131071.813,492.94,12.73,0.9999
15:51:11.892,1789131071.893,493.91,12.76,0.9999
15:51:11.972,1789131071.973,494.15,12.75,0.9999
15:51:12.052,1789131072.053,493.91,12.73,0.9999
15:51:12.132,1789131072.133,494.15,12.71,0.9999
15:51:12.212,1789131072.213,494.15,12.73,0.9999
15:51:12.292,1789131072.293,494.15,12.72,0.9999
15:51:12.372,1789131072.373,493.67,12.71,0.9999
15:51:12.452,1789131072.453,496.32,12.7,0.9999
15:51:12.532,1789131072.533,495.84,12.6,0.9999
15:51:12.612,1789131072.613,497.05,12.51,0.9999
15:51:12.692,1789131072.693,496.08,12.52,0.9999
15:51:12.772,1789131072.773,496.57,12.51,0.9999
15:51:12.852,1789131072.853,496.81,12.49,0.9999
15:51:12.932,1789131072.933,495.6,12.5,0.9999
15:51:13.012,1789131073.013,497.05,12.5,0.9999
15:51:13.092,1789131073.093,496.81,12.48,0.9999
15:51:13.172,1789131073.173,495.6,12.47,0.9999
15:51:13.252,1789131073.253,497.29,12.48,0.9999
15:51:13.332,1789131073.333,497.53,12.39,0.9999
15:51:13.412,1789131073.413,497.78,12.29,0.9999
15:51:13.492,1789131073.493,498.5,12.29,0.9999
15:51:13.572,1789131073.573,498.5,12.28,0.9999
15:51:13.652,1789131073.653,498.02,12.28,0.9999
15:51:13.732,1789131073.733,498.98,12.27,0.9999
15:51:13.812,1789131073.813,498.02,12.27,0.9999
15:51:13.892,1789131073.893,498.74,12.25,0.9999
15:51:13.972,1789131073.973,497.78,12.25,0.9999
15:51:14.052,1789131074.053,498.5,12.26,0.9999
15:51:14.132,1789131074.133,499.47,12.19,0.9999
15:51:14.212,1789131074.213,498.74,12.04,0.9999
15:51:14.292,1789131074.293,499.23,12.08,0.9999
15:51:14.372,1789131074.373,499.47,12.06,0.9999
15:51:14.452,1789131074.453,498.98,12.07,0.9999
15:51:14.532,1789131074.533,499.95,12.07,0.9999
15:51:14.612,1789131074.613,499.71,12.04,0.9999
15:51:14.692,1789131074.693,499.47,12.03,0.9999
15:51:14.772,1789131074.773,499.47,12.04,0.9999
15:51:14.852,1789131074.853,499.71,12.03,0.9999
15:51:14.932,1789131074.933,498.5,12.07,0.9999
15:51:15.012,1789131075.013,498.26,12.22,0.9999
15:51:15.092,1789131075.093,499.47,12.18,0.9999
15:51:15.172,1789131075.173,499.23,12.17,0.9999
15:51:15.252,1789131075.253,499.47,12.21,0.9999
15:51:15.332,1789131075.333,499.47,12.19,0.9999
15:51:15.412,1789131075.413,497.78,12.2,0.9999
15:51:15.492,1789131075.493,499.95,12.21,0.9999
15:51:15.572,1789131075.573,499.23,12.22,0.9999
15:51:15.652,1789131075.653,498.74,12.21,0.9999
15:51:15.732,1789131075.733,498.5,12.27,0.9999
15:51:15.812,1789131075.813,497.53,12.39,0.9999
15:51:15.892,1789131075.893,497.29,12.38,0.9999
15:51:15.972,1789131075.973,498.02,12.39,0.9999
15:51:16.052,1789131076.053,498.02,12.4,0.9999
15:51:16.132,1789131076.133,498.02,12.4,0.9999
15:51:16.212,1789131076.213,497.53,12.4,0.9999
15:51:16.292,1789131076.293,497.05,12.41,0.9999
15:51:16.372,1789131076.373,498.02,12.42,0.9999
15:51:16.452,1789131076.453,496.81,12.41,0.9999
15:51:16.532,1789131076.533,497.05,12.44,0.9999
15:51:16.612,1789131076.613,496.32,12.59,0.9999
15:51:16.692,1789131076.693,495.6,12.59,0.9999
15:51:16.772,1789131076.773,497.78,12.6,0.9999
15:51:16.852,1789131076.853,496.81,12.6,0.9999
15:51:16.932,1789131076.933,496.32,12.6,0.9999
15:51:17.012,1789131077.013,496.08,12.6,0.9999
15:51:17.092,1789131077.093,497.05,12.64,0.9999
