iso,t_s,vDcInst,idc_units,iq_shed
13:37:56.046,1789123076.046,494.63,7.7,0.9999
13:37:56.126,1789123076.126,495.12,7.71,0.9999
13:37:56.206,1789123076.206,493.67,7.7,0.9999
13:37:56.286,1789123076.286,495.12,7.7,0.9999
13:37:56.366,1789123076.366,495.36,7.69,0.9999
13:37:56.446,1789123076.446,495.6,7.69,0.9999
13:37:56.526,1789123076.526,496.08,7.68,0.9999
13:37:56.606,1789123076.606,495.84,7.58,0.9999
13:37:56.686,1789123076.686,496.57,7.56,0.9999
13:37:56.766,1789123076.766,496.57,7.56,0.9999
13:37:56.846,1789123076.846,497.53,7.56,0.9999
13:37:56.926,1789123076.926,496.08,7.55,0.9999
13:37:57.006,1789123077.006,496.32,7.52,0.9999
13:37:57.086,1789123077.086,497.05,7.52,0.9999
13:37:57.166,1789123077.166,496.57,7.53,0.9999
13:37:57.246,1789123077.246,497.78,7.52,0.9999
13:37:57.326,1789123077.326,495.12,7.5,0.9999
13:37:57.406,1789123077.406,495.6,7.58,0.9999
13:37:57.486,1789123077.486,495.84,7.62,0.9999
13:37:57.566,1789123077.566,496.08,7.61,0.9999
13:37:57.646,1789123077.646,496.57,7.62,0.9999
13:37:57.726,1789123077.726,494.87,7.6,0.9999
13:37:57.806,1789123077.806,495.84,7.61,0.9999
13:37:57.886,1789123077.886,495.36,7.63,0.9999
13:37:57.966,1789123077.966,496.08,7.64,0.9999
13:37:58.046,1789123078.046,495.12,7.62,0.9999
13:37:58.126,1789123078.126,494.39,7.63,0.9999
13:37:58.206,1789123078.206,494.63,7.7,0.9999
13:37:58.286,1789123078.286,494.15,7.74,0.9999
13:37:58.366,1789123078.366,494.39,7.75,0.9999
13:37:58.446,1789123078.446,492.94,7.78,0.9999
13:37:58.526,1789123078.526,494.15,7.76,0.9999
13:37:58.606,1789123078.606,493.67,7.79,0.9999
13:37:58.686,1789123078.686,494.63,7.81,0.9999
13:37:58.766,1789123078.766,492.94,7.8,0.9999
13:37:58.846,1789123078.846,493.67,7.81,0.9999
13:37:58.926,1789123078.926,494.87,7.8,0.9999
13:37:59.006,1789123079.006,495.12,7.76,0.9999
13:37:59.086,1789123079.086,494.39,7.69,0.9999
13:37:59.166,1789123079.166,494.39,7.7,0.9999
13:37:59.246,1789123079.246,495.6,7.7,0.9999
13:37:59.326,1789123079.326,494.63,7.69,0.9999
13:37:59.406,1789123079.406,495.84,7.7,0.9999
13:37:59.486,1789123079.486,494.39,7.69,0.9999
13:37:59.566,1789123079.566,495.12,7.69,0.9999
13:37:59.646,1789123079.646,495.12,7.7,0.9999
13:37:59.726,1789123079.726,496.08,7.69,0.9999
13:37:59.806,1789123079.806,496.57,7.65,0.9999
13:37:59.886,1789123079.886,495.84,7.54,0.9999
13:37:59.966,1789123079.966,497.05,7.55,0.9999
13:38:00.046,1789123080.046,496.57,7.53,0.9999
