iso,t_s,vDcInst,idc_units,iq_shed
12:44:27.691,1789119867.691,499.71,6.17,0.9999
12:44:27.771,1789119867.771,500.68,6.1,0.9999
12:44:27.851,1789119867.851,500.43,6.05,0.9999
12:44:27.931,1789119867.931,500.19,6.03,0.9999
12:44:28.011,1789119868.011,500.92,5.96,0.9999
12:44:28.091,1789119868.091,500.92,5.95,0.9999
12:44:28.171,1789119868.171,501.89,5.98,0.9999
12:44:28.251,1789119868.251,501.64,5.92,0.9999
12:44:28.331,1789119868.331,502.85,5.89,0.9999
12:44:28.411,1789119868.411,501.89,5.83,0.9999
12:44:28.491,1789119868.491,501.89,5.8,0.9999
12:44:28.571,1789119868.571,503.09,5.78,0.9999
12:44:28.651,1789119868.651,503.09,5.76,0.9999
12:44:28.731,1789119868.731,503.82,5.73,0.9999
12:44:28.811,1789119868.811,503.09,5.7,0.9999
12:44:28.891,1789119868.891,503.58,5.72,0.9999
12:44:28.971,1789119868.971,502.37,5.77,0.9999
12:44:29.051,1789119869.051,503.58,5.71,0.9999
12:44:29.131,1789119869.131,504.06,5.68,0.9999
12:44:29.211,1789119869.211,503.58,5.67,0.9999
12:44:29.291,1789119869.291,503.58,5.67,0.9999
12:44:29.371,1789119869.371,504.3,5.67,0.9999
12:44:29.451,1789119869.451,502.61,5.66,0.9999
12:44:29.531,1789119869.531,503.58,5.65,0.9999
12:44:29.611,1789119869.611,503.82,5.64,0.9999
12:44:29.691,1789119869.691,503.09,5.66,0.9999
12:44:29.771,1789119869.771,502.85,5.76,0.9999
12:44:29.851,1789119869.851,503.58,5.73,0.9999
12:44:29.931,1789119869.931,502.37,5.73,0.9999
12:44:30.011,1789119870.011,502.85,5.73,0.9999
12:44:30.091,1789119870.091,503.58,5.73,0.9999
12:44:30.171,1789119870.171,502.85,5.72,0.9999
12:44:30.251,1789119870.251,502.61,5.72,0.9999
12:44:30.331,1789119870.331,503.34,5.74,0.9999
12:44:30.411,1789119870.411,501.64,5.73,0.9999
12:44:30.491,1789119870.491,501.89,5.76,0.9999
12:44:30.571,1789119870.571,501.64,5.86,0.9999
12:44:30.651,1789119870.651,501.64,5.86,0.9999
12:44:30.731,1789119870.731,502.37,5.85,0.9999
12:44:30.811,1789119870.811,500.92,5.84,0.9999
12:44:30.891,1789119870.891,501.64,5.85,0.9999
12:44:30.971,1789119870.971,501.16,5.91,0.9999
12:44:31.051,1789119871.051,500.92,5.92,0.9999
12:44:31.131,1789119871.131,501.89,5.93,0.9999
12:44:31.211,1789119871.211,500.19,5.94,0.9999
12:44:31.291,1789119871.291,498.74,6.0,0.9999
12:44:31.371,1789119871.371,499.71,6.12,0.9999
12:44:31.451,1789119871.451,499.23,6.13,0.9999
12:44:31.531,1789119871.531,498.98,6.14,0.9999
12:44:31.611,1789119871.611,498.02,6.19,0.9999
12:44:31.691,1789119871.691,497.78,6.22,0.9999
12:44:31.771,1789119871.771,497.78,6.26,0.9999
12:44:31.851,1789119871.851,497.05,6.31,0.9999
12:44:31.931,1789119871.931,496.57,6.35,0.9999
12:44:32.011,1789119872.011,495.84,6.39,0.9999
12:44:32.091,1789119872.091,493.91,6.44,0.9999
12:44:32.171,1789119872.171,493.42,6.55,0.9999
12:44:32.251,1789119872.251,492.46,6.64,0.9999
12:44:32.331,1789119872.331,492.94,6.69,0.9999
12:44:32.411,1789119872.411,490.28,6.74,0.9999
12:44:32.491,1789119872.491,491.01,6.8,0.9999
12:44:32.571,1789119872.571,489.31,6.86,0.9999
12:44:32.651,1789119872.651,488.59,6.94,0.9999
12:44:32.731,1789119872.731,488.59,7.01,0.9999
12:44:32.811,1789119872.811,485.93,7.07,0.9999
12:44:32.891,1789119872.891,487.86,7.13,0.9999
12:44:32.971,1789119872.971,487.38,7.11,0.9999
12:44:33.051,1789119873.051,486.17,7.14,0.9999
12:44:33.131,1789119873.131,485.69,7.19,0.9999
12:44:33.211,1789119873.211,483.27,7.24,0.9999
12:44:33.291,1789119873.291,483.27,7.3,0.9999
12:44:33.371,1789119873.371,483.27,7.35,0.9999
12:44:33.451,1789119873.451,482.06,7.37,0.9999
12:44:33.531,1789119873.531,482.06,7.4,0.9999
12:44:33.611,1789119873.611,478.68,7.45,0.9999
12:44:33.691,1789119873.691,481.82,7.5,0.9999
12:44:33.771,1789119873.771,482.3,7.47,0.9999
12:44:33.851,1789119873.851,481.09,7.42,0.9999
12:44:33.931,1789119873.931,481.82,7.45,0.9999
12:44:34.011,1789119874.011,480.13,7.47,0.9999
12:44:34.091,1789119874.091,480.85,7.48,0.9999
12:44:34.171,1789119874.171,480.61,7.49,0.9999
12:44:34.251,1789119874.251,479.89,7.5,0.9999
12:44:34.331,1789119874.331,481.34,7.51,0.9999
12:44:34.411,1789119874.411,479.4,7.51,0.9999
12:44:34.491,1789119874.491,481.58,7.53,0.9999
12:44:34.571,1789119874.571,483.03,7.47,0.9999
12:44:34.651,1789119874.651,483.03,7.4,0.9999
12:44:34.731,1789119874.731,482.54,7.4,0.9999
12:44:34.811,1789119874.811,483.03,7.4,0.9999
12:44:34.891,1789119874.891,482.06,7.41,0.9999
12:44:34.971,1789119874.971,483.27,7.39,0.9999
12:44:35.051,1789119875.051,482.79,7.36,0.9999
12:44:35.131,1789119875.131,483.03,7.38,0.9999
12:44:35.211,1789119875.211,483.75,7.38,0.9999
12:44:35.291,1789119875.291,484.72,7.35,0.9999
12:44:35.371,1789119875.371,484.96,7.29,0.9999
12:44:35.451,1789119875.451,486.41,7.19,0.9999
12:44:35.531,1789119875.531,486.9,7.19,0.9999
12:44:35.611,1789119875.611,486.65,7.17,0.9999
12:44:35.691,1789119875.691,487.38,7.16,0.9999
12:44:35.771,1789119875.771,488.1,7.14,0.9999
12:44:35.851,1789119875.851,487.14,7.09,0.9999
12:44:35.931,1789119875.931,488.1,7.08,0.9999
12:44:36.011,1789119876.011,488.59,7.06,0.9999
12:44:36.091,1789119876.091,490.28,7.05,0.9999
12:44:36.171,1789119876.171,491.73,6.96,0.9999
12:44:36.251,1789119876.251,491.97,6.84,0.9999
12:44:36.331,1789119876.331,490.76,6.83,0.9999
12:44:36.411,1789119876.411,492.21,6.81,0.9999
12:44:36.491,1789119876.491,492.94,6.78,0.9999
12:44:36.571,1789119876.571,493.67,6.72,0.9999
12:44:36.651,1789119876.651,494.15,6.67,0.9999
12:44:36.731,1789119876.731,495.36,6.61,0.9999
12:44:36.811,1789119876.811,494.39,6.6,0.9999
12:44:36.891,1789119876.891,495.12,6.54,0.9999
12:44:36.971,1789119876.971,497.53,6.46,0.9999
12:44:37.051,1789119877.051,497.78,6.34,0.9999
12:44:37.131,1789119877.131,498.02,6.33,0.9999
12:44:37.211,1789119877.211,498.5,6.26,0.9999
12:44:37.291,1789119877.291,500.19,6.22,0.9999
12:44:37.371,1789119877.371,499.71,6.16,0.9999
12:44:37.451,1789119877.451,499.23,6.12,0.9999
12:44:37.531,1789119877.531,500.92,6.05,0.9999
12:44:37.611,1789119877.611,501.4,6.02,0.9999
12:44:37.691,1789119877.691,501.4,5.96,0.9999
12:44:37.771,1789119877.771,500.68,5.95,0.9999
12:44:37.851,1789119877.851,501.89,5.98,0.9999
12:44:37.931,1789119877.931,501.16,5.94,0.9999
12:44:38.011,1789119878.011,500.92,5.9,0.9999
