iso,t_s,vDcInst,idc_units,iq_shed
10:30:18.189,1789111818.19,528.0,1.84,1.0
10:30:18.269,1789111818.27,527.75,1.82,1.0
10:30:18.349,1789111818.35,528.0,1.87,1.0
10:30:18.429,1789111818.43,527.51,1.84,1.0
10:30:18.509,1789111818.51,527.75,1.87,1.0
10:30:18.589,1789111818.59,527.75,1.88,1.0
10:30:18.669,1789111818.67,527.75,1.84,1.0
10:30:18.749,1789111818.75,527.75,1.87,1.0
10:30:18.829,1789111818.83,527.75,1.86,1.0
10:30:18.909,1789111818.91,527.75,1.87,1.0
10:30:18.989,1789111818.99,527.75,1.86,1.0
10:30:19.069,1789111819.07,527.75,1.86,1.0
10:30:19.149,1789111819.15,527.51,1.86,1.0
10:30:19.229,1789111819.23,527.51,1.89,1.0
10:30:19.309,1789111819.31,528.0,1.87,1.0
10:30:19.389,1789111819.39,527.75,1.87,1.0
10:30:19.469,1789111819.47,527.51,1.86,1.0
10:30:19.549,1789111819.55,527.51,1.88,1.0
10:30:19.629,1789111819.63,527.75,1.87,1.0
10:30:19.709,1789111819.71,527.75,1.9,1.0
10:30:19.789,1789111819.79,527.51,1.86,1.0
10:30:19.869,1789111819.87,527.51,1.88,1.0
10:30:19.949,1789111819.95,527.51,1.89,1.0
10:30:20.029,1789111820.03,527.75,1.88,1.0
10:30:20.109,1789111820.11,527.75,1.92,1.0
10:30:20.189,1789111820.19,527.75,1.87,1.0
10:30:20.269,1789111820.27,527.51,1.91,1.0
10:30:20.349,1789111820.35,527.75,1.87,1.0
10:30:20.429,1789111820.43,527.75,1.92,1.0
10:30:20.509,1789111820.51,527.51,1.86,1.0
10:30:20.589,1789111820.59,527.51,1.92,1.0
10:30:20.669,1789111820.67,527.51,1.86,1.0
10:30:20.749,1789111820.75,527.75,1.92,1.0
10:30:20.829,1789111820.83,527.51,1.88,1.0
10:30:20.909,1789111820.91,527.75,1.9,1.0
10:30:20.989,1789111820.99,527.51,1.9,1.0
10:30:21.069,1789111821.07,527.51,1.91,1.0
10:30:21.149,1789111821.15,527.75,1.92,1.0
10:30:21.229,1789111821.23,527.51,1.88,1.0
10:30:21.309,1789111821.31,527.51,1.96,1.0
10:30:21.389,1789111821.39,527.27,1.85,1.0
10:30:21.469,1789111821.47,527.75,1.97,1.0
10:30:21.549,1789111821.55,527.27,1.84,1.0
10:30:21.629,1789111821.63,527.51,1.99,1.0
10:30:21.709,1789111821.71,527.75,1.9,1.0
10:30:21.789,1789111821.79,527.51,1.93,1.0
10:30:21.869,1789111821.87,527.75,1.97,1.0
10:30:21.949,1789111821.95,527.27,1.84,1.0
10:30:22.029,1789111822.03,528.0,2.0,1.0
10:30:22.109,1789111822.11,527.51,1.87,1.0
10:30:22.189,1789111822.19,527.51,1.96,1.0
10:30:22.269,1789111822.27,528.0,1.97,1.0
10:30:22.349,1789111822.35,527.27,1.84,1.0
10:30:22.429,1789111822.43,527.51,2.0,1.0
10:30:22.509,1789111822.51,527.75,1.89,1.0
10:30:22.589,1789111822.59,527.27,1.91,1.0
10:30:22.669,1789111822.67,528.0,2.0,1.0
10:30:22.749,1789111822.75,527.75,1.87,1.0
10:30:22.829,1789111822.83,527.27,1.93,1.0
10:30:22.909,1789111822.91,527.75,1.98,1.0
10:30:22.989,1789111822.99,527.27,1.87,1.0
10:30:23.069,1789111823.07,527.27,1.95,1.0
10:30:23.149,1789111823.15,527.51,1.99,1.0
10:30:23.229,1789111823.23,527.51,1.88,1.0
10:30:23.309,1789111823.31,527.03,1.94,1.0
10:30:23.389,1789111823.39,527.51,1.99,1.0
10:30:23.469,1789111823.47,527.75,1.9,1.0
10:30:23.549,1789111823.55,527.27,1.92,1.0
10:30:23.629,1789111823.63,527.51,2.01,1.0
10:30:23.709,1789111823.71,527.75,1.94,1.0
10:30:23.789,1789111823.79,527.27,1.9,1.0
10:30:23.869,1789111823.87,527.27,1.97,1.0
10:30:23.949,1789111823.95,527.51,1.99,1.0
10:30:24.029,1789111824.03,527.51,1.9,1.0
10:30:24.109,1789111824.11,527.27,1.95,1.0
10:30:24.189,1789111824.19,527.27,1.98,1.0
10:30:24.269,1789111824.27,527.51,1.96,1.0
10:30:24.349,1789111824.35,527.51,1.94,1.0
10:30:24.429,1789111824.43,527.51,1.93,1.0
10:30:24.509,1789111824.51,527.27,1.98,1.0
10:30:24.589,1789111824.59,527.75,2.0,1.0
