iso,t_s,vDcInst,idc_units,iq_shed
10:54:55.870,1789113295.87,480.85,24.39,1.0
10:54:55.950,1789113295.95,481.82,24.39,1.0
10:54:56.030,1789113296.03,480.37,24.44,1.0
10:54:56.110,1789113296.11,478.68,24.48,1.0
10:54:56.190,1789113296.19,479.64,24.59,1.0
10:54:56.270,1789113296.27,480.13,24.56,1.0
10:54:56.350,1789113296.35,480.61,24.6,1.0
10:54:56.430,1789113296.43,478.92,24.64,1.0
10:54:56.510,1789113296.51,479.89,24.65,1.0
10:54:56.590,1789113296.59,479.16,24.68,1.0
10:54:56.670,1789113296.67,478.68,24.67,1.0
10:54:56.750,1789113296.75,479.16,24.71,1.0
10:54:56.830,1789113296.83,478.92,24.72,1.0
10:54:56.910,1789113296.91,477.71,24.82,1.0
10:54:56.990,1789113296.99,477.95,24.87,1.0
10:54:57.070,1789113297.07,478.68,24.94,1.0
10:54:57.150,1789113297.15,477.95,24.94,1.0
10:54:57.230,1789113297.23,478.43,25.02,1.0
10:54:57.310,1789113297.31,477.71,24.98,1.0
10:54:57.390,1789113297.39,477.47,25.0,1.0
10:54:57.470,1789113297.47,476.98,25.09,1.0
10:54:57.550,1789113297.55,477.23,25.06,1.0
10:54:57.630,1789113297.63,477.47,25.05,1.0
10:54:57.710,1789113297.71,476.02,25.15,1.0
10:54:57.790,1789113297.79,475.78,25.3,1.0
10:54:57.870,1789113297.87,475.78,25.33,1.0
10:54:57.950,1789113297.95,475.78,25.34,1.0
10:54:58.030,1789113298.03,476.26,25.38,1.0
10:54:58.110,1789113298.11,475.78,25.39,1.0
10:54:58.190,1789113298.19,475.05,25.45,1.0
10:54:58.270,1789113298.27,475.29,25.42,1.0
10:54:58.350,1789113298.35,474.81,25.45,1.0
10:54:58.430,1789113298.43,474.81,25.52,1.0
10:54:58.510,1789113298.51,473.6,25.53,1.0
10:54:58.590,1789113298.59,474.81,25.69,1.0
10:54:58.670,1789113298.67,473.12,25.7,1.0
10:54:58.750,1789113298.75,472.87,25.71,1.0
10:54:58.830,1789113298.83,473.12,25.74,1.0
10:54:58.910,1789113298.91,473.36,25.78,1.0
10:54:58.990,1789113298.99,472.63,25.79,1.0
10:54:59.070,1789113299.07,471.67,25.84,1.0
10:54:59.150,1789113299.15,473.6,25.87,1.0
10:54:59.230,1789113299.23,473.36,25.86,1.0
10:54:59.310,1789113299.31,473.36,25.78,1.0
10:54:59.390,1789113299.39,473.12,25.66,1.0
10:54:59.470,1789113299.47,474.57,25.69,1.0
10:54:59.550,1789113299.55,473.84,25.63,1.0
10:54:59.630,1789113299.63,473.12,25.64,1.0
10:54:59.710,1789113299.71,473.84,25.64,1.0
10:54:59.790,1789113299.79,473.36,25.67,1.0
10:54:59.870,1789113299.87,474.57,25.56,1.0
10:54:59.950,1789113299.95,475.05,25.63,1.0
10:55:00.030,1789113300.03,476.26,25.61,1.0
10:55:00.110,1789113300.11,475.78,25.5,1.0
10:55:00.190,1789113300.19,476.02,25.47,1.0
10:55:00.270,1789113300.27,476.74,25.4,1.0
10:55:00.350,1789113300.35,476.5,25.37,1.0
10:55:00.430,1789113300.43,476.5,25.32,1.0
10:55:00.510,1789113300.51,476.5,25.37,1.0
10:55:00.590,1789113300.59,475.29,25.29,1.0
10:55:00.670,1789113300.67,476.26,25.36,1.0
10:55:00.750,1789113300.75,474.81,25.27,1.0
10:55:00.830,1789113300.83,476.74,25.3,1.0
10:55:00.910,1789113300.91,476.74,25.19,1.0
10:55:00.990,1789113300.99,476.5,25.09,1.0
10:55:01.070,1789113301.07,477.47,25.09,1.0
10:55:01.150,1789113301.15,477.71,25.06,1.0
10:55:01.230,1789113301.23,477.95,25.01,1.0
10:55:01.310,1789113301.31,478.68,24.99,1.0
10:55:01.390,1789113301.39,478.19,24.99,1.0
10:55:01.470,1789113301.47,478.92,24.94,1.0
10:55:01.550,1789113301.55,478.68,24.93,1.0
10:55:01.630,1789113301.63,477.47,24.93,1.0
10:55:01.710,1789113301.71,478.68,24.91,1.0
10:55:01.790,1789113301.79,479.64,24.77,1.0
10:55:01.870,1789113301.87,479.4,24.72,1.0
10:55:01.950,1789113301.95,480.85,24.72,1.0
10:55:02.030,1789113302.03,480.85,24.63,1.0
10:55:02.110,1789113302.11,480.13,24.65,1.0
10:55:02.190,1789113302.19,479.4,24.66,1.0
10:55:02.270,1789113302.27,479.89,24.6,1.0
10:55:02.350,1789113302.35,479.89,24.59,1.0
10:55:02.430,1789113302.43,479.64,24.56,1.0
10:55:02.510,1789113302.51,479.89,24.59,1.0
10:55:02.590,1789113302.59,479.64,24.63,1.0
10:55:02.670,1789113302.67,479.4,24.71,1.0
10:55:02.750,1789113302.75,480.61,24.69,1.0
10:55:02.830,1789113302.83,478.68,24.7,1.0
10:55:02.910,1789113302.91,478.19,24.71,1.0
10:55:02.990,1789113302.99,479.16,24.72,1.0
10:55:03.070,1789113303.07,478.19,24.75,1.0
10:55:03.150,1789113303.15,479.16,24.75,1.0
10:55:03.230,1789113303.23,480.37,24.77,1.0
10:55:03.310,1789113303.31,481.09,24.73,1.0
10:55:03.390,1789113303.39,479.64,24.69,1.0
10:55:03.470,1789113303.47,479.64,24.61,1.0
10:55:03.550,1789113303.55,479.64,24.58,1.0
10:55:03.630,1789113303.63,478.92,24.55,1.0
10:55:03.710,1789113303.71,480.37,24.57,1.0
10:55:03.790,1789113303.79,480.13,24.57,1.0
10:55:03.870,1789113303.87,481.09,24.54,1.0
10:55:03.950,1789113303.95,480.37,24.58,1.0
10:55:04.030,1789113304.03,481.09,24.52,1.0
10:55:04.110,1789113304.11,480.37,24.51,1.0
10:55:04.190,1789113304.19,478.43,24.6,1.0
10:55:04.270,1789113304.27,479.64,24.64,1.0
10:55:04.350,1789113304.35,480.13,24.66,1.0
