t_s,clock,VDC,IDC,PDC,VG_A,VG_B,VG_C,IINV_A,IINV_B,IINV_C,STS,MODE,FAULT_FLAGS,FREQ,SET_FREQ,MOD_IDX,TEMP,STOP_REASON,ADC_B_RAW,ADC_B_OFS,XSPARE5,ISR_CNT
0.110,13:18:02.209,534.990,0.767,410.465,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,5.000,5.000,0.103,49.356,5.000,0.0,0.0,0.0,1.0
0.446,13:18:02.353,536.864,0.800,429.272,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.100,0.100,0.010,49.773,5.000,0.0,0.0,0.0,1.0
0.590,13:18:02.417,536.864,0.800,429.272,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.100,0.100,0.010,49.773,5.000,0.0,0.0,0.0,1.0
0.654,13:18:02.481,536.864,0.800,429.272,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.100,0.100,0.010,49.773,5.000,0.0,0.0,0.0,1.0
0.718,13:18:02.625,536.864,0.800,429.272,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.300,0.300,0.010,49.689,5.000,0.0,0.0,0.0,1.0
0.862,13:18:02.689,536.776,0.799,429.111,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.300,0.300,0.010,49.689,5.000,0.0,0.0,0.0,1.0
0.926,13:18:02.753,536.776,0.799,429.111,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.300,0.300,0.010,49.689,5.000,0.0,0.0,0.0,1.0
0.989,13:18:02.898,536.776,0.799,429.111,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.300,0.300,0.010,49.689,5.000,0.0,0.0,0.0,1.0
1.134,13:18:03.152,536.724,0.802,430.708,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.300,0.300,0.010,49.689,5.000,999.0,534.5274658203125,0.0,1.0
1.390,13:18:03.296,536.724,0.802,430.708,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.500,0.500,0.010,49.602,5.000,999.0,534.5274658203125,0.0,1.0
1.534,13:18:03.361,536.724,0.802,430.708,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.500,0.500,0.010,49.602,5.000,999.0,534.5274658203125,0.0,1.0
1.597,13:18:03.425,536.691,0.802,430.158,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.500,0.500,0.010,49.602,5.000,999.0,534.5274658203125,0.0,1.0
1.662,13:18:03.569,536.691,0.802,430.158,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.519,0.700,0.011,49.519,5.000,999.0,534.5274658203125,0.0,1.0
1.805,13:18:03.632,536.691,0.802,430.158,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.519,0.700,0.011,49.519,5.000,999.0,534.5274658203125,0.0,1.0
1.869,13:18:03.696,536.691,0.802,430.158,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.519,0.700,0.011,49.519,5.000,999.0,534.5274658203125,0.0,1.0
1.933,13:18:03.840,536.691,0.802,430.158,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.700,0.700,0.014,49.441,5.000,999.0,534.5274658203125,0.0,1.0
2.077,13:18:03.905,536.666,0.802,430.177,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.700,0.700,0.014,49.441,5.000,999.0,534.5274658203125,0.0,1.0
2.141,13:18:04.160,536.666,0.802,430.177,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.700,0.700,0.014,49.441,5.000,999.0,534.5274658203125,0.0,1.0
2.397,13:18:04.305,536.655,0.801,429.764,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.900,0.900,0.018,49.363,5.000,999.0,534.5274658203125,0.0,1.0
2.541,13:18:04.369,536.655,0.801,429.764,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.900,0.900,0.018,49.363,5.000,999.0,534.5274658203125,0.0,1.0
2.604,13:18:04.432,536.655,0.801,429.764,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.900,0.900,0.018,49.363,5.000,999.0,534.5274658203125,0.0,1.0
2.668,13:18:04.576,536.655,0.801,429.764,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.900,0.900,0.018,49.363,5.000,999.0,534.5274658203125,0.0,1.0
2.812,13:18:04.639,536.634,0.810,434.926,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.900,0.900,0.018,49.363,5.000,999.0,534.5274658203125,0.0,1.0
2.877,13:18:04.704,536.634,0.810,434.926,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.900,0.900,0.018,49.363,5.000,999.0,534.5274658203125,0.0,1.0
2.940,13:18:04.847,536.634,0.810,434.926,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,1.100,1.100,0.023,49.279,5.000,999.0,534.5274658203125,0.0,1.0
3.085,13:18:04.912,536.634,0.810,434.926,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,1.100,1.100,0.023,49.279,5.000,999.0,534.5274658203125,0.0,1.0
3.149,13:18:05.167,536.634,0.810,434.926,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,1.100,1.100,0.023,49.279,5.000,999.0,534.5274658203125,0.0,1.0
3.404,13:18:05.312,536.611,0.828,444.525,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,1.299,1.300,0.027,49.223,5.000,999.0,534.5274658203125,0.0,1.0
3.548,13:18:05.376,536.611,0.828,444.525,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,1.299,1.300,0.027,49.223,5.000,999.0,534.5274658203125,0.0,1.0
3.612,13:18:05.440,536.510,0.853,457.707,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,1.299,1.300,0.027,49.223,5.000,999.0,534.5274658203125,0.0,1.0
3.677,13:18:05.584,536.510,0.853,457.707,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.318,1.500,0.027,49.154,5.000,999.0,534.5274658203125,0.0,1.0
3.819,13:18:05.647,536.510,0.853,457.707,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.318,1.500,0.027,49.154,5.000,999.0,534.5274658203125,0.0,1.0
3.885,13:18:05.712,536.510,0.853,457.707,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.318,1.500,0.027,49.154,5.000,999.0,534.5274658203125,0.0,1.0
3.948,13:18:05.855,536.510,0.853,457.707,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.499,1.500,0.031,49.066,5.000,999.0,534.5274658203125,0.0,1.0
4.092,13:18:05.920,536.429,0.895,480.361,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.499,1.500,0.031,49.066,5.000,999.0,534.5274658203125,0.0,1.0
4.156,13:18:06.175,536.429,0.895,480.361,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.499,1.500,0.031,49.066,5.000,999.0,534.5274658203125,0.0,1.0
4.412,13:18:06.319,536.389,0.903,484.575,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,1.699,1.700,0.035,49.062,5.000,999.0,534.5274658203125,0.0,1.0
4.555,13:18:06.382,536.389,0.903,484.575,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,1.699,1.700,0.035,49.062,5.000,999.0,534.5274658203125,0.0,1.0
4.619,13:18:06.446,536.389,0.903,484.575,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,1.699,1.700,0.035,49.062,5.000,999.0,534.5274658203125,0.0,1.0
4.683,13:18:06.590,536.389,0.903,484.575,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,1.699,1.700,0.035,49.062,5.000,999.0,534.5274658203125,0.0,1.0
4.827,13:18:06.654,536.367,0.916,491.105,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,1.699,1.700,0.035,49.062,5.000,999.0,534.5274658203125,0.0,1.0
4.892,13:18:06.719,536.367,0.916,491.105,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,1.699,1.700,0.035,49.062,5.000,999.0,534.5274658203125,0.0,1.0
4.955,13:18:06.862,536.367,0.916,491.105,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,1.899,1.900,0.039,49.012,5.000,999.0,534.5274658203125,0.0,1.0
5.099,13:18:06.927,536.367,0.916,491.105,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,1.899,1.900,0.039,49.012,5.000,999.0,534.5274658203125,0.0,1.0
5.162,13:18:07.182,536.367,0.916,491.105,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,1.899,1.900,0.039,49.012,5.000,999.0,534.5274658203125,0.0,1.0
5.419,13:18:07.327,536.365,0.918,492.316,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,2.099,2.100,0.043,48.986,5.000,999.0,534.5274658203125,0.0,1.0
5.563,13:18:07.391,536.365,0.918,492.316,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,2.099,2.100,0.043,48.986,5.000,999.0,534.5274658203125,0.0,1.0
5.627,13:18:07.454,536.279,0.952,510.388,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,2.099,2.100,0.043,48.986,5.000,999.0,534.5274658203125,0.0,1.0
5.690,13:18:07.598,536.279,0.952,510.388,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,2.118,2.300,0.043,48.954,5.000,999.0,534.5274658203125,0.0,1.0
5.835,13:18:07.662,536.279,0.952,510.388,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,2.118,2.300,0.043,48.954,5.000,999.0,534.5274658203125,0.0,1.0
5.899,13:18:07.727,536.279,0.952,510.388,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,2.118,2.300,0.043,48.954,5.000,999.0,534.5274658203125,0.0,1.0
5.963,13:18:07.870,536.279,0.952,510.388,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,2.299,2.300,0.047,48.936,5.000,999.0,534.5274658203125,0.0,1.0
6.107,13:18:07.934,536.242,0.976,523.628,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,2.299,2.300,0.047,48.936,5.000,999.0,534.5274658203125,0.0,1.0
6.170,13:18:08.189,536.242,0.976,523.628,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,2.299,2.300,0.047,48.936,5.000,999.0,534.5274658203125,0.0,1.0
6.426,13:18:08.334,536.177,1.005,538.673,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,2.499,2.500,0.051,48.924,5.000,999.0,534.5274658203125,0.0,1.0
6.570,13:18:08.397,536.177,1.005,538.673,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,2.499,2.500,0.051,48.924,5.000,999.0,534.5274658203125,0.0,1.0
6.634,13:18:08.461,536.177,1.005,538.673,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,2.499,2.500,0.051,48.924,5.000,999.0,534.5274658203125,0.0,1.0
6.698,13:18:08.606,536.177,1.005,538.673,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,2.499,2.500,0.051,48.924,5.000,999.0,534.5274658203125,0.0,1.0
6.842,13:18:08.670,536.155,1.039,556.815,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,2.499,2.500,0.051,48.924,5.000,999.0,534.5274658203125,0.0,1.0
6.907,13:18:08.734,536.155,1.039,556.815,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,2.499,2.500,0.051,48.924,5.000,999.0,534.5274658203125,0.0,1.0
6.969,13:18:08.878,536.155,1.039,556.815,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,2.700,2.700,0.055,48.929,5.000,999.0,534.5274658203125,0.0,1.0
7.114,13:18:08.941,536.155,1.039,556.815,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,2.700,2.700,0.055,48.929,5.000,999.0,534.5274658203125,0.0,1.0
7.178,13:18:09.196,536.155,1.039,556.815,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,2.700,2.700,0.055,48.929,5.000,999.0,534.5274658203125,0.0,1.0
7.433,13:18:09.341,536.138,1.045,560.358,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,2.900,2.900,0.059,48.918,5.000,999.0,534.5274658203125,0.0,1.0
7.578,13:18:09.405,536.138,1.045,560.358,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,2.900,2.900,0.059,48.918,5.000,999.0,534.5274658203125,0.0,1.0
7.642,13:18:09.469,536.094,1.077,577.177,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,2.900,2.900,0.059,48.918,5.000,999.0,534.5274658203125,0.0,1.0
7.705,13:18:09.612,536.094,1.077,577.177,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,2.919,3.100,0.060,48.922,5.000,999.0,534.5274658203125,0.0,1.0
7.849,13:18:09.677,536.094,1.077,577.177,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,2.919,3.100,0.060,48.922,5.000,999.0,534.5274658203125,0.0,1.0
7.913,13:18:09.740,536.094,1.077,577.177,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,2.919,3.100,0.060,48.922,5.000,999.0,534.5274658203125,0.0,1.0
7.978,13:18:09.885,536.094,1.077,577.177,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,2.919,3.100,0.060,48.922,5.000,999.0,534.5274658203125,0.0,1.0
8.122,13:18:09.949,536.003,1.102,590.865,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,2.919,3.100,0.060,48.922,5.000,999.0,534.5274658203125,0.0,1.0
8.185,13:18:10.204,536.003,1.102,590.865,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,2.919,3.100,0.060,48.922,5.000,999.0,534.5274658203125,0.0,1.0
8.441,13:18:10.348,536.003,1.102,590.865,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,3.300,3.300,0.068,48.957,5.000,999.0,534.5274658203125,0.0,1.0
8.585,13:18:10.412,535.924,1.157,620.295,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,3.300,3.300,0.068,48.957,5.000,999.0,534.5274658203125,0.0,1.0
8.648,13:18:10.476,535.924,1.157,620.295,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,3.300,3.300,0.068,48.957,5.000,999.0,534.5274658203125,0.0,1.0
8.713,13:18:10.620,535.924,1.157,620.295,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,3.300,3.300,0.068,48.957,5.000,999.0,534.5274658203125,0.0,1.0
8.857,13:18:10.685,535.924,1.157,620.295,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,3.300,3.300,0.068,48.957,5.000,999.0,534.5274658203125,0.0,1.0
8.921,13:18:10.748,535.840,1.207,646.628,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,3.300,3.300,0.068,48.957,5.000,999.0,534.5274658203125,0.0,1.0
8.984,13:18:10.892,535.840,1.207,646.628,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,3.500,3.500,0.072,48.994,5.000,999.0,534.5274658203125,0.0,1.0
9.129,13:18:10.956,535.840,1.207,646.628,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,3.500,3.500,0.072,48.994,5.000,999.0,534.5274658203125,0.0,1.0
9.192,13:18:11.211,535.840,1.207,646.628,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,3.500,3.500,0.072,48.994,5.000,999.0,534.5274658203125,0.0,1.0
9.449,13:18:11.356,535.809,1.204,645.312,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,3.700,3.700,0.076,49.024,5.000,999.0,534.5274658203125,0.0,1.0
9.592,13:18:11.419,535.809,1.204,645.312,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,3.700,3.700,0.076,49.024,5.000,999.0,534.5274658203125,0.0,1.0
9.656,13:18:11.484,535.809,1.204,645.312,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,3.700,3.700,0.076,49.024,5.000,999.0,534.5274658203125,0.0,1.0
9.721,13:18:11.627,535.710,1.258,673.671,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,3.719,3.900,0.076,49.085,5.000,999.0,534.5274658203125,0.0,1.0
9.865,13:18:11.692,535.710,1.258,673.671,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,3.719,3.900,0.076,49.085,5.000,999.0,534.5274658203125,0.0,1.0
9.929,13:18:11.756,535.710,1.258,673.671,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,3.719,3.900,0.076,49.085,5.000,999.0,534.5274658203125,0.0,1.0
9.991,13:18:11.899,535.710,1.258,673.671,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,3.719,3.900,0.076,49.085,5.000,999.0,534.5274658203125,0.0,1.0
10.136,13:18:11.963,535.612,1.328,711.355,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,3.719,3.900,0.076,49.085,5.000,999.0,534.5274658203125,0.0,1.0
10.200,13:18:12.219,535.612,1.328,711.355,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,3.719,3.900,0.076,49.085,5.000,999.0,534.5274658203125,0.0,1.0
10.455,13:18:12.363,535.612,1.328,711.355,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,4.100,4.100,0.084,49.187,5.000,999.0,534.5274658203125,0.0,1.0
10.600,13:18:12.427,535.505,1.408,754.178,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,4.100,4.100,0.084,49.187,5.000,999.0,534.5274658203125,0.0,1.0
10.663,13:18:12.490,535.505,1.408,754.178,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,4.100,4.100,0.084,49.187,5.000,999.0,534.5274658203125,0.0,1.0
10.728,13:18:12.635,535.505,1.408,754.178,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,4.100,4.100,0.084,49.187,5.000,999.0,534.5274658203125,0.0,1.0
10.872,13:18:12.699,535.505,1.408,754.178,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,4.100,4.100,0.084,49.187,5.000,999.0,534.5274658203125,0.0,1.0
10.936,13:18:12.763,535.384,1.501,803.662,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,4.100,4.100,0.084,49.187,5.000,999.0,534.5274658203125,0.0,1.0
10.999,13:18:12.908,535.384,1.501,803.662,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,4.300,4.300,0.088,49.257,5.000,999.0,534.5274658203125,0.0,1.0
11.144,13:18:12.971,535.384,1.501,803.662,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,4.300,4.300,0.088,49.257,5.000,999.0,534.5274658203125,0.0,1.0
11.208,13:18:13.226,535.384,1.501,803.662,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,4.300,4.300,0.088,49.257,5.000,999.0,534.5274658203125,0.0,1.0
11.462,13:18:13.371,535.218,1.562,836.145,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,4.500,4.500,0.092,49.331,5.000,999.0,534.5274658203125,0.0,1.0
11.607,13:18:13.434,535.218,1.562,836.145,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,4.500,4.500,0.092,49.331,5.000,999.0,534.5274658203125,0.0,1.0
11.671,13:18:13.499,535.218,1.562,836.145,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,4.500,4.500,0.092,49.331,5.000,999.0,534.5274658203125,0.0,1.0
11.735,13:18:13.642,535.173,1.594,853.155,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,4.520,4.700,0.093,49.424,5.000,999.0,534.5274658203125,0.0,1.0
11.879,13:18:13.707,535.173,1.594,853.155,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,4.520,4.700,0.093,49.424,5.000,999.0,534.5274658203125,0.0,1.0
11.943,13:18:13.771,535.173,1.594,853.155,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,4.520,4.700,0.093,49.424,5.000,999.0,534.5274658203125,0.0,1.0
12.007,13:18:13.914,535.173,1.594,853.155,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,4.520,4.700,0.093,49.424,5.000,999.0,534.5274658203125,0.0,1.0
12.151,13:18:13.978,535.019,1.695,906.703,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,4.520,4.700,0.093,49.424,5.000,999.0,534.5274658203125,0.0,1.0
12.215,13:18:14.233,535.019,1.695,906.703,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,4.520,4.700,0.093,49.424,5.000,999.0,534.5274658203125,0.0,1.0
12.470,13:18:14.377,535.019,1.695,906.703,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,4.900,4.900,0.101,49.609,5.000,999.0,534.5274658203125,0.0,1.0
12.614,13:18:14.442,534.914,1.777,950.631,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,4.900,4.900,0.101,49.609,5.000,999.0,534.5274658203125,0.0,1.0
12.679,13:18:14.506,534.914,1.777,950.631,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,4.900,4.900,0.101,49.609,5.000,999.0,534.5274658203125,0.0,1.0
12.742,13:18:14.649,534.914,1.777,950.631,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,4.900,4.900,0.101,49.609,5.000,999.0,534.5274658203125,0.0,1.0
12.886,13:18:14.713,534.914,1.777,950.631,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,4.900,4.900,0.101,49.609,5.000,999.0,534.5274658203125,0.0,1.0
12.950,13:18:14.777,535.138,1.634,874.150,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,4.900,4.900,0.101,49.609,5.000,999.0,534.5274658203125,0.0,1.0
13.014,13:18:14.922,535.138,1.634,874.150,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,5.100,5.100,0.105,49.735,5.000,999.0,534.5274658203125,0.0,1.0
13.158,13:18:14.986,535.138,1.634,874.150,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,5.100,5.100,0.105,49.735,5.000,999.0,534.5274658203125,0.0,1.0
13.222,13:18:15.241,535.138,1.634,874.150,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,5.100,5.100,0.105,49.735,5.000,999.0,534.2857055664062,0.0,1.0
13.478,13:18:15.385,535.453,1.423,761.712,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,5.300,5.300,0.109,49.822,5.000,999.0,534.2857055664062,0.0,1.0
13.622,13:18:15.450,535.453,1.423,761.712,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,5.300,5.300,0.109,49.822,5.000,999.0,534.2857055664062,0.0,1.0
13.685,13:18:15.513,535.453,1.423,761.712,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,5.300,5.300,0.109,49.822,5.000,999.0,534.2857055664062,0.0,1.0
13.749,13:18:15.658,535.399,1.425,763.083,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,5.319,5.500,0.109,49.835,5.000,999.0,534.2857055664062,0.0,1.0
13.894,13:18:15.721,535.399,1.425,763.083,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,5.319,5.500,0.109,49.835,5.000,999.0,534.2857055664062,0.0,1.0
13.958,13:18:15.785,535.399,1.425,763.083,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,5.319,5.500,0.109,49.835,5.000,999.0,534.2857055664062,0.0,1.0
14.021,13:18:15.928,535.399,1.425,763.083,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,5.319,5.500,0.109,49.835,5.000,999.0,534.2857055664062,0.0,1.0
14.165,13:18:15.992,535.400,1.440,771.206,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,5.319,5.500,0.109,49.835,5.000,999.0,534.2857055664062,0.0,1.0
14.230,13:18:16.248,535.400,1.440,771.206,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,5.319,5.500,0.109,49.835,5.000,999.0,534.2857055664062,0.0,1.0
14.485,13:18:16.392,535.400,1.440,771.206,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,5.500,5.500,0.113,49.784,5.000,999.0,534.2857055664062,0.0,1.0
14.630,13:18:16.457,535.380,1.469,786.382,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,5.500,5.500,0.113,49.784,5.000,999.0,534.2857055664062,0.0,1.0
14.693,13:18:16.520,535.380,1.469,786.382,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,5.500,5.500,0.113,49.784,5.000,999.0,534.2857055664062,0.0,1.0
14.757,13:18:16.665,535.380,1.469,786.382,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,5.700,5.700,0.117,49.740,5.000,999.0,534.2857055664062,0.0,1.0
14.900,13:18:16.728,535.380,1.469,786.382,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,5.700,5.700,0.117,49.740,5.000,999.0,534.2857055664062,0.0,1.0
14.965,13:18:16.792,535.295,1.504,804.883,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,5.700,5.700,0.117,49.740,5.000,999.0,534.2857055664062,0.0,1.0
15.028,13:18:16.936,535.295,1.504,804.883,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,5.900,5.900,0.121,49.678,5.000,999.0,534.2857055664062,0.0,1.0
15.173,13:18:17.000,535.295,1.504,804.883,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,5.900,5.900,0.121,49.678,5.000,999.0,534.2857055664062,0.0,1.0
15.237,13:18:17.256,535.295,1.504,804.883,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,5.900,5.900,0.121,49.678,5.000,999.0,534.2857055664062,0.0,1.0
15.493,13:18:17.400,535.282,1.500,803.049,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,6.100,6.100,0.125,49.632,5.000,999.0,534.2857055664062,0.0,1.0
15.637,13:18:17.464,535.282,1.500,803.049,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,6.100,6.100,0.125,49.632,5.000,999.0,534.2857055664062,0.0,1.0
15.700,13:18:17.527,535.282,1.500,803.049,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,6.100,6.100,0.125,49.632,5.000,999.0,534.2857055664062,0.0,1.0
