iso,t_s,vDcInst,idc_units,iq_shed
18:10:02.101,1789053002.101,476.02,0.15,1.0
18:10:02.181,1789053002.181,476.02,0.14,1.0
18:10:02.261,1789053002.261,476.02,0.14,1.0
18:10:02.341,1789053002.341,476.02,0.15,1.0
18:10:02.421,1789053002.421,476.02,0.14,1.0
18:10:02.501,1789053002.501,476.02,0.14,1.0
18:10:02.581,1789053002.581,476.02,0.15,1.0
18:10:02.661,1789053002.661,476.02,0.14,1.0
18:10:02.741,1789053002.741,476.02,0.15,1.0
18:10:02.821,1789053002.821,476.02,0.15,1.0
18:10:02.901,1789053002.901,476.02,0.15,1.0
18:10:02.981,1789053002.981,476.02,0.14,1.0
18:10:03.061,1789053003.061,476.02,0.14,1.0
18:10:03.141,1789053003.141,476.02,0.15,1.0
18:10:03.221,1789053003.221,476.02,0.15,1.0
18:10:03.301,1789053003.301,476.02,0.15,1.0
18:10:03.381,1789053003.381,476.02,0.15,1.0
18:10:03.461,1789053003.461,476.02,0.15,1.0
18:10:03.541,1789053003.541,476.02,0.14,1.0
18:10:03.621,1789053003.621,476.02,0.14,1.0
18:10:03.701,1789053003.701,476.02,0.15,1.0
18:10:03.781,1789053003.781,475.78,0.14,1.0
18:10:03.861,1789053003.861,476.02,0.15,1.0
18:10:03.941,1789053003.941,476.02,0.15,1.0
18:10:04.021,1789053004.021,476.02,0.14,1.0
18:10:04.101,1789053004.101,476.02,0.15,1.0
18:10:04.181,1789053004.181,476.02,0.15,1.0
18:10:04.261,1789053004.261,476.02,0.15,1.0
18:10:04.341,1789053004.341,476.02,0.14,1.0
18:10:04.421,1789053004.421,476.02,0.14,1.0
18:10:04.501,1789053004.501,476.02,0.15,1.0
18:10:04.581,1789053004.581,476.02,0.14,1.0
18:10:04.661,1789053004.661,476.02,0.14,1.0
18:10:04.741,1789053004.741,476.02,0.15,1.0
18:10:04.821,1789053004.821,475.78,0.14,1.0
18:10:04.901,1789053004.901,475.78,0.14,1.0
18:10:04.981,1789053004.981,475.78,0.15,1.0
18:10:05.061,1789053005.061,476.02,0.15,1.0
18:10:05.141,1789053005.141,476.02,0.14,1.0
18:10:05.221,1789053005.221,476.02,0.15,1.0
18:10:05.301,1789053005.301,476.02,0.14,1.0
18:10:05.381,1789053005.381,476.02,0.14,1.0
18:10:05.461,1789053005.461,475.78,0.15,1.0
18:10:05.541,1789053005.541,475.78,0.14,1.0
18:10:05.621,1789053005.621,475.78,0.15,1.0
18:10:05.701,1789053005.701,475.78,0.14,1.0
18:10:05.781,1789053005.781,475.78,0.15,1.0
18:10:05.861,1789053005.861,475.78,0.15,1.0
18:10:05.941,1789053005.941,475.78,0.15,1.0
18:10:06.021,1789053006.021,475.78,0.15,1.0
18:10:06.101,1789053006.101,475.78,0.16,1.0
18:10:06.181,1789053006.181,475.78,0.15,1.0
18:10:06.261,1789053006.261,475.78,0.14,1.0
18:10:06.341,1789053006.341,476.02,0.15,1.0
18:10:06.421,1789053006.421,475.78,0.14,1.0
