t_to_trip_s,vDcInst,idc_units,iq_shed
-8.08,451.12,17.36,0.9999
-8.0,451.36,17.46,0.9999
-7.92,452.08,17.46,0.9999
-7.84,452.81,17.34,0.9999
-7.76,454.02,17.28,0.9999
-7.68,453.29,17.11,0.9999
-7.6,452.81,17.19,0.9999
-7.52,452.08,17.23,0.9999
-7.44,452.57,17.36,0.9999
-7.36,452.57,17.44,0.9999
-7.28,453.29,17.37,0.9999
-7.2,452.81,17.23,0.9999
-7.12,452.81,17.25,0.9999
-7.04,452.57,17.36,0.9999
-6.96,452.57,17.47,0.9999
-6.88,453.29,17.4,0.9999
-6.8,451.36,17.27,0.9999
-6.72,452.32,17.31,0.9999
-6.64,451.84,17.34,0.9999
-6.56,453.05,17.5,0.9999
-6.48,452.32,17.38,0.9999
-6.4,452.57,17.34,0.9999
-6.32,453.29,17.24,0.9999
-6.24,452.57,17.11,0.9999
-6.16,451.6,17.19,0.9999
-6.08,451.6,17.29,0.9999
-6.0,451.12,17.41,0.9999
-5.92,451.6,17.43,0.9999
-5.84,453.53,17.33,0.9999
-5.76,452.32,17.23,0.9999
-5.68,452.32,17.31,0.9999
-5.6,453.29,17.38,0.9999
-5.52,453.29,17.45,0.9999
-5.44,453.78,17.36,0.9999
-5.36,454.02,17.22,0.9999
-5.28,453.78,17.16,0.9999
-5.2,452.81,17.11,0.9999
-5.12,452.57,17.25,0.9999
-5.04,451.6,17.28,0.9999
-4.96,450.63,17.42,0.9999
-4.88,451.12,17.59,0.9999
-4.8,451.6,17.56,0.9999
-4.72,452.57,17.46,0.9999
-4.64,453.53,17.43,0.9999
-4.56,452.57,17.3,0.9999
-4.48,452.81,17.18,0.9999
-4.4,453.29,17.15,0.9999
-4.32,452.57,17.23,0.9999
-4.24,451.6,17.32,0.9999
-4.16,452.32,17.42,0.9999
-4.08,452.81,17.41,0.9999
-4.0,453.53,17.31,0.9999
-3.92,453.05,17.24,0.9999
-3.84,452.57,17.35,0.9999
-3.76,451.84,17.46,0.9999
-3.68,452.57,17.43,0.9999
-3.6,452.81,17.31,0.9999
-3.52,452.57,17.27,0.9999
-3.44,451.84,17.38,0.9999
-3.36,451.84,17.46,0.9999
-3.28,452.32,17.45,0.9999
-3.2,452.57,17.35,0.9999
-3.12,451.6,17.26,0.9999
-3.04,451.36,17.33,0.9999
-2.96,451.12,17.45,0.9999
-2.88,451.12,17.47,0.9999
-2.8,452.08,17.38,0.9999
-2.72,453.53,17.27,0.9999
-2.64,452.81,17.12,0.9999
-2.56,453.05,17.19,0.9999
-2.48,453.05,17.28,0.9999
-2.4,452.32,17.34,0.9999
-2.32,451.84,17.44,0.9999
-2.24,452.08,17.61,0.9999
-2.16,452.57,17.58,0.9999
-2.08,452.57,17.46,0.9999
-2.0,452.57,17.42,0.9999
-1.92,452.57,17.28,0.9999
-1.84,452.81,17.17,0.9999
-1.76,452.57,17.19,0.9999
-1.68,451.84,17.28,0.9999
-1.6,452.32,17.36,0.9999
-1.52,451.36,17.45,0.9999
-1.44,451.12,17.61,0.9999
-1.36,451.36,17.61,0.9999
-1.28,452.08,17.48,0.9999
-1.2,452.81,17.37,0.9999
-1.12,452.08,17.33,0.9999
-1.04,453.29,17.39,0.9999
-0.96,452.81,17.29,0.9999
-0.88,452.57,17.29,0.9999
-0.8,452.32,17.38,0.9999
-0.72,452.08,17.5,0.9999
-0.64,452.32,17.57,0.9999
-0.56,452.08,17.61,0.9999
-0.48,452.08,17.54,0.9999
-0.4,453.05,17.46,0.9999
-0.32,452.81,17.33,0.9999
-0.24,452.57,17.39,0.9999
-0.16,332.41,17.44,0.9999
-0.08,256.74,13.09,0.9999
0.0,209.84,17.28,0.9999
