iso,t_s,vDcInst,idc_units,iq_shed
14:02:03.445,1789038123.446,465.38,30.0,1.0
14:02:03.525,1789038123.526,464.17,30.0,1.0
14:02:03.605,1789038123.606,465.86,30.0,1.0
14:02:03.685,1789038123.686,466.1,30.02,1.0
14:02:03.765,1789038123.766,463.69,29.96,1.0
14:02:03.845,1789038123.846,464.17,29.99,1.0
14:02:03.925,1789038123.926,465.38,30.02,1.0
14:02:04.005,1789038124.006,464.41,29.95,1.0
14:02:04.085,1789038124.086,464.17,29.99,1.0
14:02:04.165,1789038124.166,464.65,30.04,1.0
14:02:04.245,1789038124.246,463.45,30.02,1.0
14:02:04.325,1789038124.326,465.38,29.98,1.0
14:02:04.405,1789038124.406,464.17,29.99,1.0
14:02:04.485,1789038124.486,463.2,30.01,1.0
14:02:04.565,1789038124.566,464.17,30.04,1.0
14:02:04.645,1789038124.646,464.9,30.01,1.0
14:02:04.725,1789038124.726,463.2,29.97,1.0
14:02:04.805,1789038124.806,463.93,29.99,1.0
14:02:04.885,1789038124.886,464.9,30.06,1.0
14:02:04.965,1789038124.966,462.72,29.94,1.0
14:02:05.045,1789038125.046,464.17,30.04,1.0
14:02:05.125,1789038125.126,464.9,30.02,1.0
14:02:05.205,1789038125.206,463.93,29.92,1.0
14:02:05.285,1789038125.286,464.41,30.0,1.0
14:02:05.365,1789038125.366,464.9,29.99,1.0
14:02:05.445,1789038125.446,463.69,29.97,1.0
14:02:05.525,1789038125.526,464.65,30.04,1.0
14:02:05.605,1789038125.606,464.9,29.99,1.0
14:02:05.685,1789038125.686,464.17,30.03,1.0
14:02:05.765,1789038125.766,464.65,29.99,1.0
14:02:05.845,1789038125.846,464.41,30.01,1.0
14:02:05.925,1789038125.926,463.45,29.97,1.0
14:02:06.005,1789038126.006,465.62,30.05,1.0
14:02:06.085,1789038126.086,464.65,29.96,1.0
14:02:06.165,1789038126.166,463.69,30.03,1.0
14:02:06.245,1789038126.246,465.14,29.98,1.0
14:02:06.325,1789038126.326,464.65,29.97,1.0
14:02:06.405,1789038126.406,464.65,30.01,1.0
14:02:06.485,1789038126.486,464.9,29.95,1.0
14:02:06.565,1789038126.566,465.14,30.04,1.0
14:02:06.645,1789038126.646,465.38,29.95,1.0
