t_to_trip_s,vDcInst,idc_units,iq_shed
-17.12,472.39,29.91,0.9999
-17.04,470.46,29.93,0.9999
-16.96,471.42,29.94,0.9999
-16.88,471.18,29.93,0.9999
-16.8,470.7,29.89,0.9999
-16.72,471.42,29.96,0.9999
-16.64,470.46,29.9,0.9999
-16.56,470.46,29.97,0.9999
-16.48,471.42,29.94,0.9999
-16.4,470.21,29.9,0.9999
-16.32,470.94,29.98,0.9999
-16.24,471.18,29.89,0.9999
-16.16,470.21,29.92,0.9999
-16.08,470.94,29.94,0.9999
-16.0,469.97,29.89,0.9999
-15.92,470.46,29.98,0.9999
-15.84,470.7,29.93,0.9999
-15.76,469.73,29.93,0.9999
-15.68,469.73,29.96,0.9999
-15.6,471.18,30.0,0.9999
-15.52,470.21,29.84,0.9999
-15.44,470.94,29.98,0.9999
-15.36,470.94,29.9,0.9999
-15.28,470.21,29.9,0.9999
-15.2,470.7,29.94,0.9999
-15.12,470.21,29.96,0.9999
-15.04,470.21,29.93,0.9999
-14.96,471.42,29.95,0.9999
-14.88,470.21,29.88,0.9999
-14.8,470.7,29.97,0.9999
-14.72,471.42,29.91,0.9999
-14.64,470.21,29.95,0.9999
-14.56,470.46,29.92,0.9999
-14.48,471.42,29.97,0.9999
-14.4,470.21,29.9,0.9999
-14.32,470.7,29.93,0.9999
-14.24,470.7,29.94,0.9999
-14.16,471.42,29.93,0.9999
-14.08,471.18,29.9,0.9999
-14.0,469.97,29.91,0.9999
-13.92,470.46,30.02,0.9999
-13.84,470.94,29.93,0.9999
-13.76,470.46,29.91,0.9999
-13.68,471.42,29.91,0.9999
-13.6,471.67,29.88,0.9999
-13.52,471.18,29.89,0.9999
-13.44,471.18,29.99,0.9999
-13.36,470.94,29.98,0.9999
-13.28,471.18,29.86,0.9999
-13.2,471.18,29.95,0.9999
-13.12,470.7,29.93,0.9999
-13.04,470.7,29.94,0.9999
-12.96,470.94,29.96,0.9999
-12.88,470.7,29.92,0.9999
-12.8,471.18,29.94,0.9999
-12.72,470.46,29.92,0.9999
-12.64,470.46,29.95,0.9999
-12.56,471.18,29.95,0.9999
-12.48,471.18,29.97,0.9999
-12.4,470.46,29.93,0.9999
-12.32,471.67,29.94,0.9999
-12.24,470.7,29.94,0.9999
-12.16,471.18,29.9,0.9999
-12.08,471.91,29.9,0.9999
-12.0,470.7,29.93,0.9999
-11.92,472.15,29.94,0.9999
-11.84,471.91,29.95,0.9999
-11.76,470.94,29.98,0.9999
-11.68,471.42,29.89,0.9999
-11.6,470.46,29.97,0.9999
-11.52,471.18,29.99,0.9999
-11.44,471.42,29.85,0.9999
-11.36,470.46,29.96,0.9999
-11.28,470.46,29.97,0.9999
-11.2,470.94,29.88,0.9999
-11.12,470.46,29.99,0.9999
-11.04,470.94,29.95,0.9999
-10.96,471.42,29.92,0.9999
-10.88,470.46,29.92,0.9999
-10.8,471.18,29.95,0.9999
-10.72,470.46,29.95,0.9999
-10.64,470.21,29.97,0.9999
-10.56,470.46,29.87,0.9999
-10.48,469.97,29.94,0.9999
-10.4,469.97,30.0,0.9999
-10.32,470.94,29.91,0.9999
-10.24,470.46,29.88,0.9999
-10.16,470.94,29.99,0.9999
-10.08,470.94,29.9,0.9999
-10.0,470.21,29.9,0.9999
-9.92,470.94,29.98,0.9999
-9.84,470.94,29.94,0.9999
-9.76,469.97,29.94,0.9999
-9.68,471.42,29.95,0.9999
-9.6,470.46,29.9,0.9999
-9.52,470.46,29.93,0.9999
-9.44,471.18,29.91,0.9999
-9.36,470.21,29.94,0.9999
-9.28,471.18,30.01,0.9999
-9.2,470.94,29.89,0.9999
-9.12,469.97,29.93,0.9999
-9.04,470.46,30.01,0.9999
-8.96,470.21,29.9,0.9999
-8.88,470.7,29.96,0.9999
-8.8,469.73,29.97,0.9999
-8.72,469.49,29.97,0.9999
-8.64,470.21,29.97,0.9999
-8.56,470.94,29.93,0.9999
-8.48,469.73,29.87,0.9999
-8.4,471.18,30.04,0.9999
-8.32,471.18,29.95,0.9999
-8.24,469.97,29.98,0.9999
-8.16,470.7,29.98,0.9999
-8.08,470.21,29.94,0.9999
-8.0,470.7,29.94,0.9999
-7.92,471.91,29.95,0.9999
-7.84,470.21,29.85,0.9999
-7.76,470.46,29.98,0.9999
-7.68,471.18,29.91,0.9999
-7.6,470.21,29.95,0.9999
-7.52,470.7,29.9,0.9999
-7.44,471.18,29.96,0.9999
-7.36,470.21,29.95,0.9999
-7.28,471.42,29.95,0.9999
-7.2,470.7,29.94,0.9999
-7.12,470.21,29.97,0.9999
-7.04,470.94,29.99,0.9999
-6.96,469.97,29.85,0.9999
-6.88,470.21,30.0,0.9999
-6.8,471.42,29.94,0.9999
-6.72,470.7,29.91,0.9999
-6.64,471.42,29.93,0.9999
-6.56,471.67,29.91,0.9999
-6.48,470.7,29.88,0.9999
-6.4,470.94,29.93,0.9999
-6.32,470.94,29.93,0.9999
-6.24,471.42,29.88,0.9999
-6.16,471.42,30.0,0.9999
-6.08,470.46,29.9,0.9999
-6.0,470.94,29.89,0.9999
-5.92,471.42,29.93,0.9999
-5.84,470.7,29.91,0.9999
-5.76,471.42,29.93,0.9999
-5.68,470.94,29.95,0.9999
-5.6,470.46,29.93,0.9999
-5.52,471.91,29.94,0.9999
-5.44,470.7,29.97,0.9999
-5.36,470.7,29.89,0.9999
-5.28,471.67,29.93,0.9999
-5.2,470.7,29.99,0.9999
-5.12,470.94,29.91,0.9999
-5.04,471.91,29.94,0.9999
-4.96,470.94,29.93,0.9999
-4.88,471.67,29.94,0.9999
-4.8,471.67,29.97,0.9999
-4.72,470.94,29.96,0.9999
-4.64,471.42,29.92,0.9999
-4.56,470.21,29.95,0.9999
-4.48,470.94,29.91,0.9999
-4.4,471.42,29.95,0.9999
-4.32,470.46,29.95,0.9999
-4.24,470.7,29.94,0.9999
-4.16,470.94,29.95,0.9999
-4.08,470.21,29.98,0.9999
-4.0,470.94,29.93,0.9999
-3.92,470.94,29.9,0.9999
-3.84,470.46,29.97,0.9999
-3.76,470.94,29.91,0.9999
-3.68,470.21,29.88,0.9999
-3.6,470.7,29.95,0.9999
-3.52,471.18,29.94,0.9999
-3.44,469.97,29.96,0.9999
-3.36,470.7,29.96,0.9999
-3.28,471.91,29.98,0.9999
-3.2,471.42,29.95,0.9999
-3.12,471.18,29.94,0.9999
-3.04,471.18,29.94,0.9999
-2.96,470.94,29.93,0.9999
-2.88,471.42,29.91,0.9999
-2.8,470.7,29.91,0.9999
-2.72,470.7,29.92,0.9999
-2.64,470.7,29.93,0.9999
-2.56,470.7,29.96,0.9999
-2.48,470.21,29.87,0.9999
-2.4,470.7,29.94,0.9999
-2.32,470.7,29.99,0.9999
-2.24,470.46,29.87,0.9999
-2.16,470.46,29.98,0.9999
-2.08,470.21,29.95,0.9999
-2.0,470.46,29.97,0.9999
-1.92,470.46,29.95,0.9999
-1.84,469.73,29.98,0.9999
-1.76,470.21,29.91,0.9999
-1.68,470.21,29.97,0.9999
-1.6,470.46,29.94,0.9999
-1.52,470.7,30.01,0.9999
-1.44,470.46,29.97,0.9999
-1.36,470.94,29.98,0.9999
-1.28,470.46,29.9,0.9999
-1.2,470.94,29.94,0.9999
-1.12,471.18,29.91,0.9999
-1.04,470.46,29.89,0.9999
-0.96,470.7,29.94,0.9999
-0.88,471.18,29.95,0.9999
-0.8,469.97,29.89,0.9999
-0.72,470.7,29.93,0.9999
-0.64,470.94,29.91,0.9999
-0.56,470.21,29.89,0.9999
-0.48,470.7,29.93,0.9999
-0.4,438.3,29.9,0.9999
-0.32,409.78,28.88,0.9999
-0.24,417.51,29.96,0.9999
