t_to_trip_s,vDcInst,idc_units,iq_shed
-15.6,477.23,29.83,0.9999
-15.52,477.23,29.91,0.9999
-15.44,476.98,29.87,0.9999
-15.36,476.74,29.88,0.9999
-15.28,475.78,29.91,0.9999
-15.2,475.78,29.84,0.9999
-15.12,476.26,29.91,0.9999
-15.04,476.02,29.9,0.9999
-14.96,476.5,29.85,0.9999
-14.88,476.5,29.92,0.9999
-14.8,476.74,29.9,0.9999
-14.72,476.5,29.83,0.9999
-14.64,475.78,29.86,0.9999
-14.56,476.02,29.86,0.9999
-14.48,476.02,29.86,0.9999
-14.4,476.26,29.92,0.9999
-14.32,476.26,29.84,0.9999
-14.24,476.5,29.95,0.9999
-14.16,476.02,29.92,0.9999
-14.08,476.5,29.83,0.9999
-14.0,475.53,29.85,0.9999
-13.92,476.02,29.88,0.9999
-13.84,476.26,29.85,0.9999
-13.76,476.02,29.98,0.9999
-13.68,476.5,29.86,0.9999
-13.6,475.53,29.85,0.9999
-13.52,476.74,29.87,0.9999
-13.44,477.47,29.92,0.9999
-13.36,476.26,29.91,0.9999
-13.28,477.71,29.9,0.9999
-13.2,475.29,29.8,0.9999
-13.12,476.26,29.87,0.9999
-13.04,476.02,29.81,0.9999
-12.96,475.78,29.87,0.9999
-12.88,476.5,29.87,0.9999
-12.8,476.98,29.9,0.9999
-12.72,476.26,29.84,0.9999
-12.64,476.98,29.93,0.9999
-12.56,475.78,29.83,0.9999
-12.48,475.53,29.87,0.9999
-12.4,476.26,29.86,0.9999
-12.32,476.02,29.89,0.9999
-12.24,476.98,29.81,0.9999
-12.16,476.26,29.85,0.9999
-12.08,476.5,29.83,0.9999
-12.0,476.74,29.88,0.9999
-11.92,475.29,29.83,0.9999
-11.84,476.26,29.84,0.9999
-11.76,476.74,29.79,0.9999
-11.68,475.78,29.86,0.9999
-11.6,476.74,29.87,0.9999
-11.52,476.02,29.92,0.9999
-11.44,477.23,29.86,0.9999
-11.36,476.5,29.85,0.9999
-11.28,476.5,29.91,0.9999
-11.2,476.98,29.88,0.9999
-11.12,476.02,29.87,0.9999
-11.04,476.26,29.93,0.9999
-10.96,476.5,29.84,0.9999
-10.88,475.53,29.87,0.9999
-10.8,476.26,29.85,0.9999
-10.72,476.26,29.86,0.9999
-10.64,476.74,29.92,0.9999
-10.56,477.23,29.86,0.9999
-10.48,476.5,29.84,0.9999
-10.4,475.78,29.86,0.9999
-10.32,475.78,29.85,0.9999
-10.24,475.78,29.89,0.9999
-10.16,476.26,29.82,0.9999
-10.08,476.74,29.88,0.9999
-10.0,476.26,29.92,0.9999
-9.92,476.98,29.84,0.9999
-9.84,475.53,29.83,0.9999
-9.76,475.78,29.93,0.9999
-9.68,476.5,29.86,0.9999
-9.6,475.78,29.85,0.9999
-9.52,476.5,29.88,0.9999
-9.44,475.53,29.8,0.9999
-9.36,476.02,29.96,0.9999
-9.28,477.23,29.85,0.9999
-9.2,476.26,29.88,0.9999
-9.12,477.23,29.88,0.9999
-9.04,476.5,29.86,0.9999
-8.96,476.5,29.89,0.9999
-8.88,476.74,29.91,0.9999
-8.8,475.78,29.88,0.9999
-8.72,475.78,29.83,0.9999
-8.64,476.26,29.87,0.9999
-8.56,476.02,29.87,0.9999
-8.48,477.23,29.81,0.9999
-8.4,476.26,29.95,0.9999
-8.32,476.5,29.85,0.9999
-8.24,476.26,29.85,0.9999
-8.16,475.53,29.85,0.9999
-8.08,476.02,29.9,0.9999
-8.0,476.74,29.88,0.9999
-7.92,475.53,29.84,0.9999
-7.84,476.74,29.88,0.9999
-7.76,476.02,29.86,0.9999
-7.68,476.02,29.89,0.9999
-7.6,476.5,29.83,0.9999
-7.52,475.78,29.93,0.9999
-7.44,476.02,29.8,0.9999
-7.36,476.26,29.94,0.9999
-7.28,475.29,29.91,0.9999
-7.2,476.26,29.82,0.9999
-7.12,476.02,29.89,0.9999
-7.04,476.98,29.9,0.9999
-6.96,477.47,29.89,0.9999
-6.88,476.02,29.83,0.9999
-6.8,476.74,29.86,0.9999
-6.72,475.78,29.93,0.9999
-6.64,475.53,29.86,0.9999
-6.56,476.02,29.81,0.9999
-6.48,475.29,29.89,0.9999
-6.4,476.74,29.88,0.9999
-6.32,476.26,29.86,0.9999
-6.24,476.26,29.92,0.9999
-6.16,476.98,29.92,0.9999
-6.08,475.78,29.81,0.9999
-6.0,476.02,29.91,0.9999
-5.92,476.26,29.8,0.9999
-5.84,475.78,29.86,0.9999
-5.76,476.26,29.87,0.9999
-5.68,476.02,29.88,0.9999
-5.6,476.5,29.88,0.9999
-5.52,476.5,29.86,0.9999
-5.44,475.78,29.83,0.9999
-5.36,476.02,29.91,0.9999
-5.28,476.98,29.85,0.9999
-5.2,475.53,29.84,0.9999
-5.12,476.02,29.84,0.9999
-5.04,476.02,29.87,0.9999
-4.96,476.5,29.86,0.9999
-4.88,476.74,29.92,0.9999
-4.8,476.74,29.87,0.9999
-4.72,477.23,29.81,0.9999
-4.64,476.26,29.93,0.9999
-4.56,476.26,29.81,0.9999
-4.48,476.02,29.86,0.9999
-4.4,475.29,29.85,0.9999
-4.32,475.78,29.83,0.9999
-4.24,476.5,29.84,0.9999
-4.16,476.02,29.88,0.9999
-4.08,476.98,29.85,0.9999
-4.0,476.26,29.91,0.9999
-3.92,476.74,29.89,0.9999
-3.84,476.02,29.83,0.9999
-3.76,475.29,29.9,0.9999
-3.68,476.02,29.82,0.9999
-3.6,476.26,29.89,0.9999
-3.52,476.02,29.9,0.9999
-3.44,476.26,29.83,0.9999
-3.36,476.26,29.88,0.9999
-3.28,475.78,29.82,0.9999
-3.2,476.26,29.81,0.9999
-3.12,475.78,29.9,0.9999
-3.04,476.26,29.89,0.9999
-2.96,476.26,29.83,0.9999
-2.88,476.5,29.88,0.9999
-2.8,476.74,29.85,0.9999
-2.72,476.26,29.87,0.9999
-2.64,476.74,29.92,0.9999
-2.56,476.98,29.86,0.9999
-2.48,476.5,29.86,0.9999
-2.4,477.47,29.81,0.9999
-2.32,475.29,29.86,0.9999
-2.24,475.53,29.82,0.9999
-2.16,476.74,29.88,0.9999
-2.08,475.78,29.84,0.9999
-2.0,476.26,29.83,0.9999
-1.92,476.5,29.87,0.9999
-1.84,476.02,29.87,0.9999
-1.76,476.5,29.86,0.9999
-1.68,476.5,29.84,0.9999
-1.6,475.78,29.81,0.9999
-1.52,476.26,29.95,0.9999
-1.44,475.05,29.76,0.9999
-1.36,476.74,29.94,0.9999
-1.28,476.98,29.83,0.9999
-1.2,476.26,29.87,0.9999
-1.12,476.26,29.85,0.9999
-1.04,475.78,29.88,0.9999
-0.96,476.02,29.83,0.9999
-0.88,476.02,29.86,0.9999
-0.8,475.78,29.9,0.9999
-0.72,475.78,29.85,0.9999
-0.64,476.02,29.94,0.9999
-0.56,476.02,29.83,0.9999
-0.48,476.74,29.87,0.9999
-0.4,476.5,29.9,0.9999
-0.32,477.23,29.86,0.9999
-0.24,476.98,29.9,0.9999
-0.16,476.26,29.92,0.9999
-0.08,410.5,28.92,0.9999
0.0,421.14,29.82,0.9999
