iso,t_s,vDcInst,idc_units,iq_shed
18:11:36.695,1789053096.696,472.39,0.14,1.0
18:11:36.775,1789053096.776,472.39,0.15,1.0
18:11:36.855,1789053096.856,472.39,0.15,1.0
18:11:36.935,1789053096.936,472.39,0.14,1.0
18:11:37.015,1789053097.016,472.39,0.15,1.0
18:11:37.095,1789053097.096,472.39,0.15,1.0
18:11:37.175,1789053097.176,472.39,0.14,1.0
18:11:37.255,1789053097.256,472.39,0.15,1.0
18:11:37.335,1789053097.336,472.39,0.15,1.0
18:11:37.415,1789053097.416,472.15,0.14,1.0
18:11:37.495,1789053097.496,472.39,0.15,1.0
18:11:37.575,1789053097.576,472.39,0.15,1.0
18:11:37.655,1789053097.656,472.39,0.14,1.0
18:11:37.735,1789053097.736,472.39,0.15,1.0
18:11:37.815,1789053097.816,472.39,0.15,1.0
18:11:37.895,1789053097.896,472.39,0.14,1.0
18:11:37.975,1789053097.976,472.39,0.15,1.0
18:11:38.055,1789053098.056,472.39,0.15,1.0
18:11:38.135,1789053098.136,472.15,0.14,1.0
18:11:38.215,1789053098.216,472.39,0.15,1.0
18:11:38.295,1789053098.296,472.39,0.15,1.0
18:11:38.375,1789053098.376,472.39,0.15,1.0
18:11:38.455,1789053098.456,472.39,0.14,1.0
18:11:38.535,1789053098.536,472.39,0.15,1.0
18:11:38.615,1789053098.616,472.39,0.15,1.0
18:11:38.695,1789053098.696,472.39,0.15,1.0
18:11:38.775,1789053098.776,472.15,0.14,1.0
18:11:38.855,1789053098.856,472.39,0.15,1.0
18:11:38.935,1789053098.936,472.39,0.15,1.0
18:11:39.015,1789053099.016,472.39,0.14,1.0
18:11:39.095,1789053099.096,472.39,0.15,1.0
18:11:39.175,1789053099.176,472.39,0.14,1.0
18:11:39.255,1789053099.256,472.15,0.15,1.0
18:11:39.335,1789053099.336,472.39,0.15,1.0
18:11:39.415,1789053099.416,472.39,0.15,1.0
18:11:39.495,1789053099.496,472.39,0.14,1.0
18:11:39.575,1789053099.576,472.15,0.14,1.0
18:11:39.655,1789053099.656,472.15,0.14,1.0
18:11:39.735,1789053099.736,472.15,0.15,1.0
18:11:39.815,1789053099.816,472.39,0.15,1.0
18:11:39.895,1789053099.896,472.15,0.14,1.0
18:11:39.975,1789053099.976,472.15,0.15,1.0
18:11:40.055,1789053100.056,472.15,0.15,1.0
18:11:40.135,1789053100.136,472.39,0.15,1.0
18:11:40.215,1789053100.216,472.15,0.15,1.0
18:11:40.295,1789053100.296,472.15,0.15,1.0
18:11:40.375,1789053100.376,472.15,0.16,1.0
18:11:40.455,1789053100.456,472.15,0.14,1.0
18:11:40.535,1789053100.536,472.15,0.14,1.0
18:11:40.615,1789053100.616,472.15,0.15,1.0
18:11:40.695,1789053100.696,472.15,0.15,1.0
18:11:40.775,1789053100.776,472.15,0.15,1.0
18:11:40.855,1789053100.856,472.15,0.14,1.0
18:11:40.935,1789053100.936,472.15,0.14,1.0
18:11:41.015,1789053101.016,472.15,0.15,1.0
18:11:41.095,1789053101.096,472.15,0.14,1.0
18:11:41.175,1789053101.176,472.15,0.14,1.0
18:11:41.255,1789053101.256,472.15,0.14,1.0
18:11:41.335,1789053101.336,472.39,0.14,1.0
18:11:41.415,1789053101.416,472.15,0.15,1.0
18:11:41.495,1789053101.496,472.15,0.15,1.0
18:11:41.575,1789053101.576,472.15,0.15,1.0
18:11:41.655,1789053101.656,472.15,0.14,1.0
18:11:41.735,1789053101.736,472.15,0.14,1.0
18:11:41.815,1789053101.816,472.15,0.14,1.0
18:11:41.895,1789053101.896,472.39,0.15,1.0
18:11:41.975,1789053101.976,472.39,0.14,1.0
18:11:42.055,1789053102.056,472.15,0.14,1.0
18:11:42.135,1789053102.136,472.15,0.14,1.0
18:11:42.215,1789053102.216,472.15,0.15,1.0
18:11:42.295,1789053102.296,472.15,0.15,1.0
18:11:42.375,1789053102.376,472.15,0.15,1.0
18:11:42.455,1789053102.456,472.15,0.14,1.0
18:11:42.535,1789053102.536,472.15,0.15,1.0
18:11:42.615,1789053102.616,472.15,0.14,1.0
18:11:42.695,1789053102.696,472.15,0.15,1.0
18:11:42.775,1789053102.776,472.15,0.14,1.0
