t_to_trip_s,vDcInst,idc_units,iq_shed
-14.88,473.12,19.88,0.9999
-14.8,473.36,19.94,0.9999
-14.72,475.05,19.94,0.9999
-14.64,474.32,19.86,0.9999
-14.56,473.36,19.79,0.9999
-14.48,473.84,19.83,0.9999
-14.4,474.57,19.81,0.9999
-14.32,474.32,19.81,0.9999
-14.24,475.29,19.8,0.9999
-14.16,474.81,19.78,0.9999
-14.08,473.6,19.82,0.9999
-14.0,474.08,19.74,0.9999
-13.92,476.02,19.78,0.9999
-13.84,474.57,19.65,0.9999
-13.76,476.26,19.6,0.9999
-13.68,476.5,19.56,0.9999
-13.6,475.29,19.58,0.9999
-13.52,476.26,19.54,0.9999
-13.44,477.23,19.51,0.9999
-13.36,475.78,19.5,0.9999
-13.28,477.23,19.51,0.9999
-13.2,477.47,19.47,0.9999
-13.12,475.53,19.51,0.9999
-13.04,475.29,19.55,0.9999
-12.96,476.26,19.6,0.9999
-12.88,475.78,19.62,0.9999
-12.8,475.53,19.62,0.9999
-12.72,475.78,19.63,0.9999
-12.64,476.02,19.64,0.9999
-12.56,475.53,19.63,0.9999
-12.48,475.53,19.68,0.9999
-12.4,475.78,19.64,0.9999
-12.32,474.81,19.67,0.9999
-12.24,474.08,19.78,0.9999
-12.16,475.53,19.84,0.9999
-12.08,473.36,19.82,0.9999
-12.0,473.36,19.89,0.9999
-11.92,474.57,19.9,0.9999
-11.84,473.12,19.85,0.9999
-11.76,473.6,19.92,0.9999
-11.68,474.57,19.96,0.9999
-11.6,471.91,19.93,0.9999
-11.52,473.84,19.99,0.9999
-11.44,473.84,19.88,0.9999
-11.36,473.6,19.85,0.9999
-11.28,474.81,19.85,0.9999
-11.2,475.05,19.78,0.9999
-11.12,472.87,19.8,0.9999
-11.04,474.57,19.83,0.9999
-10.96,474.32,19.78,0.9999
-10.88,473.84,19.78,0.9999
-10.8,474.81,19.79,0.9999
-10.72,475.78,19.76,0.9999
-10.64,475.29,19.76,0.9999
-10.56,475.78,19.6,0.9999
-10.48,476.5,19.6,0.9999
-10.4,475.78,19.61,0.9999
-10.32,476.74,19.55,0.9999
-10.24,476.5,19.54,0.9999
-10.16,477.23,19.54,0.9999
-10.08,476.5,19.49,0.9999
